Ligand,Old Indexes,New Indexes,Deprotonation Type
SEQCOI,"[51, 53]","[51, 53]",No Deprotonation
XUCLIT,"[0, 4]","[0, 3]",Single Deprotonation
ITEMUR,"[11, 13]","[11, 13]",No Deprotonation
HIRHIB,"[1, 2]","[1, 2]",No Deprotonation
SIRDUV,"[5, 9]","[5, 8]",Double Deprotonation
RFMPPM10,"[2, 3]","[2, 3]",Double Deprotonation
ESIFIV,"[2, 5]","[2, 4]",Single Deprotonation
QASTEK,"[3, 4]","[3, 4]",Single Deprotonation
WEKMUW,"[3, 6]","[3, 6]",No Deprotonation
FIXBIY,"[0, 2]","[0, 1]",Double Deprotonation
KADBAU,"[12, 14]","[12, 14]",Single Deprotonation
ZAJWIT,"[0, 4]","[0, 4]",No Deprotonation
AZIDCH,"[1, 12]","[1, 12]",No Deprotonation
QUNGAK,"[0, 3]","[0, 3]",No Deprotonation
ACOQIS,"[29, 42]","[29, 42]",No Deprotonation
DULKAZ,"[4, 5]","[4, 5]",Single Deprotonation
VELTOX,"[2, 7]","[2, 7]",No Deprotonation
DUQGUT,"[4, 8]","[4, 8]",No Deprotonation
GIJSOJ,"[23, 24]","[23, 24]",Single Deprotonation
VALOLA,"[13, 17]","[13, 17]",Single Deprotonation
VOSRUT,"[6, 11]","[6, 11]",No Deprotonation
SUGVEX,"[0, 1]","[0, 1]",No Deprotonation
ZATKIR,"[3, 5]","[3, 4]",Single Deprotonation
IVULUI,"[3, 6]","[3, 6]",No Deprotonation
TAKREC01,"[2, 4]","[2, 4]",Single Deprotonation
BICYUK,"[3, 7]","[3, 6]",Single Deprotonation
CIGSUJ01,"[6, 17]","[6, 17]",No Deprotonation
HANPAN,"[15, 18]","[15, 18]",Double Deprotonation
ZENTOB,"[0, 15]","[0, 15]",No Deprotonation
COPXIR,"[23, 29]","[23, 29]",No Deprotonation
CIQPAU,"[2, 5]","[2, 5]",No Deprotonation
ISANAT,"[5, 6]","[5, 6]",No Deprotonation
BIRTOL,"[19, 21]","[19, 20]",Double Deprotonation
VOKBAZ,"[26, 29]","[26, 29]",No Deprotonation
PARNEE,"[1, 10]","[1, 9]",Single Deprotonation
MIRPAH,"[3, 4]","[3, 4]",Single Deprotonation
CUKRIK,"[2, 4]","[2, 3]",Double Deprotonation
VOJRIY,"[57, 60]","[57, 59]",Single Deprotonation
TIKQOV,"[0, 5]","[0, 4]",Single Deprotonation
CEVWAC,"[56, 58]","[56, 57]",Single Deprotonation
WAMFUO,"[2, 5]","[2, 5]",Single Deprotonation
XIQBEF,"[66, 67]","[66, 67]",No Deprotonation
HUFLIE,"[31, 32]","[31, 32]",Single Deprotonation
VACVUR,"[39, 48]","[39, 48]",No Deprotonation
GUHXOZ,"[1, 9]","[1, 8]",Double Deprotonation
XIWHAM,"[17, 18]","[17, 18]",Single Deprotonation
XOLGIP,"[0, 2]",Error,Double Deprotonation
WOCKAA,"[17, 21]","[17, 21]",Double Deprotonation
XIBZOY01,"[11, 14]","[11, 14]",No Deprotonation
HISWOY,"[1, 2]","[1, 2]",No Deprotonation
VATGII,"[3, 4]","[3, 4]",Single Deprotonation
ICACIN,"[11, 12]","[11, 12]",Single Deprotonation
TAGGIT,"[0, 2]","[0, 1]",Single Deprotonation
LOBXOS,"[5, 7]","[5, 6]",Single Deprotonation
ACETTP,"[7, 8]","[7, 8]",Single Deprotonation
SEDQOH,"[1, 2]","[1, 2]",Double Deprotonation
BIVGAR,"[2, 3]","[2, 3]",Single Deprotonation
DMXBZO,"[7, 9]","[7, 9]",Single Deprotonation
UKEWOZ,"[14, 15]","[14, 15]",No Deprotonation
VOVPOO,"[0, 3]","[0, 3]",No Deprotonation
LAZZIV,"[12, 13]","[12, 13]",Single Deprotonation
NOLCAT,"[2, 38]","[2, 38]",No Deprotonation
YOZGAY,"[0, 6]","[0, 6]",No Deprotonation
WOTHUK,"[4, 6]","[4, 6]",No Deprotonation
UCOXOC,"[2, 5]","[2, 5]",Single Deprotonation
RUVNEC01,"[30, 31]","[30, 31]",No Deprotonation
UDADEJ,"[13, 17]","[13, 16]",Double Deprotonation
TEKNUS,"[8, 16]","[8, 16]",Double Deprotonation
UGAMUN,"[32, 50]","[32, 50]",No Deprotonation
WOQXIL,"[6, 8]","[6, 7]",Single Deprotonation
COJTUQ,"[7, 8]","[7, 8]",No Deprotonation
BCYMYC,"[32, 33]","[31, 32]",Single Deprotonation
MOJQAD,"[0, 1]","[0, 1]",Single Deprotonation
GUVZON,"[19, 20]","[19, 20]",No Deprotonation
SUWGOG,"[0, 11]","[0, 11]",No Deprotonation
KIXGEE,"[1, 4]","[1, 4]",No Deprotonation
AFUMUM,"[5, 11]","[5, 11]",No Deprotonation
JABPEL,"[0, 3]","[0, 3]",Single Deprotonation
NAMTAW,"[3, 5]","[3, 4]",Double Deprotonation
GATDEM,"[0, 2]","[0, 1]",Single Deprotonation
SIFFOD,"[43, 47]","[43, 47]",No Deprotonation
MIPDIY,"[11, 13]","[11, 12]",Single Deprotonation
VUKQEZ,"[0, 2]","[0, 1]",Single Deprotonation
SUDWIA,"[0, 27]","[0, 27]",No Deprotonation
WIPVOG,"[2, 4]","[2, 4]",Single Deprotonation
SOLPEP,"[2, 9]","[2, 9]",No Deprotonation
OKOLOR,"[0, 1]","[0, 1]",No Deprotonation
MMANSC,"[13, 19]","[12, 18]",Double Deprotonation
LINFOD,"[8, 13]","[8, 13]",No Deprotonation
JUPLAK,"[0, 2]","[0, 1]",Single Deprotonation
QUKCEF,"[4, 5]","[4, 5]",Single Deprotonation
KUBLAU,"[2, 3]","[2, 3]",Single Deprotonation
MIQZOB,"[9, 10]","[9, 10]",Single Deprotonation
DUBGOZ,"[46, 48]","[46, 48]",No Deprotonation
QIQFUU,"[1, 3]","[1, 3]",Single Deprotonation
CILSIB,"[11, 33]","[11, 33]",Single Deprotonation
OJIVUA,"[52, 54]","[52, 53]",Single Deprotonation
RUWFIY,"[13, 15]","[13, 15]",No Deprotonation
HUKJOM,"[13, 18]","[13, 17]",Single Deprotonation
TEHNUR,"[1, 18]","[1, 18]",No Deprotonation
IBILUD,"[2, 4]","[2, 3]",Single Deprotonation
UJEYUG,"[29, 32]","[29, 31]",Single Deprotonation
EZOMAJ01,"[2, 4]","[2, 4]",Single Deprotonation
UGOPUC,"[2, 5]","[2, 5]",Double Deprotonation
SESMAH,"[0, 1]","[0, 1]",No Deprotonation
ADEWOW,"[22, 28]","[22, 28]",No Deprotonation
ONUMAN,"[1, 2]","[1, 2]",No Deprotonation
XEPNAJ,"[7, 35]","[7, 35]",No Deprotonation
DIQCAJ,"[4, 11]","[4, 11]",Single Deprotonation
BIOTNE,"[10, 11]","[10, 11]",Single Deprotonation
VACDAG,"[39, 43]","[39, 42]",Single Deprotonation
BARQAM,"[10, 14]","[10, 14]",No Deprotonation
AFEQEJ,"[7, 8]","[7, 8]",Single Deprotonation
OZAPIP,"[0, 42]","[0, 42]",No Deprotonation
FOHRIE,"[1, 2]","[1, 2]",Single Deprotonation
ELEFEH,"[32, 46]","[32, 45]",Double Deprotonation
YUXPAJ,"[29, 34]","[29, 34]",No Deprotonation
VAJRIK,"[1, 3]","[1, 3]",No Deprotonation
EXICAP,"[8, 11]","[8, 11]",No Deprotonation
IJUDEX,"[1, 3]","[1, 3]",No Deprotonation
CIBGUP,"[15, 18]","[15, 18]",Single Deprotonation
SODDIY,"[14, 16]","[14, 16]",Double Deprotonation
DIWMAY01,"[7, 14]","[7, 13]",Single Deprotonation
LABVES,"[5, 6]","[5, 6]",Single Deprotonation
OJOSOV,"[2, 3]","[2, 3]",Double Deprotonation
MIZFIL,"[16, 17]","[16, 17]",No Deprotonation
NESTIP,"[7, 10]","[7, 10]",Single Deprotonation
ZENKEI,"[0, 2]","[0, 2]",Single Deprotonation
VATGAA,"[0, 6]","[0, 5]",Single Deprotonation
IBUMAT,"[8, 12]","[8, 12]",Single Deprotonation
USILIS,"[0, 1]","[0, 1]",Double Deprotonation
PEMDAN,"[6, 7]","[6, 7]",No Deprotonation
ZOLXIH,"[0, 6]","[0, 6]",Single Deprotonation
DISDER,"[0, 2]","[0, 2]",No Deprotonation
TALYOX,"[0, 2]","[0, 1]",Double Deprotonation
LOMJEF,"[0, 2]","[0, 1]",Single Deprotonation
FAQSOF01,"[0, 3]","[0, 3]",No Deprotonation
QISCON,"[13, 21]","[13, 21]",Single Deprotonation
VUWYER,"[5, 16]","[5, 16]",No Deprotonation
MUYRAA,"[23, 24]","[23, 24]",No Deprotonation
ANOTAZ,"[15, 16]","[15, 16]",No Deprotonation
NEGTUO01,"[1, 21]","[1, 21]",Single Deprotonation
OCEBEF,"[2, 5]","[2, 4]",Single Deprotonation
OFIKOG,"[1, 2]","[1, 2]",Single Deprotonation
FUGVUB,"[26, 31]","[26, 31]",No Deprotonation
FAZWEK,"[1, 6]","[1, 5]",Single Deprotonation
HUMGOL,"[22, 23]","[22, 23]",No Deprotonation
GELTOG,"[19, 26]","[19, 26]",Single Deprotonation
HEZWIT,"[1, 8]","[1, 8]",No Deprotonation
BOLHIV,"[1, 3]","[1, 3]",No Deprotonation
GAGVIW,"[22, 23]","[22, 23]",No Deprotonation
JURQAO,"[1, 3]","[1, 2]",Single Deprotonation
DOHGIQ,"[1, 2]","[1, 2]",Single Deprotonation
FUDRAZ,"[45, 46]","[45, 46]",No Deprotonation
BAXCUY,"[1, 2]","[1, 2]",Single Deprotonation
BDGHEP,"[7, 8]","[7, 8]",Double Deprotonation
FEGVET,"[1, 27]","[1, 27]",No Deprotonation
YOVGUM,"[1, 8]","[1, 8]",No Deprotonation
UHEGOG,"[0, 4]","[0, 4]",No Deprotonation
WUHFEN,"[2, 4]","[2, 3]",Double Deprotonation
GEBNOQ,"[0, 2]","[0, 2]",Single Deprotonation
ABEMEA,"[1, 6]","[1, 5]",Single Deprotonation
PEPSUZ,"[0, 2]","[0, 2]",No Deprotonation
YAXYAX,"[7, 8]","[7, 8]",Double Deprotonation
DEZJIC,"[0, 7]","[0, 7]",Single Deprotonation
GOXCAZ,"[0, 1]","[0, 1]",Single Deprotonation
XETSOG,"[2, 3]","[2, 3]",Single Deprotonation
YODKAE,"[0, 1]","[0, 1]",Single Deprotonation
CEHLEG,"[0, 1]","[0, 1]",Double Deprotonation
LCYLCY10,"[9, 11]","[9, 11]",Double Deprotonation
WEVWEA,"[0, 7]","[0, 6]",Single Deprotonation
VERYEX,"[42, 44]","[41, 43]",Single Deprotonation
KEBSER,"[1, 4]","[1, 3]",Single Deprotonation
XENJUX,"[12, 15]","[12, 15]",Single Deprotonation
GOMGEU,"[1, 2]","[1, 2]",Single Deprotonation
AMOXAC,"[17, 18]","[17, 18]",Single Deprotonation
EMOCUF,"[8, 12]","[8, 12]",Single Deprotonation
JUMJOQ,"[3, 4]","[3, 4]",Single Deprotonation
UPUJIZ,"[16, 19]","[16, 18]",Double Deprotonation
NIJXEL,"[0, 46]","[0, 46]",No Deprotonation
CUFZEI,"[0, 1]","[0, 1]",Single Deprotonation
CUVDAZ,"[1, 2]","[1, 2]",Single Deprotonation
WASCEY,"[1, 2]","[1, 2]",Double Deprotonation
PUQLUI,"[9, 15]","[9, 15]",Single Deprotonation
OHOVEP,"[4, 6]","[4, 5]",Single Deprotonation
HEZSAJ,"[5, 7]","[5, 7]",No Deprotonation
KECMOU,"[26, 27]","[26, 27]",Single Deprotonation
NAMMAS,"[1, 4]","[1, 4]",Single Deprotonation
OPOCIH,"[2, 16]","[2, 15]",Single Deprotonation
MIDKUG,"[9, 28]","[9, 28]",Single Deprotonation
LOLXUH,"[0, 2]","[0, 1]",Single Deprotonation
HOVPAL,"[3, 7]","[3, 7]",Single Deprotonation
OHEHAN,"[1, 3]","[1, 3]",Single Deprotonation
BIWNUO,"[14, 15]","[14, 15]",Single Deprotonation
YULLUM,"[14, 19]","[14, 19]",Double Deprotonation
VIDJAV,"[2, 6]","[2, 6]",No Deprotonation
GABOBU10,"[15, 16]","[14, 15]",Single Deprotonation
CXMURD,"[1, 2]","[1, 2]",Double Deprotonation
TEXJAJ,"[0, 1]","[0, 1]",No Deprotonation
AYELEW,"[0, 1]","[0, 1]",No Deprotonation
FOHHAN,"[2, 19]","[2, 18]",Single Deprotonation
TASPUZ,"[13, 14]","[13, 14]",No Deprotonation
WIXLAS,"[3, 4]","[3, 4]",No Deprotonation
SIZTAX,"[1, 4]","[1, 3]",Single Deprotonation
BEBFET,"[1, 3]","[1, 3]",No Deprotonation
VICZUD,"[25, 27]","[25, 27]",Single Deprotonation
PERWEQ,"[0, 1]","[0, 1]",Single Deprotonation
ZAQLOS,"[0, 1]","[0, 1]",No Deprotonation
AJOFAG,"[4, 5]","[4, 5]",Single Deprotonation
BUXLOW,"[0, 1]","[0, 1]",Single Deprotonation
VIGPOQ,"[2, 10]","[2, 9]",Single Deprotonation
ICUCUH,"[25, 27]","[25, 26]",Double Deprotonation
NOKXEQ,"[10, 11]","[10, 11]",Single Deprotonation
XILYEX,"[35, 36]","[35, 36]",No Deprotonation
SUMVUS,"[2, 5]","[2, 5]",No Deprotonation
ZAKDOH,"[49, 50]","[49, 50]",No Deprotonation
XABWAA,"[15, 16]","[15, 16]",No Deprotonation
QUSKOG,"[15, 16]","[15, 16]",Single Deprotonation
OHIMID,"[14, 20]","[14, 19]",Single Deprotonation
FAKNEO,"[1, 5]","[1, 4]",Single Deprotonation
MXZTCE10,"[5, 17]","[5, 17]",No Deprotonation
VIMJAF,"[1, 3]","[1, 2]",Double Deprotonation
JAHNIQ,"[0, 1]","[0, 1]",Single Deprotonation
GIXQIQ,"[1, 9]","[1, 9]",No Deprotonation
FAGPOS,"[2, 5]","[2, 5]",No Deprotonation
UKAXUA,"[1, 3]","[1, 3]",No Deprotonation
AXUNOX,"[0, 2]","[0, 1]",Double Deprotonation
QEFCUZ,"[0, 2]","[0, 2]",Single Deprotonation
NOPNIR,"[23, 25]","[23, 24]",Single Deprotonation
GEMZED,"[1, 5]","[1, 5]",Single Deprotonation
VIBBEQ,"[22, 26]","[22, 25]",Single Deprotonation
UJOBUR,"[26, 28]","[26, 27]",Double Deprotonation
ZIVSUU,"[3, 4]","[3, 4]",No Deprotonation
WOFSER,"[2, 4]","[2, 3]",Single Deprotonation
CIGRUF,"[0, 1]","[0, 1]",Single Deprotonation
WOSDAM,"[1, 3]","[1, 3]",Single Deprotonation
SODTOW,"[3, 4]","[3, 4]",No Deprotonation
PIQFAY,"[19, 22]","[19, 21]",Double Deprotonation
WEQHEF,"[0, 2]","[0, 2]",No Deprotonation
LEVPIM10,"[48, 49]","[48, 49]",Single Deprotonation
KUSJAK,"[0, 3]","[0, 2]",Single Deprotonation
MISBIB,"[8, 9]","[8, 9]",Single Deprotonation
LIDNOE,"[13, 14]","[13, 14]",No Deprotonation
BAKNOS,"[2, 4]","[2, 3]",Double Deprotonation
MEGPOG,"[2, 11]","[2, 11]",No Deprotonation
JOSCIG,"[14, 16]","[14, 16]",Single Deprotonation
VUPHET,"[1, 3]","[1, 3]",Single Deprotonation
DUJKUP,"[0, 2]","[0, 1]",Single Deprotonation
CUWSUI,"[1, 2]","[1, 2]",Double Deprotonation
QALPAW,"[25, 32]","[25, 32]",Single Deprotonation
RIPBUN,"[16, 19]","[16, 19]",Double Deprotonation
FULSUA,"[1, 2]","[1, 2]",Single Deprotonation
FIZMUY,"[2, 3]","[2, 3]",Single Deprotonation
DUCLIZ,"[4, 6]","[4, 5]",Double Deprotonation
FIZDEX,"[15, 17]","[15, 17]",No Deprotonation
YIKLUB,"[2, 3]","[2, 3]",Single Deprotonation
VUXMEG,"[9, 17]","[9, 17]",Single Deprotonation
KECVOF,"[4, 6]","[4, 5]",Single Deprotonation
GAMCED,"[27, 29]","[27, 28]",Double Deprotonation
KEYMAF,"[0, 13]","[0, 13]",Single Deprotonation
XIPTUM,"[0, 2]","[0, 1]",Double Deprotonation
HANDUY,"[0, 2]","[0, 2]",Single Deprotonation
PHCBTC,"[8, 9]","[8, 9]",Single Deprotonation
APENAM,"[5, 7]","[5, 7]",No Deprotonation
SALQIH,"[1, 4]","[1, 4]",No Deprotonation
SIJMED,"[0, 3]","[0, 3]",Single Deprotonation
RAHDUC,"[27, 31]","[27, 31]",Single Deprotonation
RAPGOH,"[2, 4]","[2, 3]",Single Deprotonation
JUMXAT,"[17, 27]","[15, 25]",Double Deprotonation
XILKUA,"[8, 21]","[8, 21]",No Deprotonation
LILTAE,"[0, 18]","[0, 17]",Single Deprotonation
FOYXIA,"[9, 10]","[9, 10]",Double Deprotonation
HICWAS,"[1, 23]","[1, 22]",Single Deprotonation
HEKMOC,"[3, 6]","[3, 5]",Single Deprotonation
LINJIB,"[0, 3]","[0, 3]",Single Deprotonation
JULGOO,"[0, 1]","[0, 1]",No Deprotonation
OMITEL,"[2, 8]","[2, 7]",Single Deprotonation
AVUTUG03,"[4, 6]","[3, 4]",Double Deprotonation
XODGEE,"[31, 33]","[31, 32]",Single Deprotonation
KUTVIF,"[1, 6]","[1, 6]",No Deprotonation
TIJZAO,"[63, 64]","[63, 64]",Single Deprotonation
YANFUR,"[2, 4]","[2, 4]",Single Deprotonation
TENHAY,"[0, 15]","[0, 15]",No Deprotonation
FOHTAA,"[8, 9]","[8, 9]",No Deprotonation
IZANEE,"[2, 5]","[2, 5]",No Deprotonation
UQIBED,"[1, 2]","[1, 2]",Single Deprotonation
OYEKUZ,"[10, 15]","[10, 15]",No Deprotonation
HUNNEL,"[1, 2]","[1, 2]",Single Deprotonation
HUFNUS,"[0, 9]","[0, 9]",No Deprotonation
VABQAS,"[1, 2]","[1, 2]",Double Deprotonation
KOJNIH,"[0, 3]","[0, 3]",No Deprotonation
UBAGIP,"[28, 29]","[28, 29]",No Deprotonation
PENPUU,"[1, 2]","[1, 2]",Single Deprotonation
PEWFEC,"[5, 18]","[5, 18]",Single Deprotonation
WIRSOF,"[0, 3]","[0, 3]",No Deprotonation
ENMTHB,"[1, 2]","[1, 2]",Single Deprotonation
UGIBIV,"[1, 4]","[1, 4]",No Deprotonation
LAFFAZ,"[2, 3]","[2, 3]",Double Deprotonation
EFAMEG,"[0, 2]","[0, 2]",Single Deprotonation
RIJYAK,"[0, 1]","[0, 1]",No Deprotonation
ZILBOL,"[23, 24]","[23, 24]",Single Deprotonation
XIVNUL,"[2, 3]","[2, 3]",No Deprotonation
LAMDAG,"[1, 3]","[1, 2]",Double Deprotonation
KIDSAU,"[1, 40]","[1, 40]",No Deprotonation
NIBYEC,"[10, 11]","[10, 11]",Double Deprotonation
XINNEN01,"[17, 18]","[17, 18]",Single Deprotonation
CUHNUR,"[1, 6]","[1, 6]",No Deprotonation
PUXNOL,"[1, 2]","[1, 2]",No Deprotonation
OFEYIH,"[0, 1]","[0, 1]",Single Deprotonation
UHITAG,"[0, 2]","[0, 1]",Double Deprotonation
KIVLUW,"[11, 12]","[11, 12]",No Deprotonation
SIXWAA,"[0, 1]","[0, 1]",Single Deprotonation
BOWRUB,"[42, 45]","[42, 45]",No Deprotonation
QITYUO,"[0, 3]","[0, 3]",No Deprotonation
MAPXIM,"[1, 2]","[1, 2]",No Deprotonation
EMOMUP,"[3, 7]","[3, 7]",No Deprotonation
PUJGOR,"[3, 5]","[3, 4]",Single Deprotonation
YOLDEK,"[19, 20]","[19, 20]",Single Deprotonation
GEFCIF,"[3, 16]","[3, 15]",Single Deprotonation
TIXROK,"[0, 2]","[0, 2]",Single Deprotonation
TORKOB,"[1, 4]","[1, 4]",No Deprotonation
GIVTEM,"[2, 4]","[2, 3]",Double Deprotonation
LANZUX,"[0, 5]","[0, 5]",Single Deprotonation
NUXGIZ,"[1, 4]","[1, 3]",Single Deprotonation
PIDLAP,"[1, 2]","[1, 2]",Single Deprotonation
JOBJUF,"[5, 7]","[5, 7]",Single Deprotonation
HUZKIW,"[0, 2]","[0, 2]",No Deprotonation
GOXQER,"[0, 2]","[0, 1]",Single Deprotonation
SUZFAV,"[20, 21]","[20, 21]",No Deprotonation
XUHZEF,"[0, 2]","[0, 2]",Single Deprotonation
KAHRAO,"[1, 3]","[1, 2]",Single Deprotonation
LAXREJ,"[55, 57]","[55, 56]",Single Deprotonation
ANOKAR,"[2, 25]","[2, 24]",Double Deprotonation
UDOWUG,"[0, 1]","[0, 1]",No Deprotonation
ULEROS,"[13, 15]","[13, 14]",Double Deprotonation
BABTIK,"[2, 3]","[2, 3]",No Deprotonation
KILZAG,"[12, 17]","[12, 17]",No Deprotonation
OSITER,"[1, 3]","[1, 3]",Single Deprotonation
GIQJEY,"[0, 1]","[0, 1]",Single Deprotonation
UFACIQ,"[0, 2]","[0, 1]",Single Deprotonation
DEJNAK,"[15, 16]","[15, 16]",No Deprotonation
GODVOK,"[0, 3]","[0, 2]",Single Deprotonation
LUDXUE,"[6, 50]",Error,Double Deprotonation
QESBOI,"[8, 10]","[8, 10]",No Deprotonation
UVEJOV,"[3, 4]","[3, 4]",Single Deprotonation
DAKZOF,"[0, 1]","[0, 1]",Single Deprotonation
CMXLCS,"[9, 10]","[9, 10]",No Deprotonation
BATLUG,"[0, 6]","[0, 6]",No Deprotonation
QALQUR,"[1, 2]","[1, 2]",Single Deprotonation
DIWDEU02,"[14, 15]","[14, 15]",Double Deprotonation
ICIQES,"[38, 40]","[38, 39]",Single Deprotonation
LOHQEF,"[1, 2]","[1, 2]",No Deprotonation
SUBSAJ,"[0, 2]","[0, 2]",Single Deprotonation
POJXIW,"[4, 5]","[4, 5]",Single Deprotonation
CIWBUG,"[0, 3]","[0, 2]",Double Deprotonation
JUPRAP,"[2, 3]","[2, 3]",Double Deprotonation
OVOFIP,"[1, 9]","[1, 8]",Single Deprotonation
VOHKIO,"[1, 11]","[1, 11]",Single Deprotonation
QIHDIX,"[0, 12]","[0, 12]",Single Deprotonation
GODSUN,"[1, 2]","[1, 2]",Single Deprotonation
WEHKEA,"[11, 16]","[11, 16]",No Deprotonation
LETMAA,"[1, 26]","[1, 25]",Double Deprotonation
GAHPEK,"[0, 1]","[0, 1]",Single Deprotonation
FINBUA,"[2, 4]","[2, 4]",Single Deprotonation
ZOYRUA,"[0, 1]","[0, 1]",Double Deprotonation
UHEHAT,"[10, 23]","[10, 23]",No Deprotonation
LOWNAP,"[3, 6]","[3, 6]",Single Deprotonation
VUXCOG,"[2, 7]","[2, 7]",Single Deprotonation
WUDKEN,"[1, 3]","[1, 2]",Double Deprotonation
QEVNUA,"[1, 6]","[1, 6]",Double Deprotonation
LELROJ,"[6, 8]","[6, 8]",Single Deprotonation
CEZMUQ,"[0, 28]","[0, 27]",Single Deprotonation
IKEDOS,"[3, 5]","[3, 4]",Single Deprotonation
MAMDUD,"[1, 3]","[1, 3]",No Deprotonation
SAPZAL,"[19, 20]","[19, 20]",No Deprotonation
IYIYAR,"[20, 25]","[20, 25]",Single Deprotonation
ZEMJIK,"[8, 9]","[8, 9]",Single Deprotonation
EPSHAM,"[26, 27]","[26, 27]",Single Deprotonation
LETBIV,"[1, 2]","[1, 2]",Single Deprotonation
TENVAM,"[10, 12]","[10, 12]",No Deprotonation
TOLZIG,"[35, 40]","[35, 40]",Single Deprotonation
GUQTAO,"[5, 8]","[5, 8]",Single Deprotonation
POJXUI,"[1, 8]","[1, 7]",Double Deprotonation
HNBOCL,"[19, 20]","[18, 19]",Single Deprotonation
LUWHAP,"[3, 4]","[3, 4]",Single Deprotonation
SOHCOI,"[2, 7]","[2, 7]",No Deprotonation
LAWBIW,"[0, 2]","[0, 1]",Double Deprotonation
DAVLUJ,"[0, 3]","[0, 2]",Single Deprotonation
NECHIO,"[21, 25]","[21, 24]",Double Deprotonation
GILQEA,"[0, 4]","[0, 4]",No Deprotonation
PINNOP03,"[1, 2]","[1, 2]",No Deprotonation
GUCNOH,"[2, 4]","[2, 4]",Double Deprotonation
DUNZOD,"[0, 3]","[0, 3]",Single Deprotonation
HOLQII,"[0, 1]","[0, 1]",No Deprotonation
UGUJUB,"[0, 3]","[0, 2]",Single Deprotonation
CAPHIN,"[0, 3]","[0, 2]",Single Deprotonation
HUMTEO,"[0, 1]","[0, 1]",Single Deprotonation
DAFTAF,"[0, 1]","[0, 1]",Single Deprotonation
DAWSOK,"[1, 2]","[1, 2]",Double Deprotonation
SUZFOJ,"[0, 1]","[0, 1]",Single Deprotonation
DVLTLV10,"[22, 23]","[22, 23]",No Deprotonation
CINSOH,"[19, 22]","[19, 21]",Single Deprotonation
JABDOF,"[12, 16]","[12, 16]",No Deprotonation
DIFZOI,"[3, 6]","[3, 6]",No Deprotonation
DOQTAH,"[1, 26]","[1, 26]",No Deprotonation
RAHJAO,"[30, 33]","[30, 33]",No Deprotonation
WURYAL,"[2, 5]","[2, 5]",No Deprotonation
GLPMAC10,"[32, 33]","[30, 31]",Double Deprotonation
CBUDCX03,"[1, 2]","[1, 2]",Single Deprotonation
WUKZAE,"[0, 2]","[0, 1]",Single Deprotonation
GARLER,"[28, 29]","[28, 29]",No Deprotonation
GAPMUF,"[0, 8]","[0, 8]",Single Deprotonation
PAVCEV,"[0, 6]","[0, 5]",Double Deprotonation
LUQPOD,"[34, 35]","[34, 35]",No Deprotonation
WELXIU,"[1, 2]","[1, 2]",Single Deprotonation
ICIHAE,"[8, 18]","[8, 17]",Double Deprotonation
IJEGIO,"[1, 3]","[1, 3]",No Deprotonation
NAWNAA,"[15, 17]","[15, 16]",Double Deprotonation
KUJVIW,"[4, 5]","[4, 5]",No Deprotonation
GLYTRE03,"[7, 11]","[7, 11]",Double Deprotonation
FEMQIY,"[21, 24]","[21, 23]",Double Deprotonation
POTMOB,"[35, 37]","[35, 37]",No Deprotonation
BEFJAZ,"[0, 1]","[0, 1]",Single Deprotonation
OXALIN01,"[32, 37]","[32, 37]",Single Deprotonation
VEVLUF,"[2, 6]","[2, 5]",Single Deprotonation
SAHZAF,"[2, 6]","[2, 6]",Single Deprotonation
JOXSUK,"[2, 3]","[2, 3]",No Deprotonation
CMTDEC10,"[30, 31]","[29, 30]",Single Deprotonation
KOZTAW,"[0, 2]","[0, 2]",Single Deprotonation
KIMWAE,"[0, 1]","[0, 1]",Single Deprotonation
KULWIY,"[0, 1]","[0, 1]",No Deprotonation
QARSOS,"[0, 15]","[0, 15]",No Deprotonation
UQIBAZ,"[1, 3]","[1, 2]",Single Deprotonation
IBOSUO,"[0, 1]","[0, 1]",Double Deprotonation
HIHCAF,"[1, 3]","[1, 2]",Single Deprotonation
PODFIZ,"[0, 4]","[0, 4]",No Deprotonation
TOJVUM,"[3, 5]","[3, 4]",Double Deprotonation
ROVNAU,"[6, 8]","[6, 7]",Double Deprotonation
ADESOS,"[1, 6]","[1, 6]",Single Deprotonation
FEHQEQ,"[0, 1]","[0, 1]",No Deprotonation
AXURAO,"[7, 10]","[7, 10]",No Deprotonation
QABWAV,"[2, 3]","[2, 3]",No Deprotonation
COBXOJ,"[1, 5]","[1, 4]",Single Deprotonation
DUNBUK,"[22, 26]","[22, 26]",Single Deprotonation
NEGRUP,"[1, 6]","[1, 5]",Single Deprotonation
FIJQAQ,"[4, 7]","[4, 7]",No Deprotonation
IYAGUM,"[0, 1]","[0, 1]",Single Deprotonation
ROJMUA,"[2, 3]","[2, 3]",Single Deprotonation
XAMSAI,"[2, 3]","[2, 3]",Double Deprotonation
SUMJAO,"[1, 2]","[1, 2]",Single Deprotonation
QAQDAP,"[6, 7]","[6, 7]",No Deprotonation
QERVIT,"[27, 29]","[27, 28]",Single Deprotonation
CIFPAK,"[31, 33]","[31, 33]",Single Deprotonation
HOHHOC,"[0, 6]","[0, 6]",Single Deprotonation
ACICAS,"[4, 6]","[4, 5]",Double Deprotonation
DIWFEV,"[4, 8]","[4, 7]",Double Deprotonation
WUSJIE,"[0, 1]","[0, 1]",Single Deprotonation
YIMTOF,"[1, 4]","[1, 3]",Single Deprotonation
