Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
ABALIA01,81.37,-3.0857,0.3334,2.0611,6.3921,12.4848,9.7896,1.9,1.521,0.0839,13
ABEJEX,81.54,-3.2721,0.3699,2.093,6.3777,12.4966,9.7558,1.8919,1.4467,0.0148,17.1
ABIVUD,82.61,-2.9835,0.2307,2.2701,6.4278,12.5866,9.7549,1.9621,1.1226,0.0304,17.4
ABOSOB,81.68,-3.2271,0.3349,2.0962,6.388,12.5024,9.7748,1.9355,1.5486,0.0855,12.1
ACANAC12,83.31,-2.7247,0.3479,1.9969,6.4082,12.4549,9.7889,1.9276,1.6953,0.0833,25
ACETSC10,78.63,-3.0244,0.2494,1.8317,6.4556,12.4831,9.8119,1.9299,1.5484,0.079,19.9
ACETUA,64.39,-3.133,0.4339,2.0379,6.4121,12.418,9.736,1.9096,1.4774,0.0652,26.6
ACETUY,76.62,-2.6807,0.303,1.725,6.5153,12.4102,9.7715,1.9308,1.7011,0.0725,25.9
ACLTRY,46.19,-2.9745,0.2993,1.5552,6.5624,12.3718,9.7666,1.8656,1.522,0.0924,4.7
ACPENC10,91.63,-3.0585,0.5187,2.2119,6.2889,12.4425,9.7498,1.9599,1.5288,0.0683,10.2
ADALAS,53.33,-3.2494,0.2545,1.7867,6.5473,12.4358,9.7623,1.9178,1.3779,0.0092,29.5
ADINAD,95.14,-2.8398,0.451,2.2948,6.3619,12.4864,9.7006,1.9609,1.3993,0.1038,20.6
AFAZAK,82.48,-3.3576,0.1858,2.1357,6.4273,12.6084,9.7785,1.938,1.2105,0.0222,19.1
AFEBOC,88.93,-2.8928,0.3501,1.7495,6.3886,12.4478,9.8135,1.9317,1.5864,0.0712,17.4
AFESEJ,73.06,-2.5823,0.331,1.7047,6.5141,12.3858,9.7691,1.9273,1.5131,0.0626,31.8
AFETOU,102.25,-3.0356,0.4652,2.3452,6.3518,12.4913,9.6917,1.9736,1.4233,0.0962,21.7
AFISIS,87.27,-2.853,0.4627,2.3918,6.3462,12.5185,9.6726,1.933,1.5733,0.0756,13.7
AFUTDZ10,71.59,-3.2885,0.2316,1.8365,6.5635,12.4661,9.7388,1.9567,1.3673,0.0156,32.8
AFUVEE,79.84,-3.0561,0.3146,1.9528,6.4085,12.4883,9.7887,1.931,1.4196,0.0158,16
AGADIX,79.88,-3.0647,0.3182,1.9558,6.4068,12.4867,9.7882,1.9221,1.4057,0.012,14.5
AGAKIE,97.61,-3.1626,0.3869,1.9316,6.3547,12.4857,9.7727,1.9266,1.6126,0.0941,14.7
AGIDOM,80.98,-3.1289,0.2631,1.9136,6.4544,12.502,9.7805,1.901,1.5467,0.0754,28.2
AHICIF01,76.51,-2.7515,0.1774,1.8311,6.5353,12.5101,9.7772,1.94,1.4679,0.0232,28.8
AHPAZP10,81.64,-3.7375,0.2865,2.3995,6.4031,12.6055,9.7049,1.9194,1.2062,0.0195,23.3
AJIYEX,85.23,-2.6969,0.4015,1.93,6.4051,12.4233,9.77,1.9053,1.5491,0.0619,18.4
AJIZAU,85.07,-2.7173,0.4036,1.9335,6.404,12.4231,9.7694,1.9099,1.5414,0.0614,18.2
AKAWAK,80.91,-2.9388,0.1557,1.986,6.4608,12.5667,9.8168,1.9139,1.2076,0.0206,24.2
ALAMET01,81.28,-2.5418,0.2649,1.9216,6.4237,12.4944,9.817,1.9749,1.6478,0.0659,36.9
ALODAH,84.99,-3.5018,0.3776,2.2735,6.3704,12.5496,9.7024,1.8912,1.5933,0.0749,17
ALOLIW,80.74,-2.6996,0.2214,1.8463,6.4748,12.5016,9.8023,1.9395,1.213,0.0178,24.8
ANAGUT,81.56,-3.2888,0.3331,2.1005,6.3912,12.5031,9.7726,1.9223,1.4267,0.0162,16.5
ANITUN,68.83,-3.2128,0.2407,1.8116,6.5558,12.44,9.7635,1.8842,1.3524,0.0124,31.6
ANITUO,93.91,-3.2863,0.4101,2.3159,6.3514,12.5311,9.7075,1.8929,1.2954,0.014,13.5
ANOVEG,93.58,-3.1611,0.476,2.1696,6.3276,12.4888,9.7077,1.9287,1.5537,0.0974,18.5
APAKUZ,93.01,-3.9891,0.5898,2.3888,6.2829,12.5015,9.6258,1.984,1.4315,0.1061,27.4
AQINAP,87.85,-3.5609,0.4099,2.1184,6.3759,12.4733,9.7408,1.9154,1.6293,0.0812,13
AQOPIG,75.87,-3.5241,0.2402,1.9035,6.3614,12.5445,9.8538,1.9881,1.3,0.02,36.8
ARADED,81.81,-3.0448,0.2316,1.9537,6.4513,12.5324,9.7847,1.9061,1.2913,0.0159,26.2
ARANOW,85.85,-3.2362,0.4214,2.263,6.3775,12.4876,9.7136,1.9136,1.6201,0.0592,19
ARFIMP10,80.32,-2.4493,0.1076,1.7398,6.5315,12.5285,9.8323,1.9336,1.4973,0.0064,26.5
AROJAU,82.02,-2.9019,0.2178,2.1873,6.4241,12.5852,9.7729,1.9171,1.2254,0.02,28.7
ASEFOU,63.26,-2.8703,0.4031,1.9066,6.439,12.3931,9.7649,1.9133,1.6845,0.0604,17.4
ASOLOL,87.93,-3.3394,0.4727,2.0097,6.3667,12.4144,9.7462,1.9627,1.5123,0.0781,15.2
ATMHYD,81.84,-3.166,0.4571,1.9462,6.3789,12.4035,9.7605,1.8921,1.5992,0.0548,12
ATOKAX,82.12,-3.5923,0.3074,2.0987,6.4494,12.5035,9.7397,1.9038,1.5036,0.0765,25.2
ATOMED,90.06,-3.1765,0.4997,2.6825,6.2765,12.5118,9.712,1.9825,1.6862,0.0749,13.7
ATUWAN,83.23,-3.7978,0.4583,2.076,6.344,12.4786,9.7191,1.9365,1.4779,0.0724,14.5
ATZTHD10,70.6,-3.0847,0.207,1.7448,6.5816,12.449,9.7624,1.9518,1.4057,0.0154,33.7
AVAJAK,94.41,-2.4558,0.2543,1.9689,6.4083,12.5237,9.8137,1.906,1.6094,0.0744,20.8
AVAJIR,86.9,-2.7392,0.3198,2.0242,6.3819,12.4773,9.821,1.922,1.3325,0.0175,22.1
AVIYAG,74.91,-2.6478,0.3023,1.6476,6.5457,12.3889,9.7631,1.8955,1.6984,0.0959,27
AWAZUV,99.81,-3.1802,0.3169,1.7989,6.3481,12.4925,9.8425,1.9693,1.3092,0.0285,36
AWULEK,81.79,-3.1665,0.32,2.0767,6.3949,12.5056,9.7794,1.9243,1.437,0.0187,13.8
AXIHOG,83.94,-2.7351,0.4451,2.0729,6.3687,12.4358,9.7504,1.9611,1.6744,0.0841,18.7
AYANEV,94.82,-3.3756,0.4604,1.9579,6.3722,12.4234,9.7441,1.9182,1.5876,0.0681,15.9
AYUZID,84.36,-3.6922,0.3098,2.1263,6.4189,12.5377,9.7336,1.9088,1.3458,0.0091,19.4
AZIWUD,65.41,-2.9167,0.2631,2.0522,6.4573,12.5042,9.7754,1.9564,1.2738,0.0115,34.6
BACJEX,100.8,-3.1343,0.4898,2.1417,6.3175,12.4832,9.7095,1.9609,1.6117,0.0764,17
BACJOG,79.1,-2.9349,0.1272,1.9618,6.4624,12.5892,9.8212,1.9217,1.3382,0.0144,26.3
BACTEF,81.75,-3.5175,0.2997,2.0732,6.4571,12.4992,9.744,1.9148,1.5464,0.0716,25.4
BACTIJ,81.43,-3.4623,0.2882,2.0667,6.4659,12.5023,9.7436,1.9013,1.142,0.0197,28.7
BADQEF,91.7,-2.4448,0.0637,2.0544,6.4838,12.6072,9.8453,1.9558,1.2054,0.0196,26.5
BALPUC,100.59,-2.7235,0.3598,2.0635,6.3515,12.4933,9.7954,1.9533,1.7443,0.0523,20.4
BANFIG,77.82,-3.1512,0.3582,1.7222,6.4219,12.4257,9.7941,1.9181,1.5341,0.014,15.8
BAPHUV,88.15,-2.6634,0.4071,1.961,6.3878,12.438,9.7672,1.9075,1.6094,0.0822,19.7
BAPREQ,81.63,-3.1988,0.1818,2.1092,6.4368,12.5966,9.7848,1.9503,1.3905,0.0187,20.5
BAZZUZ,82,-2.7203,0.346,2.0335,6.4126,12.4561,9.7853,1.8974,1.4009,0.0068,18
BECWAJ,79.71,-3.1092,0.3285,1.988,6.4037,12.4892,9.7785,1.9224,1.4099,0.016,13
BEGRUA,69.11,-3.4615,0.2729,1.8743,6.5454,12.448,9.7337,1.9054,1.2348,0.0249,31
BEGSEL,68.74,-3.4756,0.2746,1.8776,6.5448,12.4479,9.7327,1.9007,1.4825,0.0704,32.8
BEJLUX,85.7,-3.5249,0.4065,1.9547,6.3665,12.4616,9.7654,1.9352,1.4914,0.0721,14.6
BEKKOU,84.74,-3.4322,0.2943,2.2585,6.4012,12.5636,9.7408,1.9038,1.5156,0.0794,28.7
BEKLIP,86.79,-3.5212,0.4936,2.0653,6.3505,12.4243,9.7316,1.9095,1.5711,0.0592,15.8
BENBUU,96.21,-2.6188,0.2353,2.0272,6.4095,12.5565,9.7986,1.9446,1.5825,0.088,25.6
BENRAQ,102.54,-3.0503,0.4428,2.0722,6.3536,12.4323,9.7713,1.978,1.4622,0.0881,16.1
BERMYA,83.49,-3.3911,0.4252,2.2794,6.3626,12.5027,9.7096,1.8996,1.3607,0.0114,27.4
BETFAH,45.93,-3.1522,0.2187,1.7905,6.5997,12.4422,9.7393,1.8868,1.7002,0.0634,35.1
BETJIV,79.85,-3.2335,0.2432,2.1465,6.4217,12.5627,9.7724,1.9242,1.3457,0.0146,16
BEWLIY10,76.87,-3.5486,0.3241,2.0614,6.4714,12.4811,9.7234,1.8978,1.3688,0.0125,22.9
BEWLUN,81.74,-2.8396,0.1413,2.0735,6.4522,12.6098,9.7967,1.9585,1.4468,0.0132,24.6
BEXTUW,77.36,-3.1724,0.3854,1.8778,6.398,12.4469,9.7697,1.9746,1.2995,0.0193,14.1
BEYPOL,53.48,-3.0645,0.235,1.7788,6.5664,12.4254,9.7732,1.9152,1.3316,0.0135,29.5
BICLUW,81.51,-2.8852,0.2118,2.0464,6.4362,12.544,9.8081,1.9411,1.332,0.0125,20.9
BICPAF,62.82,-2.9058,0.2798,1.8131,6.474,12.4504,9.7958,1.8934,1.3407,0.0107,18.8
BIDKAB,74.92,-2.8831,0.3219,1.7019,6.5385,12.3873,9.7524,1.8433,1.725,0.1141,26.6
BIJFOR,80.73,-3.0742,0.2348,2.0902,6.4219,12.5501,9.7932,1.9153,1.2215,0.016,14.6
BILSAQ,89.92,-3.1323,0.4567,2.0412,6.3526,12.4432,9.7475,1.9099,1.6098,0.0886,17.7
BIPXUW,86.98,-2.5935,0.4173,2.0111,6.3829,12.4443,9.7556,1.9537,1.5414,0.0884,16.5
BIURSR,80.91,-2.7542,0.3755,1.6999,6.422,12.3893,9.8132,1.9362,1.575,0.0505,16.7
BOBQOA,75.43,-2.6781,0.3059,1.7195,6.5215,12.4018,9.7709,1.9595,1.7152,0.078,25.4
BOCWUN,93.21,-2.6583,0.3261,1.6501,6.3911,12.4611,9.8217,1.9028,1.5348,0.0768,18.9
BONKAS,91.83,-2.8055,0.3565,2.1711,6.3869,12.4871,9.7695,1.9741,1.3841,0.0232,19
BONKOE03,69.92,-3.229,0.2437,1.8095,6.5526,12.4425,9.7612,1.8876,1.3403,0.0118,31
BOPKAS,71.86,-2.7318,0.3005,1.6494,6.552,12.3836,9.764,1.8792,1.7064,0.1038,28
BOPMAU,81.99,-2.8616,0.1618,2.1108,6.4443,12.5997,9.7942,1.9432,1.1214,0.0216,25.7
BOTLOL,95.93,-3.6645,0.5373,2.6025,6.2921,12.4569,9.7137,1.8474,1.7197,0.061,6.8
BOTWOY,93.9,-3.0152,0.471,2.1546,6.3402,12.4826,9.7063,1.9748,1.5511,0.0871,21.1
BOZHII,83.57,-3.4537,0.3963,1.8211,6.3838,12.4355,9.7844,1.9367,1.4861,0.0726,15
BTYRSB10,45.99,-3.0919,0.3095,1.6013,6.5466,12.3809,9.763,1.8695,1.5638,0.0687,25.1
BUFCAI,81.34,-3.2395,0.2445,1.9754,6.4769,12.5081,9.7705,1.8913,1.354,0.013,26.6
BUKFIZ,80.1,-3.1602,0.3475,2.0523,6.3966,12.494,9.7619,1.9142,1.3889,0.0131,13.2
BUKHOE,65.97,-2.7482,0.3531,2.1002,6.431,12.4554,9.7605,1.9184,1.3201,0.0101,17.5
BUKNEA,82.15,-3.779,0.3589,2.1749,6.3983,12.51,9.7329,1.8771,1.5806,0.0879,24
BUNGIA01,83.94,-2.6632,0.3766,1.8745,6.4169,12.4276,9.7788,1.8945,1.5479,0.0634,24.2
BUTLUX,45.5,-3.1834,0.3374,1.6058,6.5173,12.3984,9.7469,1.8895,1.4005,0.0064,6.1
BZALSC01,70.64,-2.7256,0.1585,1.6471,6.5932,12.4459,9.8024,1.962,1.2722,0.0167,27.4
CABWUA,81.84,-3.2756,0.3664,2.1067,6.3782,12.4993,9.7561,1.9228,1.5322,0.0999,14.3
CACQAA,86.74,-2.9727,0.2378,2.0848,6.4433,12.5305,9.7884,1.9593,1.1874,0.0282,23.4
CAEYOR,45.95,-2.9763,0.2991,1.5699,6.5591,12.3763,9.7656,1.8854,1.5857,0.0265,29.5
CAFMIF,72.2,-2.8178,0.2896,1.6834,6.5597,12.3903,9.7604,1.9461,1.7026,0.0989,32.6
CAGZAO,95.31,-3.5405,0.4762,2.0674,6.3303,12.4468,9.7468,1.9358,1.4743,0.0807,16
CAKMIN,82.41,-3.4815,0.3664,2.1895,6.3821,12.5098,9.7417,1.9213,1.4084,0.0178,13.8
CAKPUZ,87.73,-2.9649,0.4108,1.8207,6.4051,12.404,9.78,1.9152,1.6309,0.0683,13.7
CANHAB,81.79,-3.6941,0.3452,2.2301,6.3959,12.5332,9.7258,1.8795,1.5191,0.072,25.4
CANLOT,90.9,-4.5688,0.48,1.617,6.2913,12.3689,9.8598,1.9867,1.5388,0.0773,49.3
CASLIU,95.66,-2.7877,0.4232,2.0748,6.3696,12.4494,9.7578,1.8998,1.4864,0.0929,27.8
CATMOB,81.51,-3.3753,0.3054,2.0741,6.406,12.5206,9.768,1.9016,1.504,0.0783,14
CAVCIN,87.62,-2.6958,0.3591,2.1428,6.3912,12.4859,9.7638,1.9314,1.4272,0.0178,22.1
CBOHAZ,77.31,-2.9202,0.2567,1.542,6.4691,12.4355,9.8388,1.9327,1.5585,0.0776,18.2
CEBJAX,81.92,-2.9319,0.2636,2.3059,6.4235,12.568,9.7449,1.9266,1.1491,0.0228,19.8
CEBSUY,83.73,-3.1294,0.4099,2.1307,6.3602,12.5152,9.7148,1.9177,1.605,0.0711,22.1
CEBZIU,88.78,-3.2415,0.5035,2.6494,6.2777,12.5075,9.7113,1.9839,1.494,0.0902,18.2
CEJPAI,85.13,-3.4816,0.2858,2.1245,6.4134,12.552,9.7488,1.9006,1.3844,0.0116,24.8
CEJSOA,81.28,-3.1954,0.3583,2.061,6.3944,12.4775,9.7698,1.9367,1.4258,0.0199,16.9
CEKBAX,83.49,-3.3315,0.2517,2.1772,6.4599,12.5221,9.7663,1.9681,1.2154,0.0264,24.4
CEKCUS,80.69,-2.8642,0.2867,1.895,6.4476,12.4907,9.775,1.9635,1.3077,0.0162,21.4
CEKPAJ,84.66,-2.8545,0.2403,2.048,6.4251,12.5556,9.779,1.9302,1.2268,0.0172,26.5
CEKYOI,82.52,-3.3675,0.1842,2.1168,6.4279,12.6074,9.7805,1.937,1.3914,0.011,19.2
CELCAX,79.6,-3.0954,0.2053,2.0483,6.4473,12.5625,9.7849,1.9461,1.1892,0.016,17.3
CELZAX,63.11,-2.9139,0.4123,1.9005,6.4366,12.387,9.7641,1.9029,1.6664,0.0636,23.2
CEPQIY,81.05,-2.6835,0.3064,1.9089,6.453,12.457,9.7836,1.9464,1.6625,0.0701,19.4
CEPSOF,86.36,-2.8245,0.4151,1.9303,6.4047,12.4178,9.7624,1.9422,1.6184,0.0806,21.6
CEQRAR,83.02,-3.62,0.31,2.1311,6.3903,12.5437,9.756,1.9268,1.5181,0.0803,13.6
CHXADI10,68.47,-3.3293,0.2337,1.8424,6.5558,12.4427,9.7678,1.8822,1.3566,0.0116,4.5
CIBGUP,82.3,-2.6336,0.3197,1.7734,6.4197,12.4592,9.8013,1.9275,1.6434,0.0723,18.8
CIDFON,82.87,-3.6348,0.2692,2.2882,6.4022,12.6004,9.7283,1.9441,1.4465,0.0129,20.5
CIDKUY,79.69,-3.5521,0.287,2.0366,6.4646,12.5167,9.7317,1.9099,1.5364,0.0783,26.5
CIFNUA,84.6,-3.8069,0.4441,2.0844,6.3731,12.4697,9.7131,1.9188,1.5197,0.077,20.8
CIHHAD,80.9,-3.4714,0.2983,2.3932,6.3734,12.5638,9.7646,1.9833,1.1744,0.0246,21.9
CILDOQ,83.41,-3.4248,0.3343,1.6379,6.3822,12.4309,9.8527,1.9701,1.3251,0.0166,8.2
CINMER02,88.88,-3.4029,0.481,2.0873,6.3501,12.4505,9.7185,1.9163,1.5406,0.064,18.2
CIPGOA,81.8,-3.4006,0.3547,2.1362,6.3803,12.5045,9.7605,1.9279,1.4398,0.0162,12.2
CIPMUK,89.88,-2.9647,0.3843,1.775,6.3806,12.4379,9.7972,1.9398,1.6484,0.0949,15.2
CISBUE,88.85,-3.1222,0.5068,2.2839,6.3339,12.4829,9.6764,1.9698,1.6278,0.0898,22.8
CITARC01,79.67,-2.5053,0.3181,1.7102,6.4678,12.4225,9.7916,1.8742,1.4812,0.0807,25.5
CITREC01,80.73,-3.1427,0.2428,1.8944,6.4629,12.5089,9.7855,1.8993,1.51,0.0776,28.6
CIVVEK,81.35,-3.7114,0.3739,1.7133,6.3431,12.4068,9.8762,1.9789,1.4474,0.0187,31.4
CIWWOX,83.16,-3.5181,0.4848,2.0612,6.3704,12.4163,9.7285,1.8831,1.606,0.0693,13
CIYVOX,79.76,-3.0992,0.2648,2.0048,6.4507,12.4786,9.8058,1.991,1.3468,0.0176,13.9
CIZRAE,81.99,-3.4238,0.3533,2.1387,6.3799,12.506,9.7608,1.9255,1.5627,0.0848,10.9
CIZYAL,86.45,-3.4175,0.4522,1.9483,6.3502,12.4546,9.743,1.9392,1.5342,0.0917,15.6
COJTUQ,77.95,-2.6274,0.2337,1.5856,6.4651,12.4662,9.835,1.9617,1.6966,0.1038,20.5
COKBUC,80.6,-3.5404,0.2755,2.0511,6.4568,12.5267,9.7411,1.9031,1.289,0.0188,26.6
COKSUR,84.59,-2.8211,0.2922,2.1245,6.4098,12.543,9.755,1.9177,1.3447,0.0172,2.6
COMHER,93.12,-2.9766,0.415,1.8769,6.3593,12.4287,9.7971,1.905,1.4681,0.086,12.6
COMSUT,84.71,-2.5482,0.2919,2.0847,6.4003,12.5306,9.7772,1.927,1.3991,0.0204,91.2
CONCYT,95.62,-3.5261,0.5517,2.5382,6.3118,12.5153,9.6212,1.9929,1.4083,0.0906,25.8
COPFOE01,82.18,-3.6449,0.2949,2.1311,6.4187,12.5504,9.736,1.9064,1.2544,0.0238,24.4
CORYOZ,81.16,-3.2644,0.226,2.1478,6.4238,12.5759,9.7743,1.9358,1.2445,0.0145,18.4
COTKEC,82.56,-3.3403,0.1836,2.1153,6.4285,12.6065,9.7815,1.926,1.3738,0.01,18.7
COVVIS,69.24,-3.1914,0.2372,1.8008,6.5576,12.4395,9.7656,1.875,1.364,0.0107,30.8
COWSUE,69.41,-3.2102,0.2307,1.8674,6.5621,12.45,9.7573,1.8885,1.2458,0.0195,28
COXHUV,87.61,-3.0757,0.5319,2.3326,6.3285,12.4515,9.688,1.9056,1.7133,0.1014,19
COXROW,82.04,-3.2191,0.2956,2.3496,6.4075,12.5768,9.72,1.9326,1.211,0.0201,24.1
COYSEO,82.75,-3.3105,0.477,2.0628,6.3615,12.4286,9.7329,1.9238,1.6445,0.0802,14.9
CPIPCL,44.58,-3.0851,0.308,1.5692,6.5501,12.3747,9.7672,1.8876,1.6723,0.0684,26.1
CUCCEI,85.53,-3.0795,0.4697,2.1788,6.3598,12.4592,9.7114,1.9668,1.4392,0.0986,22
CUCKER,83.49,-3.2366,0.4197,2.2347,6.3663,12.5036,9.7104,1.9335,1.587,0.0695,25.4
CUFRIH,81.84,-3.2545,0.2365,2.1912,6.4152,12.564,9.7843,1.936,1.0827,0.023,17.8
CUQTEN,81.27,-3.6195,0.3192,2.1223,6.4099,12.5254,9.7454,1.9233,1.164,0.0162,25.3
CUVMUD,85.23,-2.724,0.3855,1.9294,6.4107,12.434,9.7697,1.9029,1.6195,0.0926,21.6
CUVVAT,81.98,-2.8113,0.4113,1.9496,6.4232,12.42,9.7455,1.8712,1.514,0.0859,28.8
DABTAB,87.52,-2.8936,0.4078,2.0538,6.3562,12.4424,9.7936,1.9407,1.6376,0.0571,9.2
DACHQO,88.45,-2.9767,0.4634,2.1936,6.3572,12.4684,9.711,1.9556,1.5173,0.0876,21.2
DACNAP,82.24,-3.0752,0.4397,1.9555,6.3838,12.4135,9.7631,1.9174,1.6009,0.0491,13.6
DAHKAB,89.22,-2.7856,0.3561,2.0242,6.3842,12.4674,9.7924,1.965,1.4913,0.0932,15.9
DAHMII,68.84,-3.2401,0.245,1.8275,6.5539,12.4408,9.7603,1.9097,1.346,0.0155,32
DAJBIB,84.65,-3.1441,0.3034,2.1866,6.3954,12.5434,9.7579,1.9541,1.5374,0.0934,23.2
DAKDAU,91.82,-3.3578,0.52,2.3147,6.3213,12.4897,9.669,1.9633,1.5329,0.0806,19.8
DALZEW,81.72,-2.8812,0.1754,2.0602,6.443,12.5914,9.7903,1.929,1.3301,0.0144,18.8
DANJOS,94.75,-2.5499,0.3082,1.8749,6.4193,12.4753,9.7971,1.9846,1.4181,0.0091,17.6
DAXCAJ,82.71,-3.1167,0.2398,2.2485,6.4143,12.574,9.772,1.9038,1.1685,0.019,19.9
DAYNUN,76.24,-2.6205,0.3039,1.6706,6.522,12.397,9.7771,1.9582,1.5561,0.0844,27.5
DAYYUA,77.7,-2.9039,0.1625,1.9456,6.4541,12.5487,9.8348,1.9314,1.3821,0.0163,26.1
DEBFAR01,88.45,-3.2205,0.4805,2.067,6.3553,12.4293,9.7348,1.8843,1.6093,0.0703,16.3
DEDDEV,88.54,-3.3025,0.518,2.3414,6.3327,12.4755,9.6739,1.9666,1.5151,0.0823,20.8
DEJWUN,81.19,-3.3034,0.336,1.9084,6.3946,12.4823,9.7871,1.9199,1.5268,0.0809,18.1
DEKKIO,85.28,-3.3991,0.3977,2.2709,6.3685,12.5336,9.7002,1.8895,1.3953,0.0112,18.8
DELZAW,57.88,-3.0268,0.2276,1.7312,6.5762,12.4137,9.7825,1.9057,1.5541,0.0343,26.4
DEPDIL,87.14,-3.1429,0.4926,2.2773,6.3452,12.4751,9.6871,1.9776,1.5919,0.0758,21.5
DEXGIW,88.37,-2.4442,0.3334,1.873,6.4111,12.4588,9.7967,1.9619,1.5524,0.0862,19.2
DEYPAA,92.98,-2.9994,0.4718,2.2263,6.3477,12.4787,9.7018,1.9747,1.4396,0.1052,21.7
DIBYOF,94.11,-3.8372,0.2849,3.3258,6.3456,12.7476,9.6218,1.9662,1.3027,0.0101,54.4
DIBZAQ02,64.01,-3.209,0.4666,2.0411,6.4058,12.3963,9.7314,1.9072,1.476,0.0672,19.1
DIGCAY,65.91,-2.7591,0.2329,2.0672,6.4476,12.5282,9.7913,1.9158,1.2463,0.0172,23
DISYAH,93.48,-2.7244,0.3424,2.0968,6.3798,12.4911,9.7867,1.9267,1.3882,0.0148,17.9
DIVLOM,82.45,-3.2705,0.2024,2.0723,6.4267,12.5866,9.7842,1.9442,1.2106,0.0203,18
DIWJAV,54.75,-3.0258,0.2249,1.7498,6.5842,12.4115,9.7794,1.8711,1.5911,0.0823,37.7
DIYPUX,83.34,-2.9598,0.2787,2.0771,6.4075,12.547,9.7668,1.9374,1.5651,0.0914,22.5
DIYYUH,92.71,-2.5926,0.3805,1.9685,6.3761,12.4804,9.7631,1.9449,1.6043,0.103,17.7
DMGUAN10,69.85,-3.2011,0.2422,1.815,6.5546,12.4401,9.7631,1.9175,1.4909,0.0684,30.4
DOBBUS,93.29,-2.8633,0.4152,2.0285,6.3621,12.4536,9.7691,1.9357,1.6138,0.0841,16.3
DOJMEW,90.98,-2.8412,0.3933,1.9368,6.3795,12.4621,9.7651,1.8955,1.54,0.0925,20
DOQWEN,96.24,-2.9007,0.4853,2.1126,6.3408,12.4314,9.7425,1.9652,1.424,0.1027,16.7
DOQZIU,82.22,-3.3613,0.1844,2.1152,6.429,12.6051,9.7815,1.9358,1.2146,0.02,19.4
DOTRUZ,85.44,-2.5861,0.4065,1.9563,6.3838,12.4367,9.773,1.9292,1.5662,0.0667,17.7
DOWROY,81.09,-2.9238,0.1998,2.0561,6.4402,12.5754,9.7847,1.9257,1.3111,0.0131,22.9
DUBHUF,90.45,-3.3324,0.4501,1.9908,6.3432,12.4703,9.7364,1.9159,1.5516,0.073,12.6
DUBJAN,89.26,-2.9535,0.3724,2.1058,6.3843,12.4741,9.7693,1.9191,1.6184,0.0759,19.5
DUDFOY,104.4,-2.8814,0.3622,1.7872,6.3699,12.4511,9.8168,1.9299,1.7086,0.0418,16.1
DUGCOA,99.19,-2.6174,0.3355,1.7544,6.3862,12.4634,9.8149,1.935,1.595,0.0794,-0.8
DUJQOP,92.16,-2.7888,0.4012,1.9982,6.3615,12.4754,9.7619,1.9404,1.5826,0.0965,19.9
DUJVAG,79.84,-3.0437,0.3096,1.9568,6.4095,12.4926,9.7883,1.9228,1.4239,0.017,16.7
DULJEA,80.61,-2.976,0.2275,1.872,6.4548,12.5065,9.8112,1.9293,1.5291,0.0787,24.5
DULKUR,84.91,-2.7287,0.4122,1.9159,6.3938,12.4159,9.7782,1.9154,1.6093,0.0732,17.9
DUMJUQ01,80.82,-2.5491,0.3107,1.6953,6.4768,12.4206,9.7919,1.8815,1.5259,0.0597,21.4
DUNCEW,67.29,-2.5177,0.3211,2.0913,6.3993,12.5068,9.7729,1.9723,1.252,0.0178,32.1
DUNQIN,97.96,-2.86,0.3886,2.3584,6.3539,12.5292,9.7283,1.9335,1.64,0.0782,15.8
DUPFEA,82.22,-3.0843,0.2412,1.9203,6.4355,12.5126,9.8107,1.9089,1.4958,0.0772,24
DUPKII,82.05,-3.4199,0.2877,2.0605,6.4061,12.5342,9.772,1.895,1.2859,0.0138,12.2
DUSCAY,93.39,-3.3513,0.4395,1.9795,6.3412,12.4596,9.7597,1.9223,1.6089,0.0681,12.8
DUSWOE,80.47,-3.1758,0.2467,1.919,6.4684,12.5089,9.776,1.8948,1.5053,0.0789,28.7
DUXGAF,86.04,-2.6541,0.3873,1.9028,6.4142,12.4247,9.7738,1.8983,1.6316,0.0821,19.5
DUYYAY,86.73,-2.656,0.427,2.05,6.377,12.4442,9.7518,1.9146,1.6018,0.0788,17.2
DUZGEK,79.16,-3.2567,0.4004,1.9775,6.395,12.4392,9.7655,1.9598,1.2727,0.0082,12.3
EBEYUH,78.43,-2.7968,0.2364,1.7423,6.4928,12.4583,9.8125,1.9115,1.3897,0.0098,23.4
EBICOI,58.59,-3.0878,0.2167,1.8065,6.5559,12.4435,9.7839,1.9207,1.331,0.0079,25.9
ECIBOJ,86.46,-2.6988,0.3882,1.8879,6.4083,12.4258,9.7777,1.9416,1.6711,0.093,19.4
ECINUB,90.82,-2.7922,0.4192,1.978,6.3669,12.4579,9.7559,1.9212,1.4849,0.0777,18.7
ECIRAM,76.66,-2.964,0.2615,1.539,6.4678,12.4331,9.8376,1.9451,1.0931,0.02,16.3
ECONUG,82.16,-2.8707,0.1536,2.1128,6.4458,12.6049,9.7957,1.9314,1.1886,0.0237,20
EDEVEP,76.23,-2.9135,0.2997,1.6584,6.4578,12.4436,9.799,1.9007,1.6083,0.0758,15.4
