Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA)
GAVKIA,0,-5.8,-4,11.8,-63,1.8,17.6,Minimum,Minimum,Correct TS
GAVMUM,0,-8.4,14,11.2,-63,22.4,19.6,Minimum,Minimum,Correct TS
GAWJIY,0,-5,7,10.2,-63,12,15.2,Minimum,Minimum,Correct TS
GAWNIB,0,-3.7,6.2,13.5,-63,9.9,17.2,Minimum,Minimum,Correct TS
GAWSED,0,-7,4.9,10.1,-63,11.9,17.2,Minimum,Minimum,Correct TS
GAXJOE,0,-7.4,10.6,10.4,-63,18.1,17.8,Minimum,Minimum,Correct TS
GAZDOA,0,-10.4,13.3,9.8,-63,23.7,20.2,Minimum,Minimum,Correct TS
GAZGOF,0,-21.7,-3.1,-9.9,-63,18.5,11.8,Minimum,Minimum,Correct TS
GEFCUP,0,-7,12.2,10.3,-63,19.3,17.3,Minimum,Minimum,Correct TS
GEFGUV,0,-10.8,6.9,11,-63,17.7,21.7,Minimum,Minimum,Correct TS
GEHHIL,0,-2.1,19.4,13,-63,21.5,15.1,Minimum,Minimum,Correct TS
GEKROG,0,-5.2,9.6,9,-63,14.9,14.3,Minimum,Minimum,Correct TS
GEMYIG,0,-3.9,21.7,14,-63,25.6,17.9,Minimum,Minimum,Correct TS
GENJER,0,-14.2,18,13.6,-63,32.2,27.7,Minimum,Minimum,Correct TS
GENMIW,0,-10.9,11.6,12.9,-63,22.5,23.8,Minimum,Minimum,Correct TS
GENVAX,0,-4.1,14.4,13.7,-63,18.4,17.8,Minimum,Minimum,Correct TS
GENZEF,0,-6.8,9.9,11.6,-63,16.8,18.5,Minimum,Minimum,Correct TS
GEPSEB,0,-26.2,33.2,90.2,-63,59.5,116.4,Minimum,Minimum,Correct TS
GEQBIP,0,-9.1,9.7,8.5,-63,18.8,17.6,Minimum,Minimum,Correct TS
GEQFUD,0,-22.1,-9.7,-0.6,-63,12.4,21.5,Minimum,Minimum,Correct TS
GEQNUO,0,-5.4,15.8,13.3,-63,21.3,18.8,Minimum,Minimum,Correct TS
GEQQUO,0,-6.6,6.4,12.9,-63,13,19.5,Minimum,Minimum,Correct TS
GEQWIL,0,-6.1,9.4,11.9,-63,15.5,18,Minimum,Minimum,Correct TS
GEQWOR,0,-6.1,11.4,12.1,-63,17.5,18.1,Minimum,Minimum,Correct TS
GEQXAE,0,-7.9,12.5,11.4,-63,20.4,19.4,Minimum,Minimum,Correct TS
GEQYAF,0,-6.6,11.9,12,-63,18.5,18.6,Minimum,Minimum,Correct TS
GERMIC,0,-4.4,13.6,11.1,-63,18,15.5,Minimum,Minimum,Correct TS
GESJET,0,-12.8,12.7,8.2,-63,25.5,21,Minimum,Minimum,Correct TS
GESRIH,0,-6.5,14.2,13.7,-63,20.7,20.3,Minimum,Minimum,Correct TS
GEVBIT,0,-7.8,5.2,8,-63,13,15.8,Minimum,Minimum,Correct TS
GEVCIU,0,-5.1,16.5,14.3,-63,21.6,19.4,Minimum,Minimum,Correct TS
GEWZUF,0,-6.2,-2.4,4.7,-63,3.9,10.9,Minimum,Minimum,Correct TS
GEXTEI,0,-11.4,14.5,9.9,-63,25.9,21.3,Minimum,Minimum,Correct TS
GIBXOH,0,-15,3.6,8.1,-63,18.6,23.1,Minimum,Minimum,Correct TS
GICNOV,0,-9.6,13.7,12.1,-63,23.3,21.6,Minimum,Minimum,Correct TS
GIDSIY,0,-4.5,22.1,10.4,-63,26.7,15,Minimum,Minimum,Correct TS
GIGDOR,0,-9.3,5.1,8.7,-63,14.4,18.1,Minimum,Minimum,Correct TS
GIGNUH,0,-13.9,9.9,9.6,-63,23.8,23.5,Minimum,Minimum,Correct TS
GIGQEV,0,-9.6,9.9,7.6,-63,19.5,17.2,Minimum,Minimum,Correct TS
GIGVID,0,-4.8,11.7,12.2,-63,16.6,17,Minimum,Minimum,Correct TS
GIHCOQ01,0,-15.9,11.8,9.6,-63,27.7,25.5,Minimum,Minimum,Correct TS
GIHCUW,0,-12.6,15.2,11.9,-63,27.8,24.5,Minimum,Minimum,Correct TS
GILQAW,0,-21.8,0.6,7.5,-63,22.4,29.3,Minimum,Minimum,Correct TS
GINCAI01,0,-2.4,14.5,13.9,-63,17,16.4,Minimum,Minimum,Correct TS
GIQHUM,0,-4.8,10.9,10.5,-63,15.8,15.3,Minimum,Minimum,Correct TS
GIQJEY,0,-4.7,11.5,10.9,-63,16.2,15.6,Minimum,Minimum,Correct TS
GIQNUQ,0,-8.9,5.1,9,-63,14,17.9,Minimum,Minimum,Correct TS
GIQQUS,0,-3.9,18,12.2,-63,22,16.1,Minimum,Minimum,Correct TS
GIRSEF10,0,-6.1,12,10.7,-63,18.1,16.8,Minimum,Minimum,Correct TS
GIRSOR,0,-4.3,15.7,11.5,-63,20,15.8,Minimum,Minimum,Correct TS
GIRYEM01,0,-6,14.7,12.3,-63,20.8,18.4,Minimum,Minimum,Correct TS
GIRZUD,0,-6.8,16.8,12.4,-63,23.7,19.2,Minimum,Minimum,Correct TS
GIVFOJ,0,-12,10.1,9.6,-63,22.1,21.7,Minimum,Minimum,Correct TS
GIVWOA,0,-5.6,8.7,10.1,-63,14.3,15.7,Minimum,Minimum,Correct TS
GIVYES,0,-14.1,-5.4,15.2,-63,8.7,29.3,Minimum,Minimum,Correct TS
GIWFAW,0,-4.2,14.9,13.7,-63,19.2,17.9,Minimum,Minimum,Correct TS
GIXQIQ,0,-22.5,2,-9.4,-63,24.5,13,Minimum,Minimum,Correct TS
GIYMIN,0,-8.5,13.2,7.1,-63,21.6,15.6,Minimum,Minimum,Correct TS
GIYMOT,0,-7.3,7.2,9.6,-63,14.5,16.9,Minimum,Minimum,Correct TS
GIZSOY,0,-16.1,2.8,0.9,-63,18.8,16.9,Minimum,Minimum,Correct TS
GIZYIY01,0,-8.4,14.1,12.5,-63,22.5,20.9,Minimum,Minimum,Correct TS
GLTLYR10,0,1.3,21.8,17.3,-63,21.8,17.3,Minimum,Minimum,Correct TS
GOCHUC,0,-14.5,9,5.3,-63,23.5,19.8,Minimum,Minimum,Correct TS
GOCJIR,0,-7.5,11.3,8,-63,18.8,15.5,Minimum,Minimum,Correct TS
GOCJUG,0,-4,15.8,11.9,-63,19.8,15.9,Minimum,Minimum,Correct TS
GOCKER,0,-6.6,13.6,11.8,-63,20.2,18.4,Minimum,Minimum,Correct TS
GOCMAN,0,-10.7,9.8,10.4,-63,20.5,21.1,Minimum,Minimum,Correct TS
GODVOK,0,-12.5,8.8,9.4,-63,21.2,21.8,Minimum,Minimum,Correct TS
GOFJUJ,0,-2.2,12,11.4,-63,14.2,13.6,Minimum,Minimum,Correct TS
GOGWEG,0,-11.1,1,10.2,-63,12.1,21.3,Minimum,Minimum,Correct TS
GOHVUU,0,-6.6,4.8,8.9,-63,11.5,15.5,Minimum,Minimum,Correct TS
GOHYEK,0,-5.5,17.3,12.2,-63,22.8,17.6,Minimum,Minimum,Correct TS
GOHYOT,0,-9,9.8,8.4,-63,18.8,17.4,Minimum,Minimum,Correct TS
GOJBUC,0,-24.3,-17.3,12,-63,7,36.3,Minimum,Minimum,Correct TS
GOJROM01,0,-7,11.1,12.3,-63,18.2,19.3,Minimum,Minimum,Correct TS
GOKPIF,0,-4.9,1.2,16,-63,6,20.8,Minimum,Minimum,Correct TS
GOKSAC,0,-10.2,6.8,9,-63,17,19.3,Minimum,Minimum,Correct TS
GOLDOA,0,-8.4,11.2,7.9,-63,19.5,16.3,Minimum,Minimum,Correct TS
GOLWUZ,0,-6.1,20.7,11.8,-63,26.8,17.9,Minimum,Minimum,Correct TS
GOMSAC,0,-14.1,-10,12.1,-63,4.1,26.1,Minimum,Minimum,Correct TS
GOPLUU,0,-12.7,11.3,9.1,-63,24,21.9,Minimum,Minimum,Correct TS
GOQQOU,0,-2.4,18.1,14.1,-63,20.5,16.5,Minimum,Minimum,Correct TS
GOQQUA,0,-12.8,5.3,7.4,-63,18.1,20.2,Minimum,Minimum,Correct TS
GOTFAY,0,-34.5,16.3,10.5,-63,50.8,44.9,Minimum,Minimum,Correct TS
GOTSOX,0,-6.8,6.3,6.8,-63,13.1,13.6,Minimum,Minimum,Correct TS
GOWJUZ,0,-3.8,15.1,12.4,-63,18.9,16.2,Minimum,Minimum,Correct TS
GOXNIT,0,-11.9,15.2,5.6,-63,27.1,17.5,Minimum,Minimum,Correct TS
GOYTUL,0,-9.9,6.2,9.7,-63,16.1,19.7,Minimum,Minimum,Correct TS
GOZDAA,0,1.9,13.7,11.7,-63,13.7,11.7,Minimum,Minimum,Correct TS
GOZQIX01,0,-19.8,17.3,13.9,-63,37.1,33.7,Minimum,Minimum,Correct TS
GUACET,0,-2.6,20.7,13.3,-63,23.2,15.9,Minimum,Minimum,Correct TS
GUANSH10,0,-11.9,18.2,8.8,-63,30.1,20.8,Minimum,Minimum,Correct TS
GUBPIF,0,-23.7,1.4,1.8,-63,25.1,25.6,Minimum,Minimum,Correct TS
GUBXEJ,0,-3,19.3,16.7,-63,22.3,19.8,Minimum,Minimum,Correct TS
GUDQUR,0,-6,7.5,11.5,-63,13.5,17.4,Minimum,Minimum,Correct TS
GUDWUZ,0,-11.8,14,9.4,-63,25.8,21.2,Minimum,Minimum,Correct TS
GUFDOB,0,-9.7,4.1,8.4,-63,13.8,18.1,Minimum,Minimum,Correct TS
GUFFIX,0,-13,11.5,7.4,-63,24.6,20.5,Minimum,Minimum,Correct TS
GUGKOJ,0,-4.9,16,17.7,-63,20.9,22.7,Minimum,Minimum,Correct TS
GUHRIK,0,-11.1,6.9,6.3,-63,17.9,17.4,Minimum,Minimum,Correct TS
GUHXOZ,0,-0.5,23.1,17.5,-63,23.6,17.9,Minimum,Minimum,Correct TS
GUJKAY,0,-6.1,13.7,10.5,-63,19.9,16.6,Minimum,Minimum,Correct TS
GULMUY,0,-14.1,5.9,1.4,-63,20.1,15.6,Minimum,Minimum,Correct TS
GUMJIJ,0,-11.7,17,9.6,-63,28.7,21.3,Minimum,Minimum,Correct TS
GUNDOI,0,-9.3,10.2,10.2,-63,19.6,19.6,Minimum,Minimum,Correct TS
GUOSBH,0,-12.7,15.1,8.5,-63,27.8,21.2,Minimum,Minimum,Correct TS
GUQBUR,0,-10.1,13.8,10,-63,24,20.2,Minimum,Minimum,Correct TS
GUQJUZ,0,-10.9,14.8,9.1,-63,25.7,20,Minimum,Minimum,Correct TS
GUQLIN,0,-11.7,1.1,0.6,-63,12.9,12.3,Minimum,Minimum,Correct TS
GURGAB,0,-7.2,10.3,11.3,-63,17.5,18.5,Minimum,Minimum,Correct TS
GURHAD,0,-8.5,13.2,7.2,-63,21.7,15.6,Minimum,Minimum,Correct TS
GURLOV,0,-5,14.8,11.5,-63,19.8,16.4,Minimum,Minimum,Correct TS
GUTNIS,0,-6.4,12.1,11.3,-63,18.5,17.7,Minimum,Minimum,Correct TS
GUVBEG,0,-7.2,11,10.2,-63,18.2,17.5,Minimum,Minimum,Correct TS
GUVBIK,0,-4.9,12.8,11.5,-63,17.7,16.4,Minimum,Minimum,Correct TS
GUVHOW,0,-8.8,17.9,12.6,-63,26.7,21.4,Minimum,Minimum,Correct TS
GUVQOE,0,-1.1,17.1,11.9,-63,18.2,13.1,Minimum,Minimum,Correct TS
GUVZON,0,-11.3,4.2,8.2,-63,15.5,19.5,Minimum,Minimum,Correct TS
GUXVIF,0,-13.1,11.9,13.6,-63,25,26.7,Minimum,Minimum,Correct TS
GUZMUK,0,-12,5.5,9.6,-63,17.5,21.6,Minimum,Minimum,Correct TS
GUZZAD,0,1.4,16.7,11.8,-63,16.7,11.8,Minimum,Minimum,Correct TS
HABVAJ,0,-5.8,15.8,12.4,-63,21.6,18.2,Minimum,Minimum,Correct TS
HABVEN,0,-6.3,15.1,11.7,-63,21.4,18,Minimum,Minimum,Correct TS
HABXEO,0,-4.2,13.9,11.5,-63,18.1,15.7,Minimum,Minimum,Correct TS
HACFEW,0,-17.9,8.6,7.3,-63,26.5,25.2,Minimum,Minimum,Correct TS
HACMUT,0,-7.3,19.4,10.9,-63,26.7,18.2,Minimum,Minimum,Correct TS
HACNUV,0,-12.2,-10.6,8.2,-63,1.6,20.4,Minimum,Minimum,Correct TS
HAGPOV,0,-3.8,16,10.4,-63,19.8,14.2,Minimum,Minimum,Correct TS
HAGQIQ,0,-2.2,17.8,13.5,-63,20,15.7,Minimum,Minimum,Correct TS
HAGZEX,0,-7.4,12.5,13.3,-63,19.9,20.7,Minimum,Minimum,Correct TS
HAGZOH01,0,-8.1,14.3,13.5,-63,22.4,21.6,Minimum,Minimum,Correct TS
HAHGAA,0,0.2,20.3,18.8,-63,20.3,18.8,Minimum,Minimum,Correct TS
HAHHIK,0,-5.9,5.7,7.4,-63,11.6,13.3,Minimum,Minimum,Correct TS
HAJMOU,0,-9.2,9.2,10.9,-63,18.4,20.1,Minimum,Minimum,Correct TS
HAKCON,0,-8.4,9.4,10,-63,17.8,18.4,Minimum,Minimum,Correct TS
HALJUB,0,-13.4,13.8,13.2,-63,27.2,26.6,Minimum,Minimum,Correct TS
HALLOV,0,-2.4,13.6,13.5,-63,16,16,Minimum,Minimum,Correct TS
HALVEX,0,-9,6.3,6.8,-63,15.3,15.8,Minimum,Minimum,Correct TS
HAMBUA,0,-21.3,9.4,3.5,-63,30.7,24.7,Minimum,Minimum,Correct TS
HAMHUZ,0,-16.7,-6.8,-12.3,-63,9.9,4.4,Minimum,Minimum,Correct TS
HANMAM,0,-6.4,10.2,11.8,-63,16.6,18.2,Minimum,Minimum,Correct TS
HAQBIK,0,-8.1,6,8.3,-63,14,16.3,Minimum,Minimum,Correct TS
HARMUL,0,-5.5,15.1,12.7,-63,20.6,18.2,Minimum,Minimum,Correct TS
HARZUY,0,-10.5,7.9,7.5,-63,18.4,18,Minimum,Minimum,Correct TS
HASBUY,0,-0.7,17.6,14.8,-63,18.4,15.5,Minimum,Minimum,Correct TS
HATDAK,0,-13.8,6,0.7,-63,19.7,14.4,Minimum,Minimum,Correct TS
HATPIC,0,-7,-6.8,8.2,-63,0.2,15.1,Minimum,Minimum,Correct TS
HAXLID,0,-9.7,15.1,11.7,-63,24.8,21.5,Minimum,Minimum,Correct TS
HAXLOJ,0,-9.7,15.3,11.5,-63,25,21.2,Minimum,Minimum,Correct TS
HAZFEW,0,-8.7,9.4,8.5,-63,18.2,17.2,Minimum,Minimum,Correct TS
HEBGEA,0,-14.1,-0.3,7.3,-63,13.8,21.5,Minimum,Minimum,Correct TS
HECHAY01,0,-3.1,14.2,13.7,-63,17.3,16.9,Minimum,Minimum,Correct TS
HECKOS,0,-7.2,12.7,10.1,-63,19.9,17.3,Minimum,Minimum,Correct TS
HECPAJ02,0,-6.4,14.3,10.2,-63,20.8,16.7,Minimum,Minimum,Correct TS
HEFXIB,0,-12.7,11.6,12.8,-63,24.2,25.5,Minimum,Minimum,Correct TS
HEHNOA01,0,-0.7,20.8,10.7,-63,21.4,11.4,Minimum,Minimum,Correct TS
HEJBIH,0,-11.9,20,10.7,-63,31.9,22.5,Minimum,Minimum,Correct TS
HEJZON,0,-14.3,-8.5,6.3,-63,5.8,20.6,Minimum,Minimum,Correct TS
HEKMOC,0,-12.3,7.3,10.6,-63,19.7,22.9,Minimum,Minimum,Correct TS
HEKTUM,0,-13.4,0,-2.6,-63,13.4,10.8,Minimum,Minimum,Correct TS
HEKVOI,0,-8.1,14.9,13.4,-63,23,21.5,Minimum,Minimum,Correct TS
HEKVUO,0,-5.6,10.7,14.9,-63,16.4,20.5,Minimum,Minimum,Correct TS
HELZAC,0,-8.9,5.2,14.7,-63,14.2,23.6,Minimum,Minimum,Correct TS
HENHAM,0,-9,12.8,9.4,-63,21.8,18.4,Minimum,Minimum,Correct TS
HEPFUD,0,-13.9,10.1,9,-63,24,22.8,Minimum,Minimum,Correct TS
HEPPUO,0,-1.8,21,15.5,-63,22.9,17.3,Minimum,Minimum,Correct TS
HERLOG,0,-10.6,12.8,10.8,-63,23.4,21.4,Minimum,Minimum,Correct TS
HESCOY,0,-12.7,12.8,11.9,-63,25.4,24.5,Minimum,Minimum,Correct TS
HESPIE,0,-13.4,4.4,1.5,-63,17.8,14.9,Minimum,Minimum,Correct TS
HESRUS10,0,-9.6,-2.2,11.1,-63,7.4,20.7,Minimum,Minimum,Correct TS
HETTUY,0,-16.3,7.3,8,-63,23.7,24.3,Minimum,Minimum,Correct TS
HEWLOL01,0,-12.4,6.8,6.7,-63,19.2,19.1,Minimum,Minimum,Correct TS
HEWRAD02,0,-16.4,4.7,2.7,-63,21.2,19.1,Minimum,Minimum,Correct TS
HEWVAH,0,-5.1,23,20.7,-63,28.1,25.8,Minimum,Minimum,Correct TS
HEXKAZ,0,-13.3,-0.9,5.8,-63,12.4,19.1,Minimum,Minimum,Correct TS
HEYJIE,0,-6.8,11.3,11.9,-63,18.1,18.7,Minimum,Minimum,Correct TS
HEZNAE,0,-12.2,9.2,8.9,-63,21.4,21.1,Minimum,Minimum,Correct TS
HEZSAJ,0,4.5,6.3,17.6,-63,6.3,17.6,Minimum,Minimum,Correct TS
HEZWIT,0,-7.9,7.5,9.9,-63,15.4,17.8,Minimum,Minimum,Correct TS
HEZYUJ,0,-8.5,16.3,8.7,-63,24.8,17.2,Minimum,Minimum,Correct TS
HIBYEW,0,-9.8,12.1,11.8,-63,21.9,21.6,Minimum,Minimum,Correct TS
HIBZOH,0,-10.9,14.1,9.9,-63,25.1,20.8,Minimum,Minimum,Correct TS
HICSET,0,-5.9,15.6,10.9,-63,21.5,16.8,Minimum,Minimum,Correct TS
HIDNAJ,0,-7.2,12.1,7.5,-63,19.3,14.7,Minimum,Minimum,Correct TS
HIDWAT,0,-11.7,11.3,10,-63,23,21.7,Minimum,Minimum,Correct TS
HIDWUN,0,-14.2,4.7,9.4,-63,18.9,23.6,Minimum,Minimum,Correct TS
HIDYEZ,0,0.1,18.7,14.5,-63,18.7,14.5,Minimum,Minimum,Correct TS
HIFWAX,0,-0.9,17.6,11.5,-63,18.5,12.4,Minimum,Minimum,Correct TS
HIFWOI,0,-9.5,-25.2,8.4,-63,-15.7,17.9,Minimum,Minimum,Correct TS
HIGCAB,0,-4.1,21.6,12.4,-63,25.7,16.6,Minimum,Minimum,Correct TS
HIHCAF,0,-7.3,14,13.1,-63,21.3,20.4,Minimum,Minimum,Correct TS
HIHCEH,0,-7,12.4,11,-63,19.5,18.1,Minimum,Minimum,Correct TS
HIHHIS,0,-9.2,6.4,5.9,-63,15.6,15.1,Minimum,Minimum,Correct TS
HIHNIV,0,-7.8,14.5,12.5,-63,22.4,20.4,Minimum,Minimum,Correct TS
HIJBEK,0,-10.7,11.3,12.1,-63,21.9,22.8,Minimum,Minimum,Correct TS
HIJVOO,0,-8.7,15.7,11.3,-63,24.4,20,Minimum,Minimum,Correct TS
HILLOE,0,-8.4,3.2,8.7,-63,11.5,17.1,Minimum,Minimum,Correct TS
HILVAA,0,-10.2,7.5,7.8,-63,17.7,18,Minimum,Minimum,Correct TS
HIMMAL,0,-5.4,13.3,12,-63,18.7,17.4,Minimum,Minimum,Correct TS
HINBAJ,0,-10.3,17.9,12.8,-63,28.2,23.1,Minimum,Minimum,Correct TS
HINJOG,0,-6.4,12.7,9.7,-63,19.1,16,Minimum,Minimum,Correct TS
HIPWIN,0,-9.4,9.5,13.6,-63,19,23,Minimum,Minimum,Correct TS
HIQNAW,0,-5.6,11.1,10.4,-63,16.7,16,Minimum,Minimum,Correct TS
HIRBAM,0,-6,9.4,10.4,-63,15.4,16.4,Minimum,Minimum,Correct TS
HIRRIK,0,-6,13,11.3,-63,19.1,17.4,Minimum,Minimum,Correct TS
HISMAA,0,-7.9,18.2,10.1,-63,26.1,18,Minimum,Minimum,Correct TS
HISXOZ01,0,-16.5,1.2,11,-63,17.7,27.5,Minimum,Minimum,Correct TS
HISZER,0,-6.1,17.2,12.8,-63,23.3,18.9,Minimum,Minimum,Correct TS
HITPEI,0,-8.4,19.4,13.9,-63,27.8,22.3,Minimum,Minimum,Correct TS
HITQUW,0,-5.2,15.1,13.9,-63,20.3,19.1,Minimum,Minimum,Correct TS
HITWAJ,0,-3.5,15.8,10.4,-63,19.3,13.8,Minimum,Minimum,Correct TS
HITYUF,0,-11,16,13.8,-63,27,24.8,Minimum,Minimum,Correct TS
HITZEQ,0,-5.5,11.8,10.1,-63,17.3,15.6,Minimum,Minimum,Correct TS
HIVTEM,0,-3.9,19.4,12.5,-63,23.3,16.4,Minimum,Minimum,Correct TS
HIWREM,0,-2.5,18.3,12.6,-63,20.8,15.1,Minimum,Minimum,Correct TS
HIXPAH,0,-3.6,15.1,12,-63,18.7,15.5,Minimum,Minimum,Correct TS
HIYFUQ,0,-5.3,14.2,11.9,-63,19.5,17.2,Minimum,Minimum,Correct TS
HODTUQ,0,-8.5,11.7,8.6,-63,20.2,17.2,Minimum,Minimum,Correct TS
HODXAA,0,-8,7.9,9.1,-63,15.9,17.1,Minimum,Minimum,Correct TS
HOFRIE,0,-3.3,12.1,10.2,-63,15.5,13.5,Minimum,Minimum,Correct TS
HOHRIF,0,-7.9,8.2,8.1,-63,16.2,16.1,Minimum,Minimum,Correct TS
HOKPIJ,0,-5.3,20.4,15.8,-63,25.7,21.2,Minimum,Minimum,Correct TS
HOKTIL,0,-8.1,10.4,9.2,-63,18.4,17.3,Minimum,Minimum,Correct TS
HOLGEV,0,-11.1,9.9,11.2,-63,21,22.3,Minimum,Minimum,Correct TS
HOLLAY,0,-13.1,7.4,9.9,-63,20.5,23,Minimum,Minimum,Correct TS
HOLVUA,0,-7.7,59.5,9.2,-63,67.2,16.9,Minimum,Minimum,Correct TS
HOMSOT,0,-22.1,8.9,10.6,-63,31,32.7,Minimum,Minimum,Correct TS
HONDAS,0,-8,7.6,7.7,-63,15.7,15.7,Minimum,Minimum,Correct TS
HONJAX,0,-15.1,4.8,6.3,-63,19.9,21.4,Minimum,Minimum,Correct TS
HONYAM,0,1.1,19.4,15.6,-63,19.4,15.6,Minimum,Minimum,Correct TS
HORXAO,0,-5,16.3,12.4,-63,21.3,17.4,Minimum,Minimum,Correct TS
HOSWAQ,0,-11.1,5.1,7,-63,16.2,18.1,Minimum,Minimum,Correct TS
HOSZEV,0,-9.1,4.4,8.9,-63,13.5,17.9,Minimum,Minimum,Correct TS
HOVFON,0,-11.8,10.5,6.1,-63,22.2,17.8,Minimum,Minimum,Correct TS
HOVHUY,0,-2.5,17,12.6,-63,19.5,15.2,Minimum,Minimum,Correct TS
HOVPEO,0,-7,11.2,9.7,-63,18.2,16.7,Minimum,Minimum,Correct TS
HOWSOD,0,-11.5,1.6,6.9,-63,13.1,18.4,Minimum,Minimum,Correct TS
HOXFUX,0,-10.1,8.4,11.1,-63,18.5,21.2,Minimum,Minimum,Correct TS
HOYYUQ,0,-4.9,16.4,10.8,-63,21.3,15.7,Minimum,Minimum,Correct TS
HOZYEC,0,-8.1,8.5,7.5,-63,16.6,15.6,Minimum,Minimum,Correct TS
HTCDOD,0,-5.3,21.9,14,-63,27.2,19.2,Minimum,Minimum,Correct TS
HUBCUF,0,-2.8,28.2,18.7,-63,31,21.5,Minimum,Minimum,Correct TS
HUBSIG,0,-9.9,10.1,13.2,-63,20,23,Minimum,Minimum,Correct TS
HUBTON,0,-8,3.1,8.8,-63,11.1,16.8,Minimum,Minimum,Correct TS
HUBZEK,0,-10.5,10.2,11.7,-63,20.7,22.2,Minimum,Minimum,Correct TS
HUBZIO,0,-13.2,8,8.9,-63,21.3,22.1,Minimum,Minimum,Correct TS
HUCLEW01,0,-9.4,16.4,9.5,-63,25.8,19,Minimum,Minimum,Correct TS
HUDHUK01,0,-7.7,9,7.7,-63,16.6,15.4,Minimum,Minimum,Correct TS
HUDWEK,0,-12,5.1,6.5,-63,17.2,18.6,Minimum,Minimum,Correct TS
HUFDUI,0,-8.7,10,8.9,-63,18.8,17.6,Minimum,Minimum,Correct TS
HUFHOG,0,-9.4,10.4,7.5,-63,19.8,16.9,Minimum,Minimum,Correct TS
HUFYAI,0,-4.4,14,13.1,-63,18.4,17.5,Minimum,Minimum,Correct TS
HUGHAV,0,-11,13.9,9.3,-63,24.9,20.3,Minimum,Minimum,Correct TS
HUKGOJ,0,-5,18.1,12.8,-63,23.2,17.8,Minimum,Minimum,Correct TS
HUKGUP,0,-4.8,19.7,12.6,-63,24.5,17.5,Minimum,Minimum,Correct TS
HUKHUQ,0,-4.2,20.9,14.4,-63,25.1,18.6,Minimum,Minimum,Correct TS
HUKKED,0,-8.8,16.4,12.6,-63,25.2,21.3,Minimum,Minimum,Correct TS
HUKNIL01,0,-37.3,-22.4,14.8,-63,14.9,52.1,Minimum,Minimum,Correct TS
HUKPUY,0,-8.7,14.5,13,-63,23.2,21.7,Minimum,Minimum,Correct TS
HUKROU,0,-9.6,10.2,10.5,-63,19.8,20.1,Minimum,Minimum,Correct TS
HULGIE01,0,-5.6,10.4,9.9,-63,16,15.5,Minimum,Minimum,Correct TS
HUNNOU,0,-11,20.1,17.7,-63,31.1,28.7,Minimum,Minimum,Correct TS
HUNYEV02,0,-9.8,6.5,7.6,-63,16.2,17.4,Minimum,Minimum,Correct TS
HUPNUE,0,-7.9,7.7,8.5,-63,15.7,16.4,Minimum,Minimum,Correct TS
HUQJOU,0,-5.6,13.1,13.7,-63,18.6,19.3,Minimum,Minimum,Correct TS
HURWAU,0,-4.8,16,11.8,-63,20.8,16.6,Minimum,Minimum,Correct TS
HUXLIW,0,-7.1,15.3,10.6,-63,22.3,17.7,Minimum,Minimum,Correct TS
HUZJOB,0,-18.5,-1.1,-5.8,-63,17.4,12.7,Minimum,Minimum,Correct TS
HUZLIX,0,4.1,17.1,16.5,-63,17.1,16.5,Minimum,Minimum,Correct TS
HXFAVC,0,-5.9,16.6,14.9,-63,22.5,20.8,Minimum,Minimum,Correct TS
HXOXAM10,0,-7.7,19.1,14.2,-63,26.8,21.9,Minimum,Minimum,Correct TS
HXPHOL11,0,-6.3,15.6,14.5,-63,21.9,20.8,Minimum,Minimum,Correct TS
IBIMIP,0,-7.8,-13481.8,12.4,-63,-13474,20.2,Minimum,Minimum,Correct TS
IBOGUE,0,-12.5,10.3,10,-63,22.8,22.5,Minimum,Minimum,Correct TS
IBUMAT,0,-3.9,16,14.2,-63,19.9,18.1,Minimum,Minimum,Correct TS
ICABEU,0,-3.6,12.5,13.2,-63,16.1,16.8,Minimum,Minimum,Correct TS
ICAPOU,0,-8.7,17.4,9.7,-63,26.1,18.4,Minimum,Minimum,Correct TS
ICENOW,0,-8.9,13.8,15.5,-63,22.7,24.4,Minimum,Minimum,Correct TS
ICIGAC,0,-13.3,11,9.5,-63,24.3,22.8,Minimum,Minimum,Correct TS
ICUXIP,0,-9.4,8.7,11.6,-63,18.1,21,Minimum,Minimum,Correct TS
IDADEX,0,-5.5,18.6,10.8,-63,24.1,16.3,Minimum,Minimum,Correct TS
IDALEE,0,-10.2,19.3,12,-63,29.5,22.1,Minimum,Minimum,Correct TS
IDASUB,0,-16.7,1,0.5,-63,17.7,17.2,Minimum,Minimum,Correct TS
IDIZIG,0,-9.2,10.6,8.6,-63,19.7,17.8,Minimum,Minimum,Correct TS
IDOQIE,0,-9,9,8.3,-63,18,17.3,Minimum,Minimum,Correct TS
IDUQEF,0,-13.2,15.6,8.2,-63,28.8,21.4,Minimum,Minimum,Correct TS
IDURIJ,0,-12.3,5.1,8.6,-63,17.5,20.9,Minimum,Minimum,Correct TS
