Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 2 (TSSig)
GALCIF,0,-2.6,15.2,14,-63,17.9,16.7,Minimum,Minimum,Correct TS
GALFAD,0,-8,8.4,21.4,-63,16.3,29.3,Minimum,Minimum,Correct TS
GALHEJ,0,-2.8,-21.6,13.6,-63,-18.8,16.4,Minimum,Minimum,Correct TS
GAMBUT10,0,-17.5,-9.8,15.1,-63,7.7,32.6,Minimum,Minimum,Correct TS
GANFOQ,0,-13.8,-12.3,13.5,-63,1.6,27.4,Minimum,Minimum,Correct TS
GANGAF,0,2.2,-15.3,22.8,-63,-15.3,22.8,Minimum,Minimum,Correct TS
GANMEO,0,-6,14.3,5.9,-63,20.4,11.9,Minimum,Minimum,Correct TS
GANQAQ,0,-40.6,4.1,10.1,-63,44.7,50.7,Minimum,Minimum,Correct TS
GANZEA,0,-15.1,-9.1,11.7,-63,6,26.8,Minimum,Minimum,Correct TS
GAPCUY,0,-3.2,60.4,13.3,-63,63.6,16.5,Minimum,Minimum,Correct TS
GAPHEK,0,-8.2,8,8,-63,16.2,16.2,Minimum,Minimum,Correct TS
GAPJAK,0,1.8,-11,13.4,-63,-11,13.4,Minimum,Minimum,Correct TS
GAPNES,0,-7.5,4.1,9.4,-63,11.6,16.8,Minimum,Minimum,Correct TS
GAPNIW,0,-8.4,6.6,8.2,-63,14.9,16.6,Minimum,Minimum,Correct TS
GAPRUL,0,-7.2,-10.3,13.6,-63,-3.1,20.7,Minimum,Minimum,Correct TS
GAPVOI,0,-13.8,-6.9,12.9,-63,6.9,26.7,Minimum,Minimum,Correct TS
GAQBAD,0,-11.5,1.9,9.5,-63,13.4,21,Minimum,Minimum,Correct TS
GAQBIL,0,-14.6,-6.5,-3.6,-63,8.1,11,Minimum,Minimum,Correct TS
GAQTAU01,0,-12.3,-2.3,8,-63,10,20.3,Minimum,Minimum,Correct TS
GAQXED,0,-6.3,11.5,12.2,-63,17.8,18.5,Minimum,Minimum,Correct TS
GAQZAB,0,-15.9,-2.7,6.9,-63,13.2,22.8,Minimum,Minimum,Correct TS
GARLER,0,-7.2,-9.9,13.7,-63,-2.7,21,Minimum,Minimum,Correct TS
GARROH,0,-4.2,27.6,7.8,-63,31.8,12,Minimum,Minimum,Correct TS
GARZUX,0,-17.7,-3.9,5.9,-63,13.9,23.6,Minimum,Minimum,Correct TS
GASKUG,0,-7.4,-21.7,14.5,-63,-14.3,21.9,Minimum,Minimum,Correct TS
GATCAF,0,-2.2,6.2,19,-63,8.5,21.3,Minimum,Minimum,Correct TS
GATDAI,0,-1.5,-13.6,18.7,-63,-12.1,20.2,Minimum,Minimum,Correct TS
GATDEM,0,-11,9.9,11.3,-63,20.9,22.4,Minimum,Minimum,Correct TS
GATDOX,0,-13.2,-8.9,4.6,-63,4.3,17.8,Minimum,Minimum,Correct TS
GAVKIA,0,-5.8,-4,11.8,-63,1.8,17.6,Minimum,Minimum,Correct TS
GAVMUM,0,-8.4,14,11.2,-63,22.4,19.6,Minimum,Minimum,Correct TS
GAVYOR,0,-14,-11.8,17,-63,2.2,30.9,Minimum,Minimum,Correct TS
GAWJIY,0,-5,7,10.2,-63,12,15.2,Minimum,Minimum,Correct TS
GAWNIB,0,-3.7,6.2,13.5,-63,9.9,17.2,Minimum,Minimum,Correct TS
GAWPAW,0,-0.2,22.9,19.5,-63,23.1,19.7,Minimum,Minimum,Correct TS
GAWSED,0,-7,4.9,10.1,-63,11.9,17.2,Minimum,Minimum,Correct TS
GAXJOE,0,-7.4,10.6,10.4,-63,18.1,17.8,Minimum,Minimum,Correct TS
GAXJUK,0,-2.8,-11.4,17.8,-63,-8.5,20.6,Minimum,Minimum,Correct TS
GAYCIS,0,-13.6,-7.1,11.3,-63,6.5,24.9,Minimum,Minimum,Correct TS
GAZDOA,0,-10.4,13.3,9.8,-63,23.7,20.2,Minimum,Minimum,Correct TS
GAZVEK,0,-9,4.2,12.4,-63,13.3,21.4,Minimum,Minimum,Correct TS
GEBTUC,0,-11.6,20.3,9.1,-63,31.9,20.7,Minimum,Minimum,Correct TS
GEDQEN,0,-7.9,-11.3,13.5,-63,-3.4,21.4,Minimum,Minimum,Correct TS
GEFCUP,0,-7,12.2,10.3,-63,19.3,17.3,Minimum,Minimum,Correct TS
GEFGAC,0,-4.8,-5.6,22.3,-63,-0.8,27.1,Minimum,Minimum,Correct TS
GEFGIK,0,-4.4,-11.2,14.8,-63,-6.8,19.2,Minimum,Minimum,Correct TS
GEFGUV,0,-10.8,6.9,11,-63,17.7,21.7,Minimum,Minimum,Correct TS
GEGKEJ,0,-7.5,-5.1,12.1,-63,2.4,19.6,Minimum,Minimum,Correct TS
GEGROC,0,0.4,-11.3,18,-63,-11.3,18,Minimum,Minimum,Correct TS
GEGWIY,0,-10,-0.4,17.3,-63,9.7,27.4,Minimum,Minimum,Correct TS
GEHHIL,0,-2.1,19.4,13,-63,21.5,15.1,Minimum,Minimum,Correct TS
GEJPUH,0,-1.4,-21.9,19.3,-63,-20.5,20.7,Minimum,Minimum,Correct TS
GEKFEJ,0,-19.1,-9.1,21.8,-63,10,40.9,Minimum,Minimum,Correct TS
GEKQAQ,0,-6.2,5,13.6,-63,11.2,19.8,Minimum,Minimum,Correct TS
GEKROG,0,-5.2,9.6,9,-63,14.9,14.3,Minimum,Minimum,Correct TS
GEMNUI,0,-1.5,0.7,13.8,-63,2.2,15.3,Minimum,Minimum,Correct TS
GEMXEB,0,-12.8,-9.5,12.8,-63,3.3,25.6,Minimum,Minimum,Correct TS
GEMYIG,0,-3.9,21.7,14,-63,25.6,17.9,Minimum,Minimum,Correct TS
GENJER,0,-14.2,18,13.6,-63,32.2,27.7,Minimum,Minimum,Correct TS
GENMIW,0,-10.9,11.6,12.9,-63,22.5,23.8,Minimum,Minimum,Correct TS
GENPEX,0,-2.6,-13.7,12.3,-63,-11,15,Minimum,Minimum,Correct TS
GENQOI,0,-12.5,-1.3,19.2,-63,11.2,31.8,Minimum,Minimum,Correct TS
GENVAX,0,-4.1,14.4,13.7,-63,18.4,17.8,Minimum,Minimum,Correct TS
GENZEF,0,-6.8,9.9,11.6,-63,16.8,18.5,Minimum,Minimum,Correct TS
GEPPAT,0,-2.5,-8.8,17.7,-63,-6.3,20.1,Minimum,Minimum,Correct TS
GEQBIP,0,-9.1,9.7,8.5,-63,18.8,17.6,Minimum,Minimum,Correct TS
GEQFUD,0,-22.1,-9.7,-0.6,-63,12.4,21.5,Minimum,Minimum,Correct TS
GEQNUO,0,-5.4,15.8,13.3,-63,21.3,18.8,Minimum,Minimum,Correct TS
GEQQUO,0,-6.6,6.4,12.9,-63,13,19.5,Minimum,Minimum,Correct TS
GEQWIL,0,-6.1,9.4,11.9,-63,15.5,18,Minimum,Minimum,Correct TS
GEQWUX,0,-6.6,9.3,11.3,-63,15.8,17.9,Minimum,Minimum,Correct TS
GEQXAE,0,-7.9,12.5,11.4,-63,20.4,19.4,Minimum,Minimum,Correct TS
GEQXEI,0,-5.7,11.3,13.2,-63,17,18.9,Minimum,Minimum,Correct TS
GEQXOS,0,-7.4,10.7,12.8,-63,18.1,20.1,Minimum,Minimum,Correct TS
GEQYAF,0,-6.6,11.9,12,-63,18.5,18.6,Minimum,Minimum,Correct TS
GERMIC,0,-4.4,13.6,11.1,-63,18,15.5,Minimum,Minimum,Correct TS
GESGIW,0,-14.2,-9.1,13,-63,5.2,27.2,Minimum,Minimum,Correct TS
GESJET,0,-12.8,12.7,8.2,-63,25.5,21,Minimum,Minimum,Correct TS
GESKEU,0,-3.5,-3.7,12.7,-63,-0.2,16.2,Minimum,Minimum,Correct TS
GESLAS,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Correct TS
GESREC,0,-7.4,-8.4,11.5,-63,-1,18.9,Minimum,Minimum,Correct TS
GESRIH,0,-6.5,14.2,13.7,-63,20.7,20.3,Minimum,Minimum,Correct TS
GETTUV,0,-2.8,-8.5,17.6,-63,-5.7,20.4,Minimum,Minimum,Correct TS
GETYAG,0,-7.5,-9.5,12.7,-63,-2,20.3,Minimum,Minimum,Correct TS
GEVBIT,0,-7.8,5.2,8,-63,13,15.8,Minimum,Minimum,Correct TS
GEVCIU,0,-5.1,16.5,14.3,-63,21.6,19.4,Minimum,Minimum,Correct TS
GEWBUF,0,-13,-8.8,12.6,-63,4.3,25.6,Minimum,Minimum,Correct TS
GEWZUF,0,-6.2,-2.4,4.7,-63,3.9,10.9,Minimum,Minimum,Correct TS
GEXKID,0,-20.6,-1.7,13.1,-63,18.9,33.8,Minimum,Minimum,Correct TS
GEXMAA01,0,-15.1,-3.3,7,-63,11.8,22.1,Minimum,Minimum,Correct TS
GEXQOR,0,-8.5,-9.5,12.2,-63,-1,20.7,Minimum,Minimum,Correct TS
GEXTEI,0,-11.4,14.5,9.9,-63,25.9,21.3,Minimum,Minimum,Correct TS
GEXTEK,0,-14,-10.6,13.3,-63,3.4,27.3,Minimum,Minimum,Correct TS
GEXTOU,0,-7.8,-6.1,13.3,-63,1.7,21.1,Minimum,Minimum,Correct TS
GEYFAR,0,-5.9,-9.5,14.1,-63,-3.6,20,Minimum,Minimum,Correct TS
GEYMOM,0,-7,1.3,12.3,-63,8.3,19.3,Minimum,Minimum,Correct TS
GEYRIL,0,-6.7,18.4,5.1,-63,25.1,11.8,Minimum,Minimum,Correct TS
GIBRIS,0,-14.8,-60.9,15.5,-63,-46,30.3,Minimum,Minimum,Correct TS
GIBXOH,0,-15,3.6,8.1,-63,18.6,23.1,Minimum,Minimum,Correct TS
GICQAN,0,-17.4,-8.3,6.2,-63,9.2,23.6,Minimum,Minimum,Correct TS
GIDFAD,0,-17.3,3.2,5.1,-63,20.5,22.3,Minimum,Minimum,Correct TS
GIDSIY,0,-4.5,22.1,10.4,-63,26.7,15,Minimum,Minimum,Correct TS
GIDZIC10,0,-15.6,-0.1,13.4,-63,15.5,29,Minimum,Minimum,Correct TS
GIFBOP,0,-13.3,-8.9,12.2,-63,4.4,25.5,Minimum,Minimum,Correct TS
GIGDOR,0,-9.3,5.1,8.7,-63,14.4,18.1,Minimum,Minimum,Correct TS
GIGHUB,0,-14,-9.7,14.4,-63,4.3,28.4,Minimum,Minimum,Correct TS
GIGNAN,0,-7.5,-3.9,13.7,-63,3.6,21.2,Minimum,Minimum,Correct TS
GIGNUH,0,-13.9,9.9,9.6,-63,23.8,23.5,Minimum,Minimum,Correct TS
GIGPIW,0,-7.3,7.1,9.8,-63,14.4,17.1,Minimum,Minimum,Correct TS
GIGQEV,0,-9.6,9.9,7.6,-63,19.5,17.2,Minimum,Minimum,Correct TS
GIGVID,0,-4.8,11.7,12.2,-63,16.6,17,Minimum,Minimum,Correct TS
GIGYEC,0,-14,-10.3,12.3,-63,3.6,26.3,Minimum,Minimum,Correct TS
GIHCOQ01,0,-15.9,11.8,9.6,-63,27.7,25.5,Minimum,Minimum,Correct TS
GIHCUW,0,-12.6,15.2,11.9,-63,27.8,24.5,Minimum,Minimum,Correct TS
GIHHUC,0,-11.9,10.7,8.8,-63,22.6,20.7,Minimum,Minimum,Correct TS
GIHJIS,0,-12.5,13.6,9.5,-63,26.1,22,Minimum,Minimum,Correct TS
GIJRUO,0,-13.7,-6.5,No Value,-63,7.2,No Value,Minimum,Minimum,Correct TS
GIJSAV,0,-6.5,-10.6,13.8,-63,-4.1,20.3,Minimum,Minimum,Correct TS
GIKMAQ,0,-12.6,-1,8.1,-63,11.6,20.7,Minimum,Minimum,Correct TS
GIKVAX,0,-12.9,-5.9,12.8,-63,7.1,25.7,Minimum,Minimum,Correct TS
GILJAO,0,-4.5,-8.1,13.1,-63,-3.6,17.5,Minimum,Minimum,Correct TS
GILNUN,0,-8.6,-27.7,7.1,-63,-19.2,15.7,Minimum,Minimum,Correct TS
GILQAW,0,-21.8,0.6,7.5,-63,22.4,29.3,Minimum,Minimum,Correct TS
GILQEA,0,-21.8,2.3,6.5,-63,24,28.2,Minimum,Minimum,Correct TS
GIMPAU,0,-13.3,-10.8,12.9,-63,2.5,26.2,Minimum,Minimum,Correct TS
GIMSAY,0,-4.6,0,14.1,-63,4.6,18.7,Minimum,Minimum,Correct TS
GIMSEB,0,-2.3,-6.4,13.2,-63,-4.1,15.5,Minimum,Minimum,Correct TS
GIMSUR,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Correct TS
GINCAI01,0,-2.4,14.5,13.9,-63,17,16.4,Minimum,Minimum,Correct TS
GINCOW,0,-13.6,2.7,7.8,-63,16.4,21.4,Minimum,Minimum,Correct TS
GINHIV,0,-5.8,-2.5,11.5,-63,3.3,17.3,Minimum,Minimum,Correct TS
GINXEH,0,-1.3,-16.1,17.2,-63,-14.8,18.5,Minimum,Minimum,Correct TS
GINXUZ,0,-11.2,-0.1,7.4,-63,11.2,18.6,Minimum,Minimum,Correct TS
GIPLUP,0,-3.3,-6.8,14.7,-63,-3.6,18,Minimum,Minimum,Correct TS
GIPWIM,0,-15.6,86.6,6.2,-63,102.2,21.8,Minimum,Minimum,Correct TS
GIQCIS,0,-2.4,159.1,14.4,-63,161.5,16.8,Minimum,Minimum,Correct TS
GIQHUM,0,-4.8,10.9,10.5,-63,15.8,15.3,Minimum,Minimum,Correct TS
GIQJEY,0,-4.7,11.5,10.9,-63,16.2,15.6,Minimum,Minimum,Correct TS
GIQLEX,0,-4.9,-10.9,10.2,-63,-6,15,Minimum,Minimum,Correct TS
GIQNUQ,0,-8.9,5.1,9,-63,14,17.9,Minimum,Minimum,Correct TS
GIQQUS,0,-3.9,18,12.2,-63,22,16.1,Minimum,Minimum,Correct TS
GIRFOD,0,-7.2,-12.9,10,-63,-5.7,17.2,Minimum,Minimum,Correct TS
GIRLEZ,0,-6,-9.6,9.3,-63,-3.7,15.2,Minimum,Minimum,Correct TS
GIRSEF10,0,-6.1,12,10.7,-63,18.1,16.8,Minimum,Minimum,Correct TS
GIRSOR,0,-4.3,15.7,11.5,-63,20,15.8,Minimum,Minimum,Correct TS
GIRYEM01,0,-6,14.7,12.3,-63,20.8,18.4,Minimum,Minimum,Correct TS
GIRZUD,0,-6.8,16.8,12.4,-63,23.7,19.2,Minimum,Minimum,Correct TS
GISCIV,0,-2.2,-5.3,11.7,-63,-3.1,13.9,Minimum,Minimum,Correct TS
GISROQ,0,-8.9,3.2,9.7,-63,12.2,18.6,Minimum,Minimum,Correct TS
GITBER,0,-7.5,28.9,8.8,-63,36.4,16.3,Minimum,Minimum,Correct TS
GIVFOJ,0,-12,10.1,9.6,-63,22.1,21.7,Minimum,Minimum,Correct TS
GIVFUP,0,No Value,-9,15.4,-63,No Value,No Value,Minimum,Minimum,Correct TS
GIVWOA,0,-5.6,8.7,10.1,-63,14.3,15.7,Minimum,Minimum,Correct TS
GIVXUF,0,-5.3,-7.1,13.6,-63,-1.7,19,Minimum,Minimum,Correct TS
GIVYES,0,-14.1,-5.4,15.2,-63,8.7,29.3,Minimum,Minimum,Correct TS
GIVYOC,0,-14.8,-8.7,13.4,-63,6,28.2,Minimum,Minimum,Correct TS
GIWFAW,0,-4.2,14.9,13.7,-63,19.2,17.9,Minimum,Minimum,Correct TS
GIWGOL,0,-9.9,11.4,8.4,-63,21.2,18.3,Minimum,Minimum,Correct TS
GIXQIQ,0,-22.5,2,-9.4,-63,24.5,13,Minimum,Minimum,Correct TS
GIYMIN,0,-8.5,13.2,7.1,-63,21.6,15.6,Minimum,Minimum,Correct TS
GIYMOT,0,-7.3,7.2,9.6,-63,14.5,16.9,Minimum,Minimum,Correct TS
GIZQAI,0,-13.8,-10,12.5,-63,3.8,26.3,Minimum,Minimum,Correct TS
GIZSOY,0,-16.1,2.8,0.9,-63,18.8,16.9,Minimum,Minimum,Correct TS
GIZYIY01,0,-8.4,14.1,12.5,-63,22.5,20.9,Minimum,Minimum,Correct TS
GLCROL01,0,-0.5,-13.3,20.9,-63,-12.8,21.4,Minimum,Minimum,Correct TS
GLCTSM,0,-7.9,-7.2,16.3,-63,0.7,24.2,Minimum,Minimum,Correct TS
GLHPRA,0,-11.3,-11.3,16.7,-63,0,28,Minimum,Minimum,Correct TS
GLHPRC,0,-15.6,-7.3,12.8,-63,8.2,28.3,Minimum,Minimum,Correct TS
GLTLYR10,0,1.3,21.8,17.3,-63,21.8,17.3,Minimum,Minimum,Correct TS
GLTYCH,0,-38.7,-11.8,13.7,-63,26.9,52.4,Minimum,Minimum,Correct TS
GLUAMC12,0,-7.7,-7.8,13.4,-63,-0.1,21.1,Minimum,Minimum,Correct TS
GLYGLY21,0,-0.7,0,15.4,-63,0.7,16,Minimum,Minimum,Correct TS
GLYPHE10,0,-13.2,-9,16.2,-63,4.2,29.4,Minimum,Minimum,Correct TS
GOBMIV,0,-7.9,67.8,8.8,-63,75.7,16.7,Minimum,Minimum,Correct TS
GOCGUC,0,-31,-15.5,-4.1,-63,15.5,26.8,Minimum,Minimum,Correct TS
GOCHUC,0,-14.5,9,5.3,-63,23.5,19.8,Minimum,Minimum,Correct TS
GOCJIR,0,-7.5,11.3,8,-63,18.8,15.5,Minimum,Minimum,Correct TS
GOCJUG,0,-4,15.8,11.9,-63,19.8,15.9,Minimum,Minimum,Correct TS
GOCKER,0,-6.6,13.6,11.8,-63,20.2,18.4,Minimum,Minimum,Correct TS
GOCKIV,0,-7.4,-9.8,13.7,-63,-2.3,21.1,Minimum,Minimum,Correct TS
GOCMAN,0,-10.7,9.8,10.4,-63,20.5,21.1,Minimum,Minimum,Correct TS
GODPOE,0,2.6,-2.9,16.1,-63,-2.9,16.1,Minimum,Minimum,Correct TS
GODVOK,0,-12.5,8.8,9.4,-63,21.2,21.8,Minimum,Minimum,Correct TS
GODYUT01,0,-12.4,16.8,10.6,-63,29.2,23,Minimum,Minimum,Correct TS
GODZOO,0,-5.8,1.1,12.2,-63,6.9,18,Minimum,Minimum,Correct TS
GOFBOU,0,-6.2,-9.7,12.2,-63,-3.5,18.3,Minimum,Minimum,Correct TS
GOFGIT,0,-14.9,-1.1,5.5,-63,13.9,20.5,Minimum,Minimum,Correct TS
GOFHEO,0,-14,-3,17.8,-63,11,31.9,Minimum,Minimum,Correct TS
GOFJUJ,0,-2.2,12,11.4,-63,14.2,13.6,Minimum,Minimum,Correct TS
GOGCAJ,0,1.2,13.6,10.3,-63,13.6,10.3,Minimum,Minimum,Correct TS
GOGPIC,0,-13.8,-12,12.6,-63,1.8,26.4,Minimum,Minimum,Correct TS
GOGWEG,0,-11.1,1,10.2,-63,12.1,21.3,Minimum,Minimum,Correct TS
GOHHOA,0,-15,-9.7,10.8,-63,5.3,25.8,Minimum,Minimum,Correct TS
GOHJET,0,-3.4,-3.9,13.5,-63,-0.5,16.9,Minimum,Minimum,Correct TS
GOHLOH,0,-6.3,12.5,11.8,-63,18.9,18.1,Minimum,Minimum,Correct TS
GOHVUU,0,-6.6,4.8,8.9,-63,11.5,15.5,Minimum,Minimum,Correct TS
GOHYEK,0,-5.5,17.3,12.2,-63,22.8,17.6,Minimum,Minimum,Correct TS
GOHYOT,0,-9,9.8,8.4,-63,18.8,17.4,Minimum,Minimum,Correct TS
GOJBOY,0,-1,-3.3,15,-63,-2.3,16,Minimum,Minimum,Correct TS
GOJBUC,0,-24.3,-17.3,12,-63,7,36.3,Minimum,Minimum,Correct TS
GOJCOX,0,-5.5,-8.5,14.1,-63,-3,19.6,Minimum,Minimum,Correct TS
GOJDEQ,0,3.1,-10.4,20.7,-63,-10.4,20.7,Minimum,Minimum,Correct TS
GOJHAO,0,-8.9,1.7,11.9,-63,10.7,20.8,Minimum,Minimum,Correct TS
GOJROM01,0,-7,11.1,12.3,-63,18.2,19.3,Minimum,Minimum,Correct TS
GOKBAL01,0,-13.3,-12.3,12.7,-63,1,25.9,Minimum,Minimum,Correct TS
GOKDAM,0,-7.8,6.9,11,-63,14.7,18.8,Minimum,Minimum,Correct TS
GOKDEQ,0,-12.6,-8.8,13.7,-63,3.8,26.4,Minimum,Minimum,Correct TS
GOKPIF,0,-4.9,1.2,16,-63,6,20.8,Minimum,Minimum,Correct TS
GOKSAC,0,-10.2,6.8,9,-63,17,19.3,Minimum,Minimum,Correct TS
GOKWIM,0,-14.2,-11.2,12.6,-63,3,26.8,Minimum,Minimum,Correct TS
GOLDOA,0,-8.4,11.2,7.9,-63,19.5,16.3,Minimum,Minimum,Correct TS
GOLFUI,0,1.8,128.2,14.2,-63,128.2,14.2,Minimum,Minimum,Correct TS
GOLNAW,0,-0.6,-8,19.9,-63,-7.4,20.5,Minimum,Minimum,Correct TS
GOLWUZ,0,-6.1,20.7,11.8,-63,26.8,17.9,Minimum,Minimum,Correct TS
GOMMUQ,0,-5,11.1,12.2,-63,16.1,17.2,Minimum,Minimum,Correct TS
GOMSAC,0,-14.1,-10,12.1,-63,4.1,26.1,Minimum,Minimum,Correct TS
GOMWIP02,0,-12.5,-10.2,12.2,-63,2.3,24.6,Minimum,Minimum,Correct TS
GONYEN,0,-0.5,-3.5,14.2,-63,-3.1,14.6,Minimum,Minimum,Correct TS
GOPLAY,0,-19.3,-13.6,2,-63,5.8,21.3,Minimum,Minimum,Correct TS
GOPLUU,0,-12.7,11.3,9.1,-63,24,21.9,Minimum,Minimum,Correct TS
GOQDEX,0,-2.7,-12.1,13.3,-63,-9.5,16,Minimum,Minimum,Correct TS
GOQKIJ,0,-6.8,16.2,12.6,-63,22.9,19.4,Minimum,Minimum,Correct TS
GOQQOU,0,-2.4,18.1,14.1,-63,20.5,16.5,Minimum,Minimum,Correct TS
GOQQOV,0,-4.8,1.6,13.4,-63,6.4,18.2,Minimum,Minimum,Correct TS
GOQQUA,0,-12.8,5.3,7.4,-63,18.1,20.2,Minimum,Minimum,Correct TS
GORPOV,0,0.5,-9.2,10.1,-63,-9.2,10.1,Minimum,Minimum,Correct TS
GOTRUC,0,0.9,-14.9,21.9,-63,-14.9,21.9,Minimum,Minimum,Correct TS
GOTSEN,0,-4.2,-18.9,20.6,-63,-14.7,24.8,Minimum,Minimum,Correct TS
GOTSOX,0,-6.8,6.3,6.8,-63,13.1,13.6,Minimum,Minimum,Correct TS
GOVKEH,0,-7.1,16,9.4,-63,23,16.5,Minimum,Minimum,Correct TS
GOVQEN,0,-11.5,16.7,12.8,-63,28.2,24.3,Minimum,Minimum,Correct TS
GOVTAO,0,-10.6,4.3,10.4,-63,14.9,21,Minimum,Minimum,Correct TS
GOWBIF,0,-4.4,17.3,12.4,-63,21.7,16.8,Minimum,Minimum,Correct TS
GOWJUZ,0,-3.8,15.1,12.4,-63,18.9,16.2,Minimum,Minimum,Correct TS
GOWMOX,0,-12.8,16.1,12.2,-63,28.8,24.9,Minimum,Minimum,Correct TS
GOXNIT,0,-11.9,15.2,5.6,-63,27.1,17.5,Minimum,Minimum,Correct TS
GOYTUL,0,-9.9,6.2,9.7,-63,16.1,19.7,Minimum,Minimum,Correct TS
GOZDAA,0,1.9,13.7,11.7,-63,13.7,11.7,Minimum,Minimum,Correct TS
GOZQIX01,0,-19.8,17.3,13.9,-63,37.1,33.7,Minimum,Minimum,Correct TS
GRIFON,0,-1.4,-14,19.2,-63,-12.7,20.6,Minimum,Minimum,Correct TS
GUACET,0,-2.6,20.7,13.3,-63,23.2,15.9,Minimum,Minimum,Correct TS
GUANSH10,0,-11.9,18.2,8.8,-63,30.1,20.8,Minimum,Minimum,Correct TS
GUBPIF,0,-23.7,1.4,1.8,-63,25.1,25.6,Minimum,Minimum,Correct TS
GUBXEJ,0,-3,19.3,16.7,-63,22.3,19.8,Minimum,Minimum,Correct TS
GUDQEC,0,-14.1,-10.3,12.8,-63,3.8,26.9,Minimum,Minimum,Correct TS
GUDQUR,0,-6,7.5,11.5,-63,13.5,17.4,Minimum,Minimum,Correct TS
GUDWUZ,0,-11.8,14,9.4,-63,25.8,21.2,Minimum,Minimum,Correct TS
GUFBUE,0,-16.6,-2.9,4,-63,13.7,20.6,Minimum,Minimum,Correct TS
GUFDOB,0,-9.7,4.1,8.4,-63,13.8,18.1,Minimum,Minimum,Correct TS
GUFFIX,0,-13,11.5,7.4,-63,24.6,20.5,Minimum,Minimum,Correct TS
GUFVUB,0,-2.5,-10.2,12.6,-63,-7.8,15.1,Minimum,Minimum,Correct TS
GUFWEJ,0,-13.5,1.8,13.1,-63,15.3,26.5,Minimum,Minimum,Correct TS
GUGFAS,0,-4.6,-10.1,12.3,-63,-5.5,16.9,Minimum,Minimum,Correct TS
GUGKOJ,0,-4.9,16,17.7,-63,20.9,22.7,Minimum,Minimum,Correct TS
GUGMON,0,-2.8,-9.5,13.7,-63,-6.7,16.5,Minimum,Minimum,Correct TS
GUGWEL,0,-15.8,-11.3,9.7,-63,4.5,25.5,Minimum,Minimum,Correct TS
GUHFIY,0,-17.1,-3.1,4.9,-63,14,22.1,Minimum,Minimum,Correct TS
GUHPEE,0,-12.9,14.2,6,-63,27.1,18.9,Minimum,Minimum,Correct TS
GUHRIK,0,-11.1,6.9,6.3,-63,17.9,17.4,Minimum,Minimum,Correct TS
GUHROQ01,0,-12.5,-0.5,4.9,-63,12,17.4,Minimum,Minimum,Correct TS
GUHXAK,0,-13.6,-10.5,13.3,-63,3.1,26.8,Minimum,Minimum,Correct TS
GUHYAM,0,-0.5,-10.2,21.3,-63,-9.7,21.8,Minimum,Minimum,Correct TS
GUJKAY,0,-6.1,13.7,10.5,-63,19.9,16.6,Minimum,Minimum,Correct TS
GUJRAH,0,-4.8,-4.7,15.6,-63,0.1,20.5,Minimum,Minimum,Correct TS
GUKNOP,0,-9.6,-1.6,10.9,-63,7.9,20.5,Minimum,Minimum,Correct TS
GUKVUF,0,-10.7,1.9,8.7,-63,12.6,19.4,Minimum,Minimum,Correct TS
GUKWAM,0,-6.4,-7.2,11.9,-63,-0.9,18.3,Minimum,Minimum,Correct TS
GULKAZ,0,-7.6,-3.7,8.6,-63,3.9,16.2,Minimum,Minimum,Correct TS
GULMUY,0,-14.1,5.9,1.4,-63,20.1,15.6,Minimum,Minimum,Correct TS
GULTAI,0,0.2,-14,23.1,-63,-14,23.1,Minimum,Minimum,Correct TS
GULTIQ,0,-0.4,-13.7,23.4,-63,-13.2,23.8,Minimum,Minimum,Correct TS
GULVEO,0,-16.1,-10.8,15.4,-63,5.3,31.5,Minimum,Minimum,Correct TS
GUMJIJ,0,-11.7,17,9.6,-63,28.7,21.3,Minimum,Minimum,Correct TS
GUMLIM,0,-8.8,5.6,15.1,-63,14.4,23.9,Minimum,Minimum,Correct TS
GUMSUF,0,-13.3,-11.8,12.9,-63,1.6,26.2,Minimum,Minimum,Correct TS
GUNDOI,0,-9.3,10.2,10.2,-63,19.6,19.6,Minimum,Minimum,Correct TS
GUOPNA10,0,-5.9,-7.6,25.6,-63,-1.8,31.5,Minimum,Minimum,Correct TS
GUOSBH,0,-12.7,15.1,8.5,-63,27.8,21.2,Minimum,Minimum,Correct TS
GUPCAY,0,-13.6,-11.7,13.2,-63,1.9,26.8,Minimum,Minimum,Correct TS
GUPDUS,0,-2.4,-6.3,13.9,-63,-3.9,16.2,Minimum,Minimum,Correct TS
GUQBUR,0,-10.1,13.8,10,-63,24,20.2,Minimum,Minimum,Correct TS
GUQFIK,0,-7.6,12.4,9.9,-63,20,17.5,Minimum,Minimum,Correct TS
GUQJUZ,0,-10.9,14.8,9.1,-63,25.7,20,Minimum,Minimum,Correct TS
GUQKAG,0,-4.9,-7.6,12.2,-63,-2.7,17,Minimum,Minimum,Correct TS
