Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
MOLKUU,0,-13.3,-5.9,12.5,-63,7.4,25.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOLPUA,0,0.1,11.5,10.2,-63,11.5,10.2,Minimum,Not Minimum,Correct TS,Correct TS
MOLQAH,0,22.8,-14.1,12,-63,-14.1,12,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MOMAZL,0,-13.1,-9.8,12.8,-63,3.4,25.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOMXET,0,-12.3,9.8,6.7,-63,22.1,19.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MONGON,0,-3,18.8,11.7,-63,21.8,14.7,Minimum,Not Minimum,Correct TS,Correct TS
MONNIO,0,-4.6,-11.5,11.8,-63,-6.9,16.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MONNOU,0,-3.6,-9.5,13.5,-63,-5.9,17.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MONYUK,0,-6.7,-8.9,14.3,-63,-2.2,21,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOPBEZ,0,-0.5,22,16.4,-63,22.5,16.9,Minimum,Minimum,Correct TS,Correct TS
MOPCUR,0,-0.2,-11.5,22.7,-63,-11.3,22.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOPDUS,0,0.7,-14.1,21.2,-63,-14.1,21.2,Minimum,Not Minimum,Incorrect TS,Incorrect TS
MOPFEE,0,-15.4,-14.8,6.9,-63,0.6,22.4,Minimum,Minimum,Incorrect TS,Correct TS
MOPHIK,0,-8.8,3.1,7.9,-63,11.9,16.7,Minimum,Minimum,Correct TS,Correct TS
MOPJEG,0,-11.7,-11,-3.9,-63,0.6,7.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MOPRDB10,0,-10.5,-3.6,12.2,-63,6.9,22.7,Minimum,Minimum,Correct TS,Correct TS
MOQHOQ,0,-2.7,-0.7,14.3,-63,2,17,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOQMIP,0,-3.5,-14.4,-49,-63,-10.9,-45.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MOQMUB,0,-5.3,-10.7,12.3,-63,-5.3,17.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MORDBA,0,-20.7,8.2,19.6,-63,28.9,40.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MORLEN,0,1.7,-13.3,21,-63,-13.3,21,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MORPIV,0,1.8,15.6,11.3,-63,15.6,11.3,Minimum,Minimum,Incorrect TS,Correct TS
MORPUF,0,-3.3,14.8,15,-63,18.2,18.3,Minimum,Minimum,Correct TS,Correct TS
MORQAM,0,-2.2,-8.5,13.5,-63,-6.3,15.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MORQES,0,-9.7,8.7,7.7,-63,18.5,17.5,Minimum,Minimum,Correct TS,Correct TS
MORVAR02,0,0.6,5.4,20.6,-63,5.4,20.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MORXOJ,0,-15.3,7.6,9.4,-63,22.9,24.7,Minimum,Minimum,Correct TS,Correct TS
MORXUP,0,-18.3,-9.3,3,-63,9,21.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MOSCON,0,-61.4,-59.8,-38,-63,1.6,23.4,Minimum,Minimum,Incorrect TS,Correct TS
MOSHAE,0,359.9,-10.5,22.5,-63,-10.5,22.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MOSLOW,0,-3.8,15.7,12.4,-63,19.5,16.1,Minimum,Minimum,Correct TS,Correct TS
MOSRAQ,0,-30.3,-5.3,6.8,-63,25,37,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOSRIW,0,-5.6,3.9,12.3,-63,9.5,17.9,Minimum,Minimum,Incorrect TS,Correct TS
MOSSOD,0,-5,-5.4,14.3,-63,-0.5,19.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOSYAV,0,-12.2,11.2,10.1,-63,23.3,22.2,Minimum,Minimum,Correct TS,Correct TS
MOSYEZ,0,-6.8,-8.3,13.1,-63,-1.5,19.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MOTCEE,0,-6.4,11,12.1,-63,17.3,18.5,Minimum,Not Minimum,Correct TS,Correct TS
MOTCII,0,-12.3,11.1,10.1,-63,23.4,22.4,Minimum,Minimum,Correct TS,Correct TS
MOTDUV,0,-9.9,-5.2,11.2,-63,4.7,21.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOVNIV,0,-28.4,-22.6,-26,-63,5.9,2.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MOVVAU,0,-6.2,-5.3,14.9,-63,0.9,21.1,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
MOVYOM,0,-9.2,-1.6,15.7,-63,7.6,24.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MOWBUX,0,-10.8,3.1,6.5,-63,13.9,17.4,Minimum,Not Minimum,Incorrect TS,Correct TS
MOWCAE,0,-12.5,0.7,7.8,-63,13.2,20.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOWKOZ,0,-8.5,-7.2,16.1,-63,1.3,24.6,Minimum,Minimum,Incorrect TS,Correct TS
MOXCPB10,0,1.6,19,9.4,-63,19,9.4,Minimum,Minimum,Correct TS,Correct TS
MOXDIO,0,-6.7,10.6,8.5,-63,17.2,15.2,Minimum,Not Minimum,Correct TS,Correct TS
MOXMET,0,-17.6,-11.7,2.9,-63,5.9,20.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MOXRUM,0,-1,-9.1,15.3,-63,-8,16.3,Minimum,Minimum,Incorrect TS,Correct TS
MOXSAT,0,-1,-6.9,15.9,-63,-5.9,16.8,Minimum,Minimum,Incorrect TS,Correct TS
MOXXAZ,0,-13.4,-8.2,12.9,-63,5.2,26.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOYKAP,0,-13.4,-4,16.1,-63,9.4,29.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOYMAQ,0,-6,7.5,9.1,-63,13.6,15.1,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MOYSAV,0,-12.9,-7.7,13.1,-63,5.2,25.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MOYSAX,0,-12,-9.1,12.8,-63,2.9,24.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MOYSID,0,-14.2,-10.8,12.8,-63,3.4,27,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MOYWOO,0,-4.7,-14.1,12.4,-63,-9.4,17.1,Minimum,Minimum,Incorrect TS,Correct TS
MOYWUU,0,-7.9,11.1,9.8,-63,19,17.7,Minimum,Minimum,Correct TS,Correct TS
MOYXAB01,0,-7.8,11.2,9.8,-63,19,17.6,Minimum,Minimum,Correct TS,Correct TS
MOZQEY,0,-4.8,14.6,11.3,-63,19.5,16.1,Minimum,Minimum,Correct TS,Correct TS
MPYDCX,0,-11.4,9.2,9.6,-63,20.5,20.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MPYDCX01,0,0.1,20.9,14.5,-63,20.9,14.5,Minimum,Minimum,Correct TS,Correct TS
MPYTPA,0,-13.7,-8.6,13.7,-63,5.1,27.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MQUCXA10,0,-3.3,-2,13.9,-63,1.3,17.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MRUBFN,0,-3.6,13.6,11.6,-63,17.1,15.2,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
MSEHPD,0,-12.6,0.4,9.4,-63,13,21.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MSPURI01,0,-35.4,-43.5,-16.9,-63,-8.1,18.5,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MTHMAD,0,-15.6,-10.2,13.3,-63,5.4,28.9,Not Minimum,Minimum,Incorrect TS,Correct TS
MTYDAP,0,-10.6,4.1,8.7,-63,14.6,19.3,Minimum,Not Minimum,Incorrect TS,Correct TS
MTZTUD10,0,-8.1,8.8,15.2,-63,16.9,23.3,Minimum,Not Minimum,Correct TS,Correct TS
MUBKIE,0,-5.8,-6.4,12.3,-63,-0.6,18.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUBNAZ,0,-83.3,-76,-77.1,-63,7.3,6.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
MUBQAC,0,-0.7,-0.6,15.8,-63,0.2,16.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUCHUO,0,-3.4,14.2,13.5,-63,17.6,16.9,Minimum,Minimum,Correct TS,Correct TS
MUCWOZ,0,-15.4,-3,5.8,-63,12.3,21.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUCWUF,0,-4.9,15.6,12.9,-63,20.6,17.8,Minimum,Minimum,Correct TS,Correct TS
MUCXIU,0,-9.9,-17.9,7.3,-63,-8,17.1,Not Minimum,Minimum,Incorrect TS,Correct TS
MUCZOC,0,-7.1,-10.9,12.4,-63,-3.8,19.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUDBEV,0,-5.1,17.9,13,-63,23.1,18.1,Minimum,Minimum,Correct TS,Correct TS
MUDCIX,0,-9.1,-2.6,9.4,-63,6.5,18.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUDDEU,0,-11,-1.4,16.1,-63,9.5,27.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUDFAV,0,-7.1,-6.4,17.1,-63,0.8,24.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUDGEA,0,-8.4,1.2,8.9,-63,9.6,17.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUDGOI,0,-3.5,-12.2,13,-63,-8.7,16.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MUDGUQ,0,-7.2,137.3,12,-63,144.5,19.2,Minimum,Not Minimum,Correct TS,Correct TS
MUDKAZ,0,-7.4,10.3,9.9,-63,17.7,17.3,Minimum,Minimum,Correct TS,Correct TS
MUDYEP,0,3.5,-22.7,10,-63,-22.7,10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUDZER,0,-2.3,-5.1,13.1,-63,-2.8,15.4,Minimum,Minimum,Incorrect TS,Correct TS
MUDZIV,0,-3.8,-4.6,14,-63,-0.7,17.8,Minimum,Minimum,Incorrect TS,Correct TS
MUDZOB,0,-4.1,-3.6,12,-63,0.5,16.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUDZUJ,0,0.3,-6.6,22.2,-63,-6.6,22.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUFLAA,0,-4.5,11.3,12.6,-63,15.8,17.1,Minimum,Minimum,Correct TS,Correct TS
MUFSIP,0,-15.6,44,2.1,-63,59.6,17.6,Minimum,Minimum,Correct TS,Correct TS
MUFSUE,0,-6.8,5.5,9.9,-63,12.3,16.7,Minimum,Minimum,Incorrect TS,Correct TS
MUFTEP,0,-13.3,-11.5,13.2,-63,1.8,26.5,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MUGCUO,0,-7.7,21.1,8.9,-63,28.8,16.5,Minimum,Minimum,Correct TS,Correct TS
MUGMIK,0,-16.5,14.3,9.1,-63,30.8,25.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUGNEH,0,-6,-5.5,19.3,-63,0.5,25.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUGNIL,0,-1.3,-7.2,20.2,-63,-5.9,21.5,Minimum,Not Minimum,Incorrect TS,Correct TS
MUGNOR,0,-6.8,-6.4,12.5,-63,0.4,19.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUGQOW,0,-1.7,16.3,11.6,-63,18,13.3,Minimum,Minimum,Correct TS,Correct TS
MUGRAI,0,-10.1,8.7,8.4,-63,18.8,18.5,Minimum,Minimum,Correct TS,Correct TS
MUGRUC,0,-5,18.7,12.9,-63,23.8,17.9,Minimum,Not Minimum,Correct TS,Correct TS
MUGYEV,0,-22.2,-12,10.7,-63,10.2,32.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUGYIZ,0,-21.6,-6.2,-7,-63,15.5,14.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUGYOF,0,-22.6,-8.6,-9.2,-63,14,13.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUGYUL,0,-21.6,-7.1,-10.4,-63,14.4,11.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUGZEW,0,-20.3,-10.2,-9.4,-63,10.1,10.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUHSUD,0,0.4,22.2,16.4,-63,22.2,16.4,Minimum,Not Minimum,Correct TS,Correct TS
MUHSUG,0,-14.3,5.3,-0.4,-63,19.5,13.9,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
MUHZUK,0,-13.9,1.2,7.3,-63,15.1,21.2,Minimum,Minimum,Correct TS,Correct TS
MUJFIG,0,-3,2.5,9.1,-63,5.5,12.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUJFOM,0,-4.1,16.6,12.7,-63,20.7,16.8,Minimum,Minimum,Incorrect TS,Correct TS
MUJKEH,0,-10.7,12.3,6.4,-63,23,17.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUJMAF,0,-2.3,-9.5,15.6,-63,-7.2,17.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUKBEA,0,-3.3,-13.7,15.1,-63,-10.4,18.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUKRIV,0,-7.9,-9.8,13.1,-63,-1.9,21,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MULBEA,0,-2.9,-1.6,16.6,-63,1.3,19.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MULHEH,0,-6,15,14.5,-63,21,20.5,Minimum,Minimum,Correct TS,Correct TS
MULMIR,0,-4.9,16.3,12.4,-63,21.2,17.3,Minimum,Minimum,Correct TS,Correct TS
MULVUN,0,-10.7,-18.4,6.5,-63,-7.7,17.2,Minimum,Not Minimum,Correct TS,Correct TS
MUMCAA,0,245.5,-13.4,24,-63,-13.4,24,Minimum,Not Minimum,Incorrect TS,Correct TS
MUMDUW,0,4040.7,-8.6,20,-63,-8.6,20,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUMFUW,0,-28.1,-43.7,-2.4,-63,-15.6,25.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
MUMNOZ,0,-46.1,18.2,11.6,-63,64.3,57.6,Minimum,Minimum,Correct TS,Correct TS
MUMZEB,0,-3.7,-6.9,15.7,-63,-3.2,19.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MUNHUZ,0,-10.9,14.7,12.5,-63,25.6,23.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUNZOM,0,-8.5,13,10.9,-63,21.5,19.4,Not Minimum,Not Minimum,Correct TS,Correct TS
MUPBAC,0,-8.4,14.5,10.9,-63,22.9,19.2,Minimum,Not Minimum,Correct TS,Correct TS
MUPBOR,0,-2.3,-8.5,19.5,-63,-6.2,21.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUQKIT,0,-2.7,-6.2,12.7,-63,-3.6,15.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUQVIE,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUQXIH,0,-14,4.6,9.2,-63,18.5,23.2,Minimum,Minimum,Correct TS,Correct TS
MURDAE,0,-4.5,122.9,11.7,-63,127.4,16.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MURDOS,0,-5.7,16.5,12.6,-63,22.2,18.3,Minimum,Minimum,Correct TS,Correct TS
MURDUY,0,-10.7,10.8,11.2,-63,21.5,21.9,Minimum,Minimum,Correct TS,Correct TS
MURJEQ,0,-19.9,2.1,-7.1,-63,22,12.8,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
MURTIC,0,1143.7,-4.1,11.3,-63,-4.1,11.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUSBIN,0,-13.2,-11.7,13.5,-63,1.5,26.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUSJUF,0,-5.3,17.9,13,-63,23.3,18.3,Minimum,Not Minimum,Correct TS,Correct TS
MUSKAM,0,-15.1,-11.9,12.8,-63,3.2,27.9,Minimum,Not Minimum,Incorrect TS,Correct TS
MUSNET,0,-3.6,0.3,14.9,-63,3.9,18.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUSTIF,0,-15,-9.7,5.9,-63,5.3,20.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUSTOL,0,-24.4,-15.1,-11.3,-63,9.3,13.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUSVUR,0,0.8,19.9,17.5,-63,19.9,17.5,Minimum,Minimum,Correct TS,Correct TS
MUSYUV,0,2.5,-96.7,10884.9,-63,-96.7,10884.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
MUTDIP,0,-2,-9.9,18.7,-63,-7.9,20.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
MUTWON,0,-7.7,6.7,12.9,-63,14.4,20.5,Minimum,Minimum,Correct TS,Correct TS
MUTWOP,0,-16.4,-10.8,12.8,-63,5.6,29.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUTXAA,0,0.3,14.3,12.3,-63,14.3,12.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
MUVGEQ,0,-16.5,-9.7,10.4,-63,6.8,26.8,Minimum,Minimum,Incorrect TS,Correct TS
MUVLIY,0,0.2,-20.1,3713.9,-63,-20.1,3713.9,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Calc Fail
MUVNAS,0,1.1,3,18.3,-63,3,18.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUVTIH,0,-17.2,-5.2,-5.5,-63,12,11.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MUXBIR,0,-12.2,13.3,13.7,-63,25.5,25.9,Minimum,Minimum,Incorrect TS,Correct TS
MUXGIX,0,-15.8,-26,7.1,-63,-10.1,23,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUYSEF,0,-14.2,-10.9,11.4,-63,3.3,25.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUZHIA,0,-4.3,-2.3,9.1,-63,2,13.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MUZSEH,0,-3,16.1,10.4,-63,19.1,13.4,Not Minimum,Minimum,Correct TS,Correct TS
MUZSUW,0,-10,11.4,11,-63,21.4,21,Minimum,Minimum,Correct TS,Correct TS
MUZXIQ,0,-6.2,3.3,11.6,-63,9.5,17.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MXCPEC,0,-11.6,-9.6,13.5,-63,2.1,25.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
MXMBUO,0,-13.8,-11.8,12.5,-63,2,26.3,Not Minimum,Minimum,Incorrect TS,Correct TS
MXNSAC20,0,-9.9,9,7.9,-63,18.9,17.8,Minimum,Minimum,Correct TS,Correct TS
MXOXFC,0,-8.2,6.3,8.6,-63,14.6,16.8,Minimum,Not Minimum,Correct TS,Correct TS
MXPHIQ01,0,-2.7,-7.3,18,-63,-4.6,20.7,Minimum,Not Minimum,Incorrect TS,Correct TS
MXURID01,0,-13.6,-10.5,15.3,-63,3,28.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
MXYLUR,0,-5.2,-10.8,22.3,-63,-5.6,27.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
MXZTCE10,0,-5.7,7.9,11.8,-63,13.7,17.6,Minimum,Minimum,Correct TS,Correct TS
NAAMPH10,0,-12.1,-2,12.1,-63,10.1,24.3,Minimum,Minimum,Incorrect TS,Correct TS
NABFEE,0,-8.2,-8.9,12,-63,-0.7,20.2,Minimum,Minimum,Incorrect TS,Correct TS
NABHOO,0,3.9,-18.7,22.3,-63,-18.7,22.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
NABJUY,0,-1492.1,-1504.2,-1473,-63,-12.1,19.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NABKAF,0,2.2,-2.6,No Value,-63,-2.6,No Value,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NABKOT,0,-4.3,12.3,11.9,-63,16.7,16.2,Minimum,Not Minimum,Correct TS,Correct TS
NABSAK,0,-12.5,8,9.5,-63,20.5,22.1,Not Minimum,Minimum,Correct TS,Correct TS
NABSUI,0,-11.5,-22,7.9,-63,-10.5,19.4,Minimum,Minimum,Incorrect TS,Correct TS
NABTUJ,0,-1.7,-10.6,10.9,-63,-8.9,12.6,Minimum,Not Minimum,Incorrect TS,Correct TS
NACBUA,0,-12.9,-11.6,12.9,-63,1.3,25.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NACVAL,0,-11.5,18,12.6,-63,29.5,24.1,Minimum,Minimum,Correct TS,Correct TS
NACWAP,0,-5.2,-13.1,18.8,-63,-7.9,24,Minimum,Minimum,Incorrect TS,Correct TS
NADCEC,0,-39.8,-15.6,-19.2,-63,24.2,20.6,Not Minimum,Not Minimum,Correct TS,Correct TS
NADDEC,0,-6,10.7,11.2,-63,16.8,17.2,Minimum,Not Minimum,Correct TS,Correct TS
NADGIL,0,-10.2,2.5,13.8,-63,12.7,24,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NADJEK,0,-2.7,-11.2,18.6,-63,-8.4,21.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NADMIO,0,-12.4,-16.8,13.2,-63,-4.5,25.5,Minimum,Minimum,Incorrect TS,Correct TS
NADMUB,0,-8.1,-6.6,14,-63,1.5,22.1,Minimum,Minimum,Incorrect TS,Correct TS
NADNIP,0,0.1,-14.4,21.2,-63,-14.4,21.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NADPAK,0,-1.1,-8.2,21.5,-63,-7.1,22.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NADQAL02,0,0.2,-8,23.5,-63,-8,23.5,Minimum,Not Minimum,Incorrect TS,Correct TS
NADQOZ,0,-2,-15.7,11.7,-63,-13.7,13.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NADRAL,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Not Minimum,Correct TS,Correct TS
NADREN,0,-1.1,-11,17.6,-63,-9.9,18.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NADRHC,0,-2.6,-9.3,17.4,-63,-6.7,20,Minimum,Minimum,Incorrect TS,Correct TS
NADTRT,0,-1.8,-7.3,21.6,-63,-5.6,23.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NADVIB,0,-9.1,9.8,9.1,-63,18.9,18.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
NADVUN,0,-9,9.9,13.2,-63,18.9,22.2,Minimum,Minimum,Correct TS,Correct TS
NAFHOR,0,-15.3,-10.8,19.4,-63,4.6,34.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAFNUE,0,-1.9,13.2,13.2,-63,15.1,15.1,Minimum,Minimum,Incorrect TS,Correct TS
NAFQIU,0,-11.3,-5.2,9.7,-63,6.1,21.1,Not Minimum,Minimum,Incorrect TS,Correct TS
NAFRUL,0,-78.9,-73.1,-58.4,-63,5.8,20.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAFSAS,0,-39.4,-30.8,14.6,-63,8.5,53.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NAFSIA,0,-21.2,-4.1,3.1,-63,17.1,24.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAFTEU,0,-3.8,19.1,28.3,-63,22.9,32.1,Minimum,Minimum,Correct TS,Correct TS
NAFWAT,0,-19.5,223.2,-5.2,-63,242.8,14.3,Minimum,Not Minimum,Incorrect TS,Correct TS
NAFYID,0,-2.5,20.3,13.1,-63,22.9,15.7,Not Minimum,Minimum,Correct TS,Correct TS
NAFYUR,0,-2.4,-3.9,12.1,-63,-1.4,14.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAFZOL,0,-8.2,-3.1,10.3,-63,5.2,18.6,Minimum,Minimum,Incorrect TS,Correct TS
NAGBAY,0,-1.3,2,14.3,-63,3.3,15.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAGCED,0,-12.1,2.9,7.5,-63,15.1,19.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAGFIK,0,-2.2,3.6,26.9,-63,5.8,29,Minimum,Minimum,Incorrect TS,Correct TS
NAGLAI,0,-11.9,-12.8,8.8,-63,-0.9,20.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAGLYP01,0,8.6,-2.4,33.6,-63,-2.4,33.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
NAGMUF,0,-12.7,-12.2,13.8,-63,0.4,26.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
NAGNUG,0,-7.8,-1.2,12,-63,6.5,19.7,Minimum,Minimum,Incorrect TS,Correct TS
NAGTAU,0,-2.7,-10.3,12.4,-63,-7.5,15.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAGVEZ,0,-17.6,-4.2,-4.4,-63,13.4,13.2,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
NAGZOL,0,-0.1,-15.5,22.3,-63,-15.4,22.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
NAHCEE,0,-13.4,-10,11.3,-63,3.4,24.7,Minimum,Not Minimum,Incorrect TS,Correct TS
NAHCII,0,-13.5,-8.9,11.9,-63,4.6,25.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
NAHCUY,0,-10.3,14.1,12.9,-63,24.4,23.2,Minimum,Minimum,Incorrect TS,Correct TS
