Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
LEBSUG,93.71,5.81,185.11,1.7,-3.3457,-2.8581,0.3678,-0.1779,1.3135,2.0459,5.8518,8.3677,0.4593,0.9919,10.1434,6.3064,12.5882,9.7375,1.4637,0.0492,13.3
QOYGOB,92.16,7.19,229.49,1.66,-2.5783,-2.239,0.3071,-0.2191,1.2596,3.188,5.9325,8.4775,0.4594,1.036,10.178,6.314,12.6127,9.7662,1.6156,0.0991,17.3
QOWGUH,81.15,-0.02,175.64,1.37,-3.8525,-2.974,0.3648,-0.1762,1.3289,2.0102,5.8319,8.3506,0.4596,1.0005,10.1392,6.2895,12.6024,9.7433,1.4912,0.0568,15.5
EROGAU,80.33,1.37,186.3,1.71,-3.6404,-2.7855,0.2606,-0.183,1.3427,2.0469,5.872,6.937,0.4598,1.0164,10.1541,6.3209,12.6671,9.7515,1.3995,0.0086,16.3
LEBGIK,82.73,0.44,198.91,1.84,-3.4594,-2.7361,0.169,-0.187,1.3327,3.2354,5.7189,6.9604,0.4602,1.1215,10.1537,6.3345,12.7474,9.7491,1.4132,0.0088,17.8
BUKNEA,80.2,0.95,172.86,2.79,-3.7037,-3.0299,0.3235,-0.1786,1.3278,2.7461,5.7689,8.3982,0.4606,0.9965,10.1414,6.3175,12.6058,9.7532,1.4727,0.0588,24
TAQKEE,78.89,1.91,184.79,1.52,-3.5802,-3.085,0.1934,-0.1855,1.3271,3.0245,5.8466,7.0099,0.4607,1.0086,10.1524,6.3542,12.6878,9.7646,1.3984,0.0088,17.9
RUXJEZ,83.5,5.39,193.81,1.7,-3.2684,-2.7616,0.3692,-0.1818,1.3234,2.0582,5.8486,8.3873,0.4607,1.0192,10.1487,6.2926,12.5999,9.7384,1.4496,0.0589,15.8
BUKHOE,64.34,1.08,167.12,1.88,-2.8501,-2.8024,0.2819,-0.213,1.3482,1.9233,5.9614,7.1373,0.4609,1.0288,10.1813,6.333,12.607,9.778,1.3801,0.0108,17.5
NUNHAG,83.14,-2.15,179.36,1.7,-2.7198,-1.6369,0.2426,-0.2135,1.3858,1.984,5.9723,6.9049,0.461,1.0543,10.1845,6.3206,12.621,9.8158,1.3466,0.0128,32.1
ADINAD,93.75,4.41,193.81,2.57,-2.9224,-2.3556,0.3973,-0.2021,1.2665,1.7867,5.8131,8.3766,0.461,1.0211,10.1777,6.2806,12.6087,9.7134,1.4617,0.0619,20.6
IGAJOQ,79.21,1.27,209.32,2,-3.5021,-2.5873,0.2647,-0.1822,1.3569,1.9789,5.8974,6.9557,0.4611,1.0144,10.1535,6.3332,12.6373,9.7647,1.3299,0.0167,16.5
DOQZIU,81.31,0.8,194.77,1.83,-3.4441,-2.61,0.1707,-0.1893,1.3277,3.1842,5.7193,6.9534,0.4619,1.1253,10.1556,6.3354,12.7448,9.7491,1.4154,0.0092,19.4
ZEHGOK,80.76,1.47,189.41,1.6,-3.6764,-2.9264,0.2586,-0.1716,1.3478,1.9829,5.7945,6.9165,0.4619,1.0505,10.1525,6.3046,12.6974,9.7393,1.3863,0.0086,17.2
TAPDAS01,83.91,18.67,180.39,1.7,-2.8429,-2.2419,0.3106,-0.2206,1.2955,2.9366,5.86,8.41,0.462,1.0153,10.1752,6.3145,12.5939,9.7809,1.445,0.0671,21
ERAVAU,82.22,1.44,191.07,1.75,-2.9349,-2.1384,0.2543,-0.2109,1.3734,1.9382,5.9789,6.9743,0.4623,1.0709,10.1827,6.3037,12.6552,9.7868,1.4134,0.0095,22.2
QAHPIZ,96.78,-0.28,199.78,2.66,-3.106,-3.052,0.3253,-0.1999,1.2781,2.9951,5.9058,8.4272,0.4628,1.009,10.1621,6.3118,12.6093,9.7537,1.4822,0.0535,21.6
AFAZAK,81.43,0.81,194.71,1.77,-3.4423,-2.6229,0.1707,-0.1892,1.3283,3.155,5.7252,6.9578,0.463,1.1141,10.1551,6.3351,12.743,9.7512,1.4129,0.0089,19.1
NARCAN,84.66,-3.09,213.52,2.83,-3.0467,-2.2868,0.1702,-0.2002,1.3289,2.9463,5.7562,6.9773,0.4639,1.1433,10.1729,6.3377,12.7388,9.7533,1.2876,0.0109,37.7
MESWOZ,91.95,6.96,210.25,2.9,-3.2499,-2.5782,0.3092,-0.1892,1.3205,2.8946,5.7572,8.3915,0.464,1.0279,10.1612,6.3069,12.6472,9.7367,1.4301,0.0559,14.2
POCPAG,78.63,2.91,207.68,3.82,-2.3886,-1.4755,0.2968,-0.2142,1.2958,1.9783,5.8628,7.1612,0.4641,1.0136,10.2022,6.3653,12.5559,9.7821,1.3541,0.0091,27.5
RUFJOS,76.39,-0.11,211.09,1.97,-3.8168,-3.2179,0.3271,-0.1714,1.3516,2.9219,5.8767,8.3853,0.4645,1.0042,10.1516,6.3129,12.6272,9.7328,1.5117,0.0851,16.5
ILAZAX,88.65,0.5,208.62,3.75,-3.9297,-3.0322,0.2622,-0.1618,1.3601,1.9894,5.8684,6.9445,0.4645,0.9993,10.1425,6.3325,12.6544,9.7509,1.2345,0.0171,45.7
QIQFUU,82.8,1.7,189.15,2.42,-3.1941,-1.8666,0.1788,-0.2281,1.3234,3.1705,5.8784,7.0614,0.4648,1.0665,10.1818,6.3497,12.6805,9.791,1.3866,0.0113,19.6
BEJLUX,85.72,-1.54,178.26,3.74,-3.6982,-2.8648,0.3626,-0.1865,1.3415,2.0264,5.8544,8.4087,0.4654,1.0106,10.1449,6.2907,12.5897,9.7569,1.5407,0.0588,14.6
RIFHOG,76.52,5.86,198.02,2.73,-4.2879,-2.6607,0.2886,-0.1706,1.3581,1.954,5.8481,7.0676,0.4659,1.0657,10.1419,6.3275,12.6399,9.744,1.2975,0.0146,-3.6
KEHWUR,77.55,2.76,205.51,1.97,-2.9464,-2.0304,0.1963,-0.2241,1.353,2.8344,5.8145,7.4577,0.4659,1.0225,10.1799,6.3614,12.6293,9.813,1.3498,0.0075,27.4
XEKYES,85.15,2.07,183.51,2,-2.9209,-2.9513,0.372,-0.2154,1.314,1.9805,5.9376,8.5002,0.466,1.0333,10.1733,6.2722,12.6116,9.7442,1.4505,0.0565,24.1
HODXAA,79.6,0.92,210.42,2.25,-3.533,-2.5872,0.2673,-0.1843,1.3517,1.979,5.8902,6.9318,0.4662,0.9914,10.1537,6.3324,12.6344,9.7659,1.2914,0.0121,15.9
LAHTOG,94.55,5.48,217.6,2.32,-2.5854,-1.6664,0.3049,-0.2177,1.2443,3.0888,5.8992,8.4189,0.4662,1.0147,10.1843,6.3266,12.5948,9.7738,1.4443,0.0709,19.4
QUOLSA,86.04,0.79,192.36,2.04,-2.6495,-1.6373,0.2463,-0.2063,1.3737,2.003,5.9355,6.9284,0.4664,1.073,10.1944,6.3014,12.6617,9.7906,1.4195,0.0092,28.3
HUNNOU,84.94,0.47,178.3,3.56,-2.4854,-1.5472,0.3372,-0.2064,1.3673,2.0374,5.9532,8.5333,0.4667,1.045,10.1904,6.3043,12.558,9.8005,1.4299,0.0696,31.1
GUVQOE,92.43,6.08,219.11,2.38,-2.6214,-2.1788,0.3023,-0.2115,1.2793,3.2289,5.9078,8.4681,0.4667,1.0109,10.1792,6.3137,12.6195,9.7645,1.4491,0.0701,18.2
SOHCOI,80.94,-12.41,213.85,3.38,-4.6218,-3.4225,0.1883,-0.1787,1.2957,3.1002,5.6868,6.9454,0.4667,1.1331,10.1344,6.3597,12.7142,9.7378,1.3734,0.0181,-18.4
XAYWIF,84.36,0.96,191.25,1.71,-2.7671,-1.7411,0.2533,-0.2134,1.3667,1.9818,5.9373,6.9604,0.4674,1.078,10.1892,6.3097,12.6464,9.7906,1.4298,0.0096,23
XIFMIJ01,60.6,3.95,166.38,2.22,-2.6397,-1.643,0.221,-0.2166,1.3545,2.8433,5.8365,7.0595,0.4676,1.0251,10.1892,6.3853,12.5813,9.8124,1.4223,0.0098,25.8
RUZSIQ,83.47,1.95,214.03,3.8,-2.724,-1.7385,0.2627,-0.219,1.3418,1.9051,5.9057,7.0055,0.4677,1.0539,10.1882,6.3162,12.6328,9.7882,1.3957,0.0091,22.2
RIVGUZ,82.71,13.62,198.41,1.87,-2.6624,-1.685,0.3585,-0.2181,1.3413,2.0097,5.8897,8.481,0.4679,1.048,10.183,6.2978,12.563,9.7807,1.4313,0.0599,16.7
SUDWIA,81.47,0.76,195.29,2.1,-3.4642,-2.6477,0.1702,-0.1887,1.3306,3.164,5.7249,6.9607,0.4684,1.0946,10.1548,6.3351,12.7455,9.7492,1.4059,0.0092,19.4
MENTAB,81.4,1.35,196.15,2.4,-3.4548,-2.6609,0.1752,-0.1896,1.3239,3.172,5.7131,6.9765,0.4685,1.1027,10.1555,6.3386,12.735,9.7512,1.4158,0.0087,18
SABQAP,84,3.3,181.25,3.99,-3.1004,-2.8667,0.3815,-0.2032,1.3256,1.7461,5.7981,8.4879,0.4685,1.0252,10.1786,6.2803,12.6111,9.7271,1.5216,0.0886,15.7
CIFNUA,84.97,-0.62,179.25,4.11,-3.7823,-3.3298,0.367,-0.175,1.3209,1.984,5.8326,8.426,0.4686,1.0006,10.1413,6.2862,12.6098,9.737,1.5218,0.0558,20.8
JELTAV,83.79,13.19,204.08,1.7,-3.2584,-2.9394,0.3852,-0.1973,1.3046,1.975,5.8239,8.4716,0.4689,1.069,10.1594,6.2799,12.6113,9.7236,1.454,0.0607,21.1
VOQNOF,79.65,1.21,214.65,2.49,-3.2528,-2.4773,0.2656,-0.2037,1.3617,1.9875,5.9423,6.9514,0.47,1.0128,10.1641,6.3305,12.6187,9.7852,1.2815,0.0134,17
XAPMAC,63.75,-0.69,157.93,1.7,-2.7215,-2.1954,0.3337,-0.2071,1.4086,1.998,5.9514,8.5731,0.4702,1.0559,10.1816,6.3046,12.5648,9.7969,1.6541,0.0544,21.6
SIKTIS,76.77,2.63,226.43,2.76,-3.5092,-2.9734,0.3107,-0.2022,1.3626,3.0319,5.9034,8.4022,0.4703,1.0223,10.1639,6.3048,12.6234,9.7611,1.5185,0.0785,19.8
ARFIMP10,82.8,3.37,180.53,1.7,-2.5179,-1.4848,0.1707,-0.2201,1.3017,3.2234,5.8707,7.5002,0.4705,1.0193,10.1947,6.3587,12.6619,9.8086,1.3659,0.0055,26.5
TIGMUU,80.32,0.4,225.36,2.34,-4.1446,-3.1539,0.1648,-0.1728,1.3281,2.9626,5.7659,6.9758,0.4708,1.1137,10.1357,6.3378,12.7456,9.7518,1.3704,0.0129,24.8
TZSPOD10,85.69,-1.35,178.18,3.29,-3.7737,-2.9001,0.3644,-0.1805,1.3335,2.0284,5.8481,8.4053,0.4709,1.0101,10.1413,6.2928,12.5938,9.749,1.5496,0.0624,14.3
VOBMEG,79.87,13.89,176.88,1.67,-2.6972,-1.8589,0.36,-0.2186,1.3502,1.9892,5.9193,8.6153,0.4711,1.0605,10.1784,6.2981,12.5564,9.7855,1.4567,0.0649,17.2
DEKKIO,85.21,0.24,193.04,1.7,-3.7787,-3.1941,0.2438,-0.1692,1.3486,1.8867,5.8571,6.9156,0.4712,1.0613,10.1571,6.3041,12.7106,9.7415,1.4178,0.014,18.8
HONJAX,84.45,-0.07,197.66,2.1,-3.8791,-3.1548,0.2757,-0.1762,1.3336,2.0251,5.8221,6.9292,0.4715,0.9955,10.148,6.3192,12.6574,9.7477,1.4098,0.0088,19.9
TAKZOX,81.98,1.62,221.91,2.05,-3.2421,-2.8954,0.2694,-0.2077,1.355,2.0154,5.8873,6.7658,0.4715,1.0933,10.1644,6.314,12.663,9.7535,1.2079,0.0217,17.3
IBOGUE,88.6,-0.77,187.16,1.7,-3.2805,-2.7719,0.2518,-0.2005,1.3889,2.046,5.9107,6.876,0.4717,1.0483,10.1729,6.3119,12.6448,9.7915,1.4061,0.0121,22.8
FUGVUB,79.63,0.76,174.27,2.89,-3.695,-3.1563,0.3222,-0.1859,1.3375,2.9064,5.8143,8.3746,0.4725,1.0043,10.1467,6.3123,12.6084,9.7571,1.4956,0.0633,24.6
FOKGUJ,82.18,1.01,179.51,1.63,-2.67,-2.161,0.2368,-0.2111,1.3644,1.9447,5.9236,6.8692,0.4731,1.0514,10.1879,6.3322,12.6319,9.7991,1.4141,0.0129,24
SUCQIT,85.59,1.71,185.63,3.28,-2.9739,-2.2358,0.3805,-0.2082,1.3187,1.6376,5.8854,8.4751,0.4731,1.1328,10.174,6.2675,12.617,9.7349,1.4607,0.089,26.5
YIVNUN,82.95,7.5,194.14,2.65,-3.1216,-2.9034,0.3767,-0.2066,1.3521,1.9813,5.8338,8.5212,0.4737,1.0521,10.1685,6.2906,12.5808,9.7519,1.5507,0.112,14.8
IQIYEN,61,2.01,186.57,2.61,-2.4938,-1.6854,0.2706,-0.2078,1.3436,1.9294,5.8451,7.2049,0.4738,1.049,10.1887,6.362,12.5665,9.8008,1.3647,0.0101,28
ROLTUJ,83.62,0.83,189.72,1.82,-2.8313,-1.8161,0.2484,-0.2108,1.3807,1.9711,5.9676,6.9568,0.4742,1.0458,10.1846,6.3133,12.6403,9.7981,1.4209,0.0092,24.2
XOCFAW,81.37,3.02,190.25,1.92,-3.4276,-2.3596,0.1685,-0.2017,1.3462,3.1086,5.7713,7.0101,0.4742,1.1283,10.1671,6.3414,12.7302,9.7598,1.3484,0.0137,16.1
DUNQIN,87.62,13.28,211.23,2.6,-2.9919,-2.4656,0.3158,-0.2197,1.2752,3.2192,5.9029,8.4796,0.4744,1.1417,10.1647,6.3048,12.6401,9.7393,1.5826,0.1119,15.8
CEKPAJ,85.57,0.8,191.34,1.55,-2.7281,-1.6885,0.2393,-0.2076,1.3818,1.9878,5.9292,6.9338,0.4744,1.0759,10.1917,6.3085,12.6587,9.7934,1.4193,0.0094,26.5
RIGDIW01,81.82,-10.21,168.5,2.17,-2.7471,-1.8484,0.2661,-0.2075,1.3549,2.0406,5.8766,7.0115,0.4745,1.0144,10.1762,6.3659,12.5651,9.8029,1.4213,0.0096,28.2
COXROW,79.19,2.8,190.62,2.57,-3.2352,-2.3757,0.2293,-0.218,1.3315,2.9959,5.8573,7.1493,0.4745,1.034,10.1755,6.344,12.6595,9.7671,1.3821,0.0088,24.1
DEJWUN,77.67,3.1,172.27,1.85,-3.6314,-3.0429,0.3362,-0.1855,1.319,3.0594,5.7584,8.3838,0.4748,0.9879,10.1447,6.3154,12.5983,9.7502,1.4709,0.0597,18.1
LACHUV,85.7,-1.12,195.19,1.72,-3.0025,-2.7046,0.3203,-0.2168,1.4167,3.0178,5.7945,8.3963,0.4756,1.0232,10.1754,6.3114,12.5476,9.8207,1.4895,0.0536,35.9
ECONUG,80.84,2.93,188.24,2.78,-3.1299,-2.2433,0.1686,-0.2044,1.3015,3.1044,5.7804,7.0093,0.4758,1.1299,10.1661,6.3429,12.7291,9.7594,1.3845,0.011,20
PANHUK,82.35,4.08,180.08,2.53,-2.7725,-2.3177,0.3574,-0.2125,1.3261,2.1003,5.8545,8.6493,0.4759,1.0728,10.1841,6.2801,12.6063,9.7562,1.49,0.0865,10.1
VOJRIY,62.61,-0.81,171.35,2.72,-2.6441,-2.7152,0.3445,-0.211,1.3993,1.8026,5.8507,8.4921,0.4765,1.0926,10.1867,6.3138,12.5556,9.7861,1.5915,0.0784,24.6
QOQNEQ,83.45,12.09,206.31,2.28,-2.4745,-1.4386,0.3121,-0.2222,1.2573,1.904,5.9024,6.9722,0.4769,1.0122,10.19,6.3321,12.5794,9.7764,1.3185,0.0117,30
DEPDIL,82.57,13.63,181.29,1.52,-3.0088,-2.7461,0.3774,-0.2103,1.3313,1.9956,5.8797,8.4357,0.4771,1.0711,10.1693,6.283,12.5958,9.7438,1.4534,0.0608,21.5
JAYMOM,84,12.8,182.94,1.52,-3.2692,-2.902,0.3816,-0.2003,1.3298,1.9953,5.8516,8.4523,0.4774,1.0768,10.1626,6.2778,12.6077,9.7328,1.4373,0.0595,19.8
IXAKAV,90.98,4.68,210.78,4.58,-2.5906,-2.4506,0.3099,-0.2135,1.3162,1.9765,5.8454,7.1747,0.478,1.0003,10.1898,6.318,12.6107,9.7613,1.3365,0.0136,26
YUMPIG,79.07,-11.11,178.67,1.78,-2.8801,-2.0695,0.2143,-0.2172,1.3967,2.8125,5.8823,7.1197,0.4784,1.0307,10.183,6.3758,12.5885,9.8214,1.3642,0.0096,29.5
XEHTEL,81.96,1.14,194.38,3.73,-3.4994,-2.6185,0.1732,-0.1873,1.3214,3.1687,5.7058,6.973,0.4789,1.1245,10.1535,6.3377,12.7408,9.7483,1.4137,0.009,18.6
TOYWAF,80.1,4.16,171.84,1.7,-2.4647,-1.5152,0.341,-0.2132,1.3265,2.0404,5.9226,8.509,0.479,1.0474,10.1902,6.3211,12.5471,9.7908,1.3737,0.0517,27.3
POWXAD,85.09,1.43,218.93,3.61,-2.6758,-2.4279,0.2829,-0.1899,1.2495,1.6895,5.7664,7.0225,0.4793,1.1337,10.1727,6.2981,12.7224,9.6966,1.2527,0.0098,26
QOJPEM,84.35,12.23,194.89,1.7,-2.8344,-2.2159,0.3719,-0.2139,1.3332,1.9517,5.8825,8.421,0.4795,1.0821,10.1755,6.2859,12.5849,9.7573,1.4808,0.0625,18.4
YUPPUX,61.96,-16.81,189.74,2.82,-4.5671,-3.3004,0.2041,-0.1303,1.2687,4.5602,5.7404,7.0133,0.4796,1.0393,10.1186,6.3506,12.7258,9.7195,1.2865,0.019,4.6
OREKAY,77.03,4.04,212.42,3.51,-3.9386,-3.1635,0.1895,-0.1758,1.3212,2.8955,5.7022,6.9623,0.4799,0.9771,10.1435,6.353,12.6969,9.7606,1.3772,0.0125,23
VEJPEF,62.65,0.05,224.72,2.52,-2.752,-2.1357,0.364,-0.2035,1.3966,1.9221,5.9952,8.4934,0.4799,1.085,10.1649,6.292,12.5291,9.815,1.6561,0.063,56.3
RUGGIK,86.71,1.48,205.53,3.55,-3.8542,-2.9836,0.249,-0.1801,1.3848,1.9601,5.8751,6.9282,0.4801,0.9895,10.1582,6.3193,12.6653,9.7664,1.3219,0.0139,46.9
REYNEQ,90.8,7.57,188.17,3.14,-2.9638,-2.7155,0.4006,-0.1762,1.2537,2.0165,5.8263,8.5086,0.4804,0.9857,10.1666,6.2895,12.5975,9.7124,1.3901,0.0588,22.4
IMITOO01,83.95,12.9,180.98,1.7,-2.7201,-1.9449,0.3557,-0.2154,1.3461,2.0061,5.8731,8.4633,0.4808,1.0703,10.1807,6.2931,12.5764,9.7749,1.4494,0.0559,17
CISBUE,84.02,12,191.88,2.75,-3.1608,-2.8513,0.3971,-0.2039,1.3058,2.0002,5.8627,8.4442,0.4809,1.0363,10.1622,6.2788,12.5949,9.7292,1.4371,0.0536,22.8
EGINEQ,84.09,12.38,192.58,1.79,-3.1298,-2.8193,0.3979,-0.2065,1.3079,2.0027,5.8636,8.4379,0.4813,1.0279,10.1637,6.2789,12.5913,9.7319,1.4359,0.055,22.5
JOTFIJ01,81.68,1.99,199.45,2.36,-3.2929,-2.5659,0.2962,-0.2079,1.3599,2.9702,5.8968,8.382,0.4814,1.0175,10.1736,6.3018,12.6318,9.7702,1.4421,0.0752,22.7
JUZCEP,78.8,1.62,192.3,1.88,-2.8834,-2.2447,0.2154,-0.2269,1.3538,3.0934,5.8612,7.0859,0.4818,1.0229,10.1796,6.3589,12.6116,9.8141,1.3966,0.0091,24.6
KIZJOU,82.94,0.49,180.08,1.7,-2.7394,-1.6106,0.1838,-0.2216,1.3536,3.0146,5.8717,7.0578,0.4818,1.0568,10.187,6.3626,12.6363,9.8173,1.3451,0.0136,22.7
TEWLAK01,100.72,0.9,195.03,1.52,-2.8581,-2.1418,0.3628,-0.2175,1.293,1.7982,5.8658,8.5301,0.4819,1.0411,10.1731,6.291,12.5525,9.7938,1.4778,0.0603,15.3
NIPVEO,80.39,2.64,193.25,4.21,-2.5826,-1.566,0.2938,-0.2142,1.3192,2.0127,5.845,7.1844,0.482,1.0084,10.1934,6.34,12.5805,9.7858,1.387,0.0092,24.1
HUFYAI,81.95,13.41,182.66,1.93,-2.7217,-1.8088,0.3765,-0.2157,1.3115,1.9323,5.887,8.4765,0.4821,1.0507,10.1752,6.2975,12.558,9.768,1.4438,0.0524,18.4
YUQMAZ,88.53,9.66,205.74,2.41,-2.7463,-2.2491,0.3457,-0.2016,1.2196,1.8975,5.7751,7.1713,0.4821,1.14,10.158,6.3033,12.6359,9.7151,1.4123,0.019,19.4
VORLAQ,74.63,3.99,169.11,1.63,-2.9247,-2.4437,0.2705,-0.2192,1.334,2.0304,5.9133,7.5847,0.4822,1.0457,10.176,6.3343,12.6168,9.7785,1.3029,0.011,18.8
REZJAK,97.85,5.96,201.98,1.7,-2.7014,-2.4144,0.3617,-0.2122,1.3449,2.0519,5.8982,8.4975,0.4822,1.0432,10.1791,6.2879,12.5764,9.7739,1.4442,0.0506,16
EBEYUH,74.91,4.22,191.66,2.65,-2.7507,-1.8588,0.2873,-0.2191,1.2967,1.9752,5.9543,7.2278,0.4825,1.0673,10.1691,6.367,12.5717,9.774,1.3304,0.0097,23.4
CANHAB,80.43,-0.09,181.38,2.49,-3.5499,-2.7892,0.3147,-0.1864,1.3288,2.8582,5.8209,8.3972,0.4829,0.991,10.15,6.3104,12.6153,9.7597,1.4661,0.0639,25.4
ATUWAN,81.42,-0.58,176.67,2.17,-4.1125,-3.1208,0.3637,-0.1634,1.3226,2.0301,5.8384,8.3492,0.4838,1.0074,10.1318,6.2875,12.616,9.7328,1.4868,0.058,14.5
OYIVOJ,93.88,2.92,195.39,2.52,-2.4909,-1.5931,0.3922,-0.207,1.236,1.9926,5.9543,8.4458,0.484,1.0177,10.1848,6.2971,12.5525,9.7582,1.4732,0.0755,25.8
ATZTHD10,86.61,-5.1,183.96,1.7,-2.9087,-1.8581,0.1603,-0.2171,1.3691,2.9787,5.9801,7.4344,0.4841,1.0617,10.1784,6.3426,12.6648,9.8324,1.3133,0.0079,33.7
PUSZAF,86.3,-2.27,180.13,5.52,-3.1662,-2.7353,0.3613,-0.215,1.3745,2.0244,5.9404,8.4381,0.4842,1.0262,10.1654,6.2809,12.5615,9.7962,1.5397,0.0532,17.1
TABYIE,80.52,4.46,172.48,2.72,-2.5253,-1.4998,0.3603,-0.2168,1.2748,1.9625,5.9016,8.5149,0.4844,1.0434,10.189,6.3229,12.5365,9.7804,1.444,0.0789,23.3
HOMSOT,68.73,-0.92,207.43,2.15,-3.5826,-3.5887,0.1853,-0.2045,1.3596,2.9957,5.7903,7.0328,0.4847,1.125,10.1675,6.3262,12.756,9.7324,1.3872,0.0097,31
DOTRUZ,82.83,13.99,178.35,1.59,-2.6687,-1.6974,0.356,-0.2171,1.3457,2.004,5.8978,8.5405,0.4854,1.0567,10.1812,6.2991,12.5616,9.7832,1.445,0.0565,17.7
KAKFIO,83.32,12.78,184.37,1.94,-3.2122,-2.8909,0.396,-0.2008,1.31,1.9424,5.8253,8.3704,0.4855,1.0278,10.161,6.2808,12.5939,9.7293,1.4537,0.071,24.3
CHXADI10,89.58,-22.49,190.18,2.21,-4.5616,-3.2934,0.2026,-0.129,1.2708,3.0645,5.7573,6.9993,0.4859,1.0855,10.1183,6.3505,12.7281,9.7189,1.3165,0.019,4.5
YEHBOC,82.49,2.76,172.92,4.29,-2.4323,-1.5357,0.3418,-0.2107,1.3344,2.0164,5.9041,8.523,0.4867,1.0295,10.1921,6.3221,12.5419,9.7942,1.3816,0.0595,29.3
HITPEI,83.42,0.44,179.81,1.76,-2.6138,-1.9366,0.2823,-0.2167,1.3744,3.0821,5.8423,8.4197,0.4868,1.0303,10.1902,6.313,12.5943,9.8104,1.4734,0.0514,27.8
PIVDOO,84.67,0.4,196.57,1.72,-3.3336,-2.6664,0.2657,-0.205,1.3679,3.1867,5.9171,8.3966,0.4868,1.0618,10.1734,6.3059,12.6574,9.771,1.4423,0.0638,21.4
XECJEU03,84.32,0.93,189.96,1.7,-3.4124,-2.7167,0.2719,-0.2065,1.3518,1.9278,5.845,6.9478,0.487,1.1411,10.1629,6.2956,12.6841,9.7484,1.3192,0.0095,18.8
GUDWUZ,72.73,11.51,180.32,3.34,-3.2629,-2.3994,0.3529,-0.228,1.3652,2.9458,5.9088,8.47,0.4871,1.0631,10.1733,6.3145,12.5241,9.8085,1.4531,0.09,25.8
TEPQOX,80.91,14.61,170.53,2.91,-2.4344,-1.6399,0.3424,-0.2049,1.359,2.0607,5.9094,8.5307,0.4872,1.0306,10.1886,6.3193,12.5431,9.7952,1.3691,0.0644,27.9
KALLIV,78.86,2.02,220.63,2.86,-2.9018,-1.9396,0.2108,-0.2213,1.3469,2.8961,5.9578,6.9254,0.4876,1.0305,10.1841,6.3533,12.6221,9.8138,1.355,0.0125,26.9
PARLIE,79.33,13.54,188.75,1.67,-2.7024,-1.7425,0.361,-0.2173,1.3426,1.988,5.9195,8.4649,0.4876,1.0587,10.1782,6.2969,12.5622,9.7799,1.4442,0.0623,17.7
LOBTEE,94.09,1.2,191.78,2.25,-3.3044,-2.7312,0.3911,-0.1914,1.3168,2.0288,5.8459,8.4993,0.4876,1.0188,10.1594,6.2814,12.5984,9.7291,1.5526,0.1023,19.4
EYIPUZ,85.87,11.01,184.27,1.33,-3.2724,-2.6705,0.3802,-0.1967,1.3342,1.9386,5.8622,8.3283,0.4877,1.0343,10.1626,6.282,12.5999,9.7379,1.4603,0.0649,21.1
VIYJIW,81.28,13.9,187.39,1.98,-2.6746,-1.9628,0.37,-0.2227,1.3197,1.9835,5.8574,8.4873,0.4881,1.0941,10.1815,6.2953,12.5619,9.7729,1.4497,0.0564,17.4
QAQMUS,82.89,0.13,189.85,1.7,-3.3844,-2.6078,0.2769,-0.1929,1.315,3.1696,5.7431,8.4223,0.4881,1.1287,10.1549,6.2971,12.6871,9.7389,1.5434,0.058,19.1
BERMYA,83.83,-3.63,214.02,2.48,-3.2572,-3.0829,0.313,-0.1502,1.2772,1.9324,5.5868,7.0201,0.4882,1.1176,10.1411,6.3006,12.6967,9.6897,1.2668,0.0105,27.4
RIXGOW,86.38,15.93,205.59,2.01,-3.3297,-2.9209,0.4045,-0.1662,1.3184,1.9714,5.8043,8.4615,0.4885,1.003,10.1514,6.2964,12.5799,9.7192,1.4309,0.0867,14.5
HEJBIH,84.1,0.88,176.19,1.7,-2.4104,-1.5164,0.339,-0.2087,1.3457,2.0399,5.9601,8.5337,0.4888,1.0586,10.1932,6.3149,12.5504,9.7958,1.4253,0.0571,31.9
GUHRIK,82.15,0.58,195.42,2.04,-3.7811,-2.9186,0.1649,-0.1764,1.3287,3.1968,5.7223,6.9648,0.4891,1.1225,10.1437,6.3336,12.7579,9.7437,1.4048,0.0088,17.9
WOTZUD,83.89,-0.84,198.79,1.7,-3.7711,-3.1619,0.169,-0.1771,1.3211,3.1999,5.698,6.9459,0.4895,1.13,10.1463,6.3339,12.7731,9.724,1.4111,0.0086,18.5
VOFHOQ,77,1.87,197.5,1.67,-3.7161,-3.0474,0.2202,-0.1861,1.3424,3.119,5.7772,6.9957,0.4896,0.9966,10.1479,6.3672,12.6531,9.7595,1.4001,0.0089,21.3
XEYXUV,84.67,0.13,187.55,1.9,-2.7423,-2.0035,0.1774,-0.2223,1.3318,3.149,5.8564,7.3981,0.4901,1.021,10.1886,6.3422,12.6779,9.8025,1.3941,0.0078,27.1
