Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-N,Cu-C,C-I,Cu-I-C,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Cu-L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
WERLEL01,62.89,-1.18,156.16,1.84,6.71,6.74,26.3,17.6,9.4,530.17,-3.3269,-1.6924,2.09,2.1,0.05,0.01,1.91,3.09,2.18,76.13,89.42,99.28,0.3274,-0.3084,-0.1599,0.1186,-0.6054,-0.5807,1.972,2.6251,3.4149,1.2504,1.8959,1.9135,28.9182,7.2801,5.7412,25.2535,8.5063,8.4779,0.2833,0.822,0.6648,0.4072,0.4163,2.9343,0.9613,1.1443,1.0204,3.2322,1.3802,1.265,1.351,3.7066,3.8152,3.8935,3.2604,10.2058,2.0231,2.0411,2.0231,2.0551,2.0633,6.3903,12.4434,4.1179,4.1426,4.183,9.8389,1.9701,1.9847,1.931,1.9558,1.9972,1.5429,1.4751,1.703,0.3477,0.0729,0.0581,0.0864,0.0541,1.5648,1.6443,1.5052,0.33,0.0511,0.0535,0.0509,-129.18,32.2
BETFAH,65.07,-1.11,163.82,1.9,5.85,13.37,25.5,17.5,11.8,725.93,-3.3537,-2.9267,1.92,2.15,0.04,0.01,1.94,3.11,2.27,79.07,87.34,98.35,0.2039,-0.2997,-0.1307,0.1035,-0.382,-0.8729,2.3354,2.6302,3.4193,1.366,3.1355,1.8418,28.9617,7.2503,5.755,25.2268,7.582,8.5632,0.4924,0.709,0.5894,0.6345,0.3647,2.939,0.9824,1.0976,1.017,3.2408,1.3322,1.2257,1.4237,3.7276,3.4673,3.8955,3.6178,10.1883,2.0254,2.0766,2.0202,2.0452,2.021,6.3883,12.5923,4.193,4.1332,4.266,9.8156,1.9764,1.9168,1.9852,1.9724,1.9648,1.4336,1.256,1.4026,0.0622,0.0085,0.0042,0.0195,0.0084,1.6295,1.6629,1.5059,0.5115,0.0813,0.0648,0.0661,-235.5,32.1
PAPBIU,82.26,11.73,185.02,2.22,8.65,10.46,33.5,25.7,19.3,826.91,-3.3176,-2.5471,2.06,2.09,-0.14,-0.14,1.96,3.1,2.25,78.14,88.42,97.98,0.31,-0.3062,-0.1373,0.1436,-0.658,-0.391,2.1707,2.6453,3.3864,1.3381,1.9525,2.8504,28.8518,7.262,5.7284,25.2166,8.4861,7.596,0.4268,0.7457,0.6027,0.4066,0.4118,2.9392,1.0951,1.0026,1.0051,3.2446,1.1998,1.3599,1.426,3.7258,3.7176,3.7369,3.4928,10.1833,2.0368,2.0509,2.0434,2.0219,2.0304,6.3636,12.5004,4.1034,4.1891,4.2079,9.8261,1.9942,1.9604,1.9229,1.9609,1.9877,1.5141,1.7293,1.4478,0.4432,0.0596,0.1045,0.1081,0.0543,1.1902,1.5181,1.333,0.0623,0.0179,0.0139,0.0099,-216.7,32.1
EJENOW,85.73,1.17,187.9,2.31,9.54,9.55,32,23.9,17.2,745.59,-2.7954,-2.0894,1.98,1.92,-0.04,-0.01,1.98,3.17,2.23,80.53,88.46,98.9,0.3271,-0.3016,-0.1498,0.0966,-0.8632,-0.5786,2.3643,2.6148,3.4429,1.3183,1.7855,2.1175,28.854,7.2544,5.7621,25.2457,8.5614,8.4259,0.4213,0.7541,0.5599,0.5442,0.5276,2.9399,0.9827,1.1174,1.0149,3.2459,1.353,1.1927,1.4342,3.7214,3.5071,3.8564,3.6173,10.2012,2.0287,2.0819,2.0268,2.0407,2.0231,6.3114,12.5631,4.173,4.1658,4.2243,9.7984,1.9488,1.9692,1.9799,1.9569,1.9436,1.785,1.5663,1.5166,0.4398,0.0596,0.08,0.1358,0.0564,1.5108,1.6836,1.4586,0.4151,0.0382,0.0786,0.0522,-157.85,32.1
KGLUCP02,91.89,0.44,195.12,2.13,5.49,8.56,32.9,21.9,14.1,662.5,-1.9534,-1.7166,1.87,2.02,0,-0.04,2,3.1,2.58,76.89,80.17,87.81,0.2444,-0.2625,-0.1236,-0.1711,-0.8412,-0.8529,2.8684,2.718,3.2956,1.1949,1.8543,1.7968,29.0455,7.1745,5.8237,25.4713,8.4761,8.5269,0.7176,0.2859,0.5523,0.7294,0.5311,2.971,0.9775,1.0842,1.0097,3.2639,1.3424,1.2233,1.3583,3.7518,3.6025,3.8826,3.7189,10.2152,2.0269,2.0834,2.0373,2.0415,2.026,6.3025,12.6706,4.2187,4.2223,4.2296,9.7825,1.9607,2.0084,1.978,1.9393,1.8962,1.7177,1.6761,1.4711,0.4488,0.056,0.0882,0.1182,0.0835,1.7975,1.5378,1.5264,0.4299,0.0733,0.0731,0.0452,-143.24,32.1
ZOLXIH,84.4,4.54,177.33,2.54,6.65,8.51,33.7,25.9,16.3,624.66,-3.1539,-1.3686,2.46,1.9,-0.19,0.02,1.94,3.22,2.19,79.05,88.66,102.46,0.2765,-0.3326,-0.1592,0.1454,-0.6546,-0.4288,1.9962,2.6063,3.4218,1.2337,1.957,2.9406,28.853,7.2912,5.729,25.2582,8.4502,7.5855,0.2778,0.8377,0.6343,0.1091,0.6577,2.936,1.0202,1.0606,1.0456,3.2397,1.2912,1.2762,1.449,3.7159,3.6632,3.875,3.406,10.1945,2.0281,2.0613,2.0235,2.0464,2.0351,6.4374,12.4663,4.1164,4.0943,4.2556,9.8198,1.9794,1.954,1.9798,1.9737,1.9329,1.66,1.511,1.5431,0.3935,0.0557,0.0872,0.0757,0.0744,1.2577,1.4544,1.3974,0.0629,0.0151,0.0198,0.009,-111.49,32.1
NAFTEU,107.53,-7.74,212.68,2.31,8.5,6.95,43.7,32.2,19.2,660.24,-3.1893,-1.4378,2.02,1.83,-0.1,0.13,1.95,3.05,2.21,78.05,88.34,94.48,0.3701,-0.3018,-0.1461,0.2102,-0.9018,-0.5203,3.1373,2.6285,3.378,1.3769,1.6985,2.0268,29.2973,7.2324,5.7306,25.1928,8.4916,8.3807,0.522,0.7804,0.6011,0.5902,0.7593,2.9351,1.0333,1.048,1.0332,3.2365,1.2504,1.2913,1.4484,3.6995,3.5528,3.8942,3.4458,10.1975,2.032,2.0776,2.0198,2.0379,2.0301,6.2601,12.6276,4.1704,4.217,4.2401,9.7423,1.995,1.9016,1.9596,1.9965,1.8895,1.7705,1.6703,1.411,0.4837,0.0542,0.1028,0.1201,0.0738,1.6077,1.5868,1.446,0.384,0.0703,0.0652,0.0805,-144.93,32.1
BOJYIJ,84.76,8.3,217.87,1.63,7.91,6.9,42.6,28.7,17.3,629.91,-3.5956,-1.7329,2.14,1.81,-0.21,0.12,1.94,2.96,2.27,75.61,89.45,93.63,0.3465,-0.2632,-0.1215,0.1565,-0.7055,-0.5455,2.8628,2.7278,3.4172,1.3782,1.8846,2.0886,29.2289,7.1873,5.7592,25.1857,8.4892,8.4102,0.5006,0.6981,0.6404,0.3698,0.7981,2.9358,0.9905,1.1229,0.9761,3.2305,1.3471,1.2052,1.4042,3.7199,3.4167,3.8708,3.6661,10.1699,2.027,2.0531,2.0201,2.0485,2.0212,6.2826,12.596,4.2293,4.1587,4.208,9.7749,1.9869,1.871,1.9797,1.9363,2.0011,1.5884,1.6813,1.4942,0.3995,0.0575,0.0843,0.0912,0.0635,1.4704,1.7302,1.4383,0.4238,0.0799,0.1148,0.101,-225.55,32.1
XEGMAX01,63.84,1.54,177.4,1.78,9.61,8.73,37.8,27,18.1,712.68,-3.2274,-3.1989,2.08,2.06,-0.08,-0.04,1.95,3.06,2.29,77.15,87.41,98.39,0.3903,-0.2712,-0.1159,0.1145,-0.6077,-0.5556,2.4505,2.665,3.4122,1.3355,1.8438,1.8731,28.9747,7.2685,5.7496,25.2482,8.4402,8.4195,0.4612,0.721,0.6087,0.3411,0.4808,2.9354,0.9484,1.0943,1.0411,3.2413,1.3373,1.1933,1.4215,3.7275,3.7611,3.7128,3.4944,10.1897,2.0347,2.0324,2.0526,2.047,2.0231,6.3125,12.498,4.1602,4.123,4.2148,9.7992,1.9895,1.9374,1.9795,1.966,1.9268,1.5082,1.658,1.5001,0.4185,0.0777,0.0971,0.0856,0.0731,1.5759,1.479,1.6197,0.3578,0.0739,0.0517,0.0505,-286.19,32
CHAPEP10,64.98,0.32,161.65,1.92,5.28,7.67,27.5,19.2,10.4,556.43,-2.989,-1.4822,2.08,1.99,-0.03,0.01,1.94,3.1,2.26,80.1,87.06,95.38,0.273,-0.3065,-0.1426,0.104,-0.592,-0.5548,2.2736,2.6685,3.4045,1.3826,1.8804,1.9997,29.0233,7.2549,5.748,25.2486,8.5945,8.5119,0.5584,0.6836,0.613,0.454,0.5824,2.943,0.9762,1.1149,1.016,3.2405,1.3284,1.2202,1.4405,3.7158,3.5219,3.9114,3.5381,10.2088,2.0252,2.0903,2.0199,2.0448,2.0286,6.337,12.5427,4.1899,4.126,4.2268,9.8472,1.973,1.9365,1.9818,1.9811,1.9748,1.5539,1.6069,1.518,0.4018,0.0726,0.0559,0.0989,0.0707,1.5424,1.4817,1.6653,0.353,0.0588,0.0479,0.0513,-146.89,32
TUHJAH,84.52,2.39,215.35,1.81,5.61,7.77,34.8,22.3,10.3,553.26,-2.6698,-1.2395,2.01,2,-0.08,0,1.94,3.57,2.16,78.71,89.96,114.79,0.2692,-0.3424,-0.1905,0.0574,-0.9252,-0.1763,1.981,2.6752,3.533,1.1357,1.6939,3.1964,28.8538,7.2703,5.814,25.2491,8.5115,7.2326,0.1072,0.9395,0.6569,0.4904,0.4305,2.9386,1.0213,1.1077,1.0279,3.2457,1.2915,1.2889,1.4395,3.7343,3.5499,3.8946,3.5933,10.1705,2.0239,2.0724,2.0158,2.0357,2.0227,6.4029,12.518,4.084,4.1836,4.2504,9.8099,1.962,1.97,1.9446,1.9508,1.9826,1.7851,1.654,1.4955,0.4148,0.0407,0.0933,0.1223,0.0459,1.3383,1.2755,1.3205,0.0893,0.0116,0.0103,0.0092,-59.67,31.9
GOFHEO,65.51,-0.74,163.58,1.77,5.68,9.82,24.9,14.6,9.5,650.95,-2.9801,-1.5556,2.06,1.97,-0.03,0.06,1.96,3.06,2.3,79.38,86.27,92.48,0.2405,-0.301,-0.1337,0.0956,-0.5931,-0.6023,2.3249,2.6486,3.3938,1.4314,1.9334,1.9294,29.0061,7.2371,5.7608,25.2463,8.5163,8.5224,0.6355,0.6279,0.577,0.4404,0.5327,2.9452,0.9831,1.109,1.0056,3.2447,1.3527,1.2032,1.4246,3.7163,3.4683,3.8801,3.6304,10.2092,2.0278,2.0867,2.0282,2.0435,2.023,6.3308,12.5811,4.2082,4.1395,4.2334,9.8475,1.9768,1.9744,1.9792,1.9464,1.9707,1.5503,1.6671,1.4948,0.3499,0.0503,0.0593,0.0961,0.0462,1.5717,1.4704,1.6708,0.3707,0.0645,0.0505,0.0498,-156.8,31.9
GENQOI,62.07,-8.32,209.12,2.29,8.63,8.88,33.6,29,22.6,747.3,-3.3031,-1.6581,2.08,2.15,0.63,-0.25,1.92,3.09,2.14,76.51,87.92,95.74,0.3366,-0.3333,-0.1791,0.1725,-0.5498,-0.6871,1.9806,2.5945,3.4099,1.3435,1.9811,1.7845,28.8954,7.2671,5.7678,25.2118,8.5044,8.5856,0.3112,0.8876,0.6488,0.435,0.3706,2.9322,1.1179,0.9992,1.0309,3.2325,1.2992,1.4344,1.2894,3.6902,3.888,3.7916,3.2399,10.2177,2.0183,2.0309,2.0506,2.0294,2.0885,6.3789,12.4409,4.1712,4.1335,4.1362,9.8436,1.9563,1.9461,1.9988,1.9804,1.9619,1.6517,1.5492,1.4959,0.3244,0.0461,0.0783,0.0735,0.0587,1.5252,1.6017,1.6107,0.4203,0.0765,0.1004,0.0858,-81.24,31.8
WIXFUH,83.81,-6.54,183.75,2.8,8.77,11.06,31.4,21.9,14.8,729.48,-3.4079,-1.9314,2.14,1.92,0.38,-0.03,1.95,3.14,2.24,79.57,88.5,98.79,0.1512,-0.3159,-0.1382,0.1245,0.1576,-0.3678,2.3581,2.6308,3.4612,1.353,2.943,3.2181,28.8863,7.2595,5.7704,25.2022,7.0258,7.5116,0.4422,0.7591,0.6072,0.374,0.6007,2.9373,0.9826,1.0943,1.0286,3.2393,1.3645,1.189,1.4473,3.7247,3.6421,3.7308,3.5947,10.1832,2.0372,2.0532,2.0391,2.0327,2.021,6.3977,12.6207,4.199,4.1511,4.2706,9.8304,1.9898,1.9519,1.9735,1.9788,1.9363,1.2329,1.0599,1.2296,0.13,0.0224,0.021,0.0262,0.015,1.4327,1.2136,1.4252,0.0665,0.0075,0.009,0.0074,-177.03,31.8
SOVVUU,108.51,-9.9,230.29,2.44,9.33,7.79,47.9,36.8,21.3,742.81,-3.2908,-2.044,2.01,1.83,-0.12,0.11,1.95,3.05,2.24,78,88.2,95.63,0.372,-0.2813,-0.1353,0.1819,-0.8628,-0.5928,3.0571,2.6406,3.4399,1.3629,1.6782,2.0148,29.1602,7.21,5.7704,25.2018,8.4982,8.4438,0.4752,0.7715,0.5781,0.5785,0.7396,2.9352,0.997,1.1025,1.0044,3.2356,1.3139,1.2362,1.4195,3.71,3.3668,3.9114,3.643,10.1869,2.0238,2.0684,2.0197,2.0553,2.0196,6.2542,12.6202,4.1815,4.2119,4.2267,9.7535,1.9754,1.9227,1.9241,1.9257,2.0057,1.7752,1.6455,1.428,0.4507,0.0582,0.1028,0.1032,0.0539,1.5279,1.647,1.4777,0.4449,0.0998,0.082,0.0927,-192.86,31.8
YUYYUM,91.32,6.89,188.79,2.42,9.27,8.91,36.2,24.1,15.2,716.23,-3.1657,-1.7786,2.03,2.09,-0.09,-0.14,1.95,3.31,2.17,68.47,93.56,107.31,0.2768,-0.3243,-0.1739,0.0543,-0.1504,-0.441,1.9388,2.6405,3.3486,1.1155,3.1894,2.7442,28.8217,7.2867,5.7008,25.2666,7.0349,7.6258,0,0.9173,0.6525,0.4612,0.4005,2.937,1.0794,1.0282,1.0303,3.2493,1.1887,1.3669,1.4436,3.735,3.588,3.6023,3.8627,10.1577,2.0515,2.027,2.0265,2.0247,2.028,6.4206,12.4633,4.0657,4.1874,4.2102,9.8393,1.9716,1.9736,1.9379,1.9583,1.9979,1.2753,1.3281,1.2801,0.0963,0.0167,0.0145,0.0176,0.0087,1.3054,1.4242,1.3456,0.0615,0.0126,0.0174,0.0097,-122.81,31.7
XOJLUE,89.37,0.44,188.12,1.99,7.96,11.1,33.5,23.2,14.2,750.46,-2.2054,-1.3956,2.02,1.99,-0.03,-0.01,1.95,3.1,2.32,78.77,84.06,90.29,0.293,-0.3091,-0.1551,-0.0201,-0.8696,-0.8737,2.4673,2.6908,3.3323,1.282,1.7277,1.7926,28.8989,7.2254,5.7693,25.388,8.5792,8.5075,0.5645,0.545,0.6015,0.5323,0.5159,2.9562,1.0013,1.0442,1.066,3.243,1.2822,1.2888,1.4183,3.7323,3.458,3.9025,3.6937,10.2336,2.0323,2.1119,2.0232,2.0439,2.0224,6.3206,12.6029,4.1776,4.1917,4.2336,9.7835,1.9713,1.9563,1.9337,1.9604,1.9617,1.7645,1.6825,1.4246,0.4329,0.0455,0.0949,0.1195,0.0559,1.759,1.6094,1.5054,0.4451,0.0638,0.0735,0.07,-96.94,31.7
WIDXIQ,76.64,-1.94,201.42,2.14,6.76,5.63,34.6,25.6,12.5,577.04,-3.3844,-1.7175,2.55,1.89,0.16,-0.01,1.96,3.18,2.21,79.84,88.69,99.36,0.1766,-0.3322,-0.1535,0.1438,-0.1514,-0.1927,2.0411,2.6155,3.4508,1.3464,2.9677,3.2941,28.8107,7.2583,5.7588,25.192,7.1091,7.123,0.3614,0.8108,0.5905,0.1218,0.643,2.9376,0.9993,1.1028,1.0185,3.243,1.3743,1.185,1.4544,3.7214,3.679,3.7185,3.5463,10.1911,2.038,2.0533,2.0459,2.0307,2.0232,6.4351,12.5485,4.1735,4.1359,4.2391,9.8399,1.9911,1.9357,1.9766,1.9766,1.96,1.2651,1.0951,1.4688,0.1117,0.0302,0.0115,0.0268,0.0142,1.284,1.2786,1.3736,0.0962,0.0146,0.017,0.0134,-131.42,31.7
GUOPNA10,91.62,0.88,198.4,3.51,8.76,7.96,34.9,26.9,19.7,734.43,-2.1163,-1.5539,1.93,1.94,-0.04,-0.02,1.95,3.15,2.61,77.54,78.79,90.88,0.2573,-0.2567,-0.139,-0.1912,-0.8396,-0.8451,2.9475,2.739,3.2186,1.1422,1.7546,1.8662,29.0715,7.1597,5.8338,25.5093,8.5132,8.5063,0.7326,0.2148,0.6201,0.6409,0.6695,2.976,1.0072,1.0172,1.058,3.2583,1.2786,1.2991,1.3448,3.7545,3.5768,3.9113,3.7259,10.2227,2.0275,2.11,2.0232,2.0365,2.0255,6.3106,12.6832,4.2124,4.2211,4.2497,9.7488,1.9709,1.9634,1.8987,1.9785,1.9373,1.742,1.6973,1.416,0.4421,0.0389,0.1085,0.118,0.0523,1.7288,1.6138,1.5122,0.442,0.0616,0.0703,0.0867,-141.46,31.5
ACENEC,85.43,1.46,180.88,2.46,8.86,9.08,36.2,26,17.1,708.04,-2.918,-1.1627,1.95,2.24,-0.02,0.06,1.94,3.36,2.16,67.32,93.04,107.98,0.3495,-0.3368,-0.176,0.1219,-0.435,-0.6787,1.7853,2.6202,3.3073,1.1048,2.8255,1.9531,28.8358,7.3096,5.6692,25.2526,7.5977,8.52,0,0.9307,0.6694,0.6079,0.2259,2.9352,1.0873,1.0093,1.0461,3.2458,1.2547,1.3676,1.3926,3.7239,3.6546,3.8567,3.4908,10.1521,2.0267,2.0501,2.0234,2.0213,2.0306,6.4208,12.4048,4.0871,4.1231,4.1945,9.8249,1.9801,1.9228,1.9696,1.9728,1.9796,1.2624,1.4605,1.3845,0.0622,0.0162,0.0186,0.0075,0.008,1.5179,1.668,1.542,0.4184,0.0642,0.088,0.0703,-95.88,31.4
DIWJAV,79.91,0.47,179.94,3.83,8.48,10.57,33.7,28.1,20.1,772.54,-3.0528,-1.3623,2,2.18,-0.03,-0.04,1.96,3.12,2.19,77.55,88.7,96.35,0.2664,-0.3302,-0.1625,0.1075,-0.2108,-0.5083,1.9968,2.6317,3.4224,1.2574,2.8497,1.9546,28.8352,7.2659,5.7545,25.2389,7.2042,8.4708,0.3166,0.8351,0.623,0.5117,0.2461,2.938,0.9938,1.1092,1.0258,3.2407,1.3131,1.2547,1.4461,3.719,3.5761,3.9232,3.4767,10.1975,2.0229,2.0797,2.0176,2.0474,2.03,6.3883,12.5012,4.1357,4.1667,4.1988,9.8441,1.9706,1.9538,1.9566,1.9809,1.9821,1.3258,1.3482,1.2842,0.0795,0.0167,0.013,0.0116,0.0168,1.485,1.6382,1.4892,0.387,0.0521,0.0785,0.0474,-116.19,31.4
MEURID,104.94,-1.49,200.35,1.78,6.94,8.39,34.7,25.4,16.2,663.06,-2.7874,-1.6416,2.2,1.94,-0.13,0,1.99,3.19,2.21,81.79,88.23,98.32,0.3065,-0.31,-0.1547,0.1271,-0.6378,-0.8224,2.1292,2.5853,3.4914,1.3512,1.9875,1.9128,28.7964,7.2522,5.7871,25.2362,8.5234,8.5431,0.4673,0.7734,0.552,0.2234,0.5562,2.9399,0.9793,1.0945,1.0466,3.2448,1.3561,1.2048,1.4289,3.7118,3.5232,3.7949,3.6395,10.2036,2.0353,2.0755,2.0307,2.0412,2.0208,6.3379,12.528,4.173,4.1301,4.225,9.8275,1.9717,1.9619,1.9733,1.9615,1.9591,1.5304,1.5775,1.5954,0.4065,0.0767,0.0808,0.0919,0.0714,1.7337,1.6645,1.4571,0.4337,0.0527,0.085,0.0748,-126.75,31.4
CEFZET,79.97,3.66,186.92,1.71,9.93,6.23,31.8,26.7,18.4,709.82,-2.9374,-1.3005,1.97,2.21,-0.01,-0.15,1.94,3.19,2.18,79.72,88.01,99.44,0.3299,-0.3293,-0.1714,0.1571,-0.8232,-0.4983,1.98,2.6004,3.4104,1.2981,1.785,2.0323,28.8242,7.2775,5.7269,25.2376,8.5449,8.4361,0.3096,0.8443,0.6195,0.5777,0.2317,2.9373,0.962,1.1371,1.0391,3.2387,1.4019,1.2088,1.4026,3.7051,3.7797,3.8655,3.2791,10.2136,2.0305,2.0427,2.0264,2.0592,2.0548,6.368,12.4754,4.1254,4.1513,4.1988,9.8267,1.9759,1.9561,1.9595,1.9646,1.9706,1.7586,1.7162,1.4032,0.3972,0.0318,0.0972,0.1012,0.0543,1.4772,1.6076,1.5291,0.3721,0.0408,0.0687,0.0528,-95.13,31.3
FICXIA01,62.59,0.24,176.57,2.74,8.95,11.07,27,23.3,19.5,806.87,-3.0286,-1.6003,2.15,2.05,-0.06,0.04,1.92,3.08,2.2,76.91,89,96.07,0.3219,-0.3243,-0.1601,0.132,-0.6064,-0.5876,1.9839,2.6104,3.3483,1.2892,1.7981,1.9316,28.9314,7.2707,5.7137,25.2356,8.4701,8.5336,0.3791,0.8121,0.6475,0.3642,0.4728,2.9384,0.9929,1.0838,1.0491,3.233,1.3082,1.2502,1.4549,3.7151,3.5618,3.8913,3.5016,10.1981,2.0247,2.0783,2.0211,2.0477,2.0263,6.3781,12.4592,4.1417,4.1036,4.2139,9.8407,1.9708,1.9454,1.9678,1.9867,1.97,1.5404,1.6029,1.5287,0.4085,0.0726,0.0616,0.111,0.0555,1.5551,1.4875,1.6706,0.3502,0.0633,0.0441,0.0554,-115.41,31.2
JUMGON,62.99,0.88,156.1,3.16,7.67,11.71,26.2,20.1,13.2,708.18,-2.9481,-1.4189,2.03,2.17,0.04,-0.1,1.94,3.07,2.21,78.76,88,93.53,0.2849,-0.3265,-0.1576,0.1489,-0.572,-0.605,2.0943,2.6115,3.4111,1.3669,1.9386,1.8809,28.9854,7.2602,5.7464,25.2099,8.5319,8.52,0.4851,0.7728,0.6184,0.5592,0.3666,2.9405,0.9779,1.1013,1.0441,3.237,1.3362,1.215,1.4617,3.7089,3.5455,3.8655,3.5243,10.2069,2.0293,2.08,2.026,2.047,2.0246,6.3602,12.5022,4.1709,4.1115,4.2199,9.8527,1.9769,1.9354,1.9799,1.9892,1.9713,1.5516,1.4827,1.6696,0.3515,0.0595,0.0423,0.0981,0.0512,1.5346,1.6325,1.5273,0.3779,0.053,0.0539,0.0657,-113.99,31.1
LIPCIZ,61.9,0.81,153.32,1.7,6.39,12.29,25.1,16.4,9.8,699.07,-3.0084,-1.4705,2.05,2.2,0.05,-0.11,1.94,3.11,2.22,79.86,88.09,94.9,0.2825,-0.3257,-0.1572,0.1434,-0.586,-0.5599,2.0708,2.6186,3.4249,1.3781,1.9198,1.9534,28.9325,7.2638,5.751,25.2144,8.538,8.5228,0.4983,0.7578,0.611,0.4937,0.3502,2.9413,0.972,1.1267,1.0236,3.2383,1.3618,1.195,1.4542,3.7102,3.5873,3.8686,3.4847,10.2058,2.0276,2.077,2.0262,2.0442,2.0309,6.3664,12.5017,4.1782,4.1113,4.2122,9.8495,1.9781,1.9333,1.9682,1.9873,1.9827,1.5643,1.4728,1.6798,0.3432,0.0601,0.0456,0.096,0.0487,1.5251,1.6657,1.5163,0.3137,0.0451,0.049,0.0463,-113.97,31
EQANOA,88.93,-0.44,187.71,4.07,9.01,7.59,37.1,32.5,22.8,776.28,-3.6456,-2.5143,2.21,1.95,-0.2,0.11,1.95,3.06,2.24,77.53,90,96.71,0.3253,-0.2999,-0.1314,0.1772,-0.4956,-0.4963,2.09,2.6581,3.4494,1.3803,1.9183,2.0668,28.828,7.2371,5.7667,25.1778,8.4157,8.4624,0.4746,0.7713,0.6434,0.235,0.4408,2.9357,0.9898,1.0733,1.0363,3.2354,1.3051,1.2507,1.4322,3.7191,3.4715,3.8819,3.5754,10.1749,2.027,2.0674,2.0182,2.0434,2.019,6.3296,12.5096,4.1872,4.1111,4.2113,9.8355,1.9685,1.9229,1.9862,1.9882,1.9698,1.4824,1.6332,1.478,0.3981,0.0489,0.0763,0.1008,0.0541,1.6137,1.5622,1.4298,0.4218,0.0495,0.1012,0.0648,-187.38,31
TULYOQ,87.04,-1.49,184.23,3.57,7.24,9.73,33.2,25.2,19,676.42,-2.9095,-1.4118,2.05,2.01,-0.09,0.13,1.98,3.03,2.23,77.46,88.3,92.43,0.2909,-0.3058,-0.1489,0.1171,-0.6884,-0.4478,2.2398,2.6099,3.3279,1.3611,1.8182,2.0675,28.9542,7.2309,5.735,25.241,8.5564,8.476,0.5169,0.7172,0.5717,0.5044,0.4544,2.9411,1.0037,1.0819,1.0276,3.2442,1.2971,1.2599,1.429,3.7105,3.3532,3.9148,3.6928,10.2116,2.0265,2.0832,2.0207,2.0581,2.0231,6.3124,12.5405,4.1695,4.1626,4.2085,9.8561,1.9653,1.9868,1.9777,1.9547,1.9715,1.6907,1.6679,1.3993,0.4011,0.0419,0.085,0.1024,0.0648,1.4887,1.5957,1.5195,0.351,0.0374,0.065,0.0458,-153.52,31
PIPMDC11,91.23,4.09,219.65,1.52,8.74,5.12,41.4,30.6,19.5,678.97,-3.5036,-2.2079,2.1,1.89,-0.15,0.02,1.94,3.2,2.26,82.35,84.5,99.49,0.3447,-0.2971,-0.1278,0.2189,-0.597,-0.6411,2.7664,2.6868,3.4117,1.4434,1.872,2.0336,28.9965,7.2545,5.7164,25.1911,8.4146,8.3759,0.5186,0.6984,0.6199,0.385,0.5776,2.9358,1.1192,0.9706,1.009,3.2396,1.2051,1.381,1.3945,3.706,3.7983,3.7535,3.3178,10.2056,2.0375,2.0333,2.0337,2.0365,2.0647,6.2707,12.6012,4.1952,4.1861,4.2198,9.7834,2.0022,1.9717,1.9451,1.9121,1.9523,1.5484,1.6914,1.4615,0.365,0.0479,0.081,0.1032,0.0534,1.4955,1.7388,1.4772,0.4061,0.0667,0.0973,0.0858,-163.33,31
