Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
LOPXEV,80.89,191.68,1.71,8.5,7.74,33.2,23.6,13.2,550.02,-4.2709,-2.9883,2.02,2.05,1.88,0.2606,-0.2678,-0.0711,-0.0947,1.9117,2.9696,3.335,3.1951,28.7557,7.3203,7.017,7.0768,0.7019,0.4698,0.4223,3.1688,1.4133,1.3438,1.261,6.4181,12.5018,4.147,4.1828,4.1721,9.8195,1.9449,1.9742,1.9638,1.9347,2.0018,1.3251,1.2697,1.1741,0.1184,0.0163,0.0231,0.033,0.0176,0.0284,1.2701,1.1978,1.3707,0.0917,0.022,0.0105,0.025,0.0129,0.0212,33.9
QEDMUJ,80.44,217.45,2.4,9.11,10.67,38.1,29.9,19,683.93,-3.7259,-2.4709,2.01,2.09,1.89,0.377,-0.2448,-0.6217,-0.0687,1.8532,2.9731,2.1037,3.0898,28.7378,7.2632,8.5444,7.0884,0.6712,0.4426,0.4224,3.1628,1.2578,1.3825,1.3601,6.3828,12.4238,4.0955,4.1805,4.1478,9.8163,1.9376,1.965,1.947,1.9681,1.9986,1.5044,1.5011,1.7038,0.399,0.0931,0.0799,0.0838,0.0677,0.0745,1.3241,1.2888,1.1718,0.1156,0.0114,0.0366,0.0242,0.02,0.0234,33.7
ROJNAH,65.17,202.57,1.86,7.96,6.38,38.5,30.1,16.7,538.61,-3.5019,-2.0274,2.09,2.02,1.89,0.2455,-0.2651,-0.212,-0.1533,1.795,2.9413,2.9299,3.1431,28.8181,7.3253,7.2341,7.1432,0.6709,0.3477,0.4225,3.1648,1.3822,1.4281,1.2076,6.449,12.4621,4.1265,4.1696,4.166,9.8434,1.9185,1.991,1.9882,1.959,1.9867,1.3819,1.3306,1.2635,0.08,0.0105,0.0135,0.0195,0.0099,0.0267,1.2837,1.3711,1.2317,0.089,0.0114,0.0174,0.0222,0.0106,0.0275,35.5
MXCPEC,63.21,156.95,1.91,6.39,8.32,24.1,14.9,10.9,523.98,-3.0082,-0.8359,2.08,2.09,1.86,0.3749,-0.2575,-0.5918,-0.5654,1.6706,2.9153,1.9065,1.9281,28.8338,7.3254,8.5305,8.5469,0.6686,0.4294,0.4225,3.16,1.3464,1.4062,1.2602,6.4426,12.37,4.1205,4.1696,4.0798,9.8125,1.9106,1.9703,1.9676,1.983,1.981,1.5103,1.6995,1.5186,0.3253,0.0663,0.0706,0.0631,0.059,0.0664,1.6295,1.4587,1.6145,0.3274,0.0727,0.0504,0.0724,0.0518,0.0801,39
XIJMUY,62.53,155.69,3.35,5.75,10.06,27.6,23.3,17.7,603.46,-3.1631,0.0242,2.06,2.13,1.86,0.3872,-0.2582,-0.6127,-0.5977,1.6756,2.926,1.8819,1.8953,28.8773,7.3267,8.5366,8.5185,0.6817,0.485,0.4225,3.1597,1.2795,1.3453,1.3893,6.4377,12.3605,4.0903,4.1598,4.1104,9.8146,1.9164,1.9712,1.9664,1.9731,1.9876,1.5921,1.4825,1.6357,0.3745,0.0672,0.0641,0.0945,0.0591,0.0896,1.533,1.6762,1.4949,0.3595,0.0604,0.0841,0.08,0.0484,0.0865,36.9
PEVPIQ,86.74,185.44,3.55,8.86,7.72,32.3,26.6,20.5,682.9,-2.9911,-2.2339,1.96,2.05,1.9,0.4063,-0.2502,-0.764,-0.5237,1.8606,2.8992,1.7598,2.1181,28.8127,7.2982,8.6327,8.4812,0.6358,0.607,0.4225,3.1663,1.278,1.3843,1.339,6.3837,12.4286,4.1635,4.1383,4.1268,9.7814,1.9443,1.9384,1.9768,1.9752,1.9466,1.59,1.5154,1.7107,0.3914,0.0847,0.0699,0.0783,0.077,0.0814,1.4504,1.6828,1.498,0.3672,0.0752,0.078,0.0829,0.056,0.075,40
GUVREV,90.35,201.48,1.52,8.05,4.93,41.4,29.1,15.7,492.08,-2.7808,-1.6954,2.01,2.02,1.92,0.3961,-0.2442,-0.5668,-0.5722,1.9221,2.9445,1.9932,1.9643,28.8382,7.3027,8.4273,8.4356,0.6665,0.445,0.4227,3.1692,1.3787,1.2711,1.3439,6.342,12.4472,4.067,4.1695,4.2107,9.8147,1.9755,1.9688,1.9602,1.9189,1.9913,1.4566,1.6527,1.5888,0.3479,0.0946,0.0649,0.0478,0.098,0.0424,1.4631,1.561,1.6787,0.3518,0.0592,0.1003,0.0439,0.1002,0.0483,30.9
XEZHAL,82.32,179.84,3,3.9,9.27,28,18.4,11.9,505.55,-4.348,-3.7804,1.98,2.07,1.84,0.5039,-0.2447,-0.4849,-0.4716,1.9628,2.9807,2.1702,2.1366,28.6914,7.325,8.4482,8.4159,0.7455,0.5192,0.4227,3.167,1.3156,1.2957,1.3844,6.3493,12.4015,4.1135,4.1522,4.1358,9.7453,1.9362,1.9621,1.9069,1.9506,1.9896,1.4767,1.5733,1.556,0.3637,0.0801,0.0797,0.0655,0.0744,0.064,1.4371,1.4885,1.6716,0.3462,0.078,0.0645,0.0777,0.0563,0.0697,35.4
OFAMEQ,66.92,197.1,1.8,9.03,6.58,35,26.8,16.5,634.98,-2.3785,-0.2279,1.97,2,1.88,0.1318,-0.2595,-0.3071,-0.2602,1.9257,2.9034,2.7314,2.9629,28.9369,7.2911,7.2306,7.2261,0.6188,0.487,0.4228,3.1635,1.3045,1.3909,1.3151,6.4727,12.5573,4.1458,4.2282,4.1833,9.8382,1.9158,1.9774,1.985,1.9872,1.9729,1.4359,1.3622,1.2531,0.0767,0.0082,0.0173,0.0195,0.0111,0.0207,1.4328,1.2932,1.3027,0.0786,0.0094,0.0162,0.018,0.0108,0.0243,51.4
TICBUD03,81.16,245.65,2.89,7.58,9.77,43,32.3,19.4,735.45,-3.5735,-2.6075,2.04,2.06,1.91,0.2619,-0.2603,-0.1249,-0.1229,1.8284,2.9533,3.1603,3.0793,28.7609,7.2891,7.2153,7.1814,0.6507,0.4386,0.4229,3.169,1.2883,1.3024,1.4197,6.4176,12.484,4.1336,4.169,4.1814,9.8365,1.9487,1.967,1.9655,1.9529,2.0024,1.289,1.3941,1.1991,0.0919,0.0108,0.0215,0.0262,0.0132,0.0202,1.3007,1.202,1.3791,0.091,0.0209,0.0114,0.0236,0.0131,0.022,36.8
ZEHFEX,62.28,154.71,1.96,6.11,8.51,24.8,17.5,11.1,493.41,-3.1933,-0.4525,2.12,2.1,1.86,0.3839,-0.2582,-0.6205,-0.5718,1.6434,2.9264,1.8963,1.9722,28.8508,7.3314,8.5567,8.5169,0.6831,0.4043,0.4231,3.1599,1.2957,1.2921,1.4262,6.4409,12.3568,4.1479,4.0943,4.1147,9.8183,1.9089,1.9739,1.9784,1.9786,1.9785,1.5107,1.568,1.6456,0.3614,0.0644,0.0954,0.0645,0.0685,0.0687,1.6581,1.5677,1.4902,0.3213,0.0401,0.0817,0.0717,0.0537,0.074,31.7
BAKGOJ,80.66,175.38,1.7,3.8,11.68,27.3,15.9,9.1,519.78,-4.1407,-3.491,2.12,2.02,1.86,0.4365,-0.2596,-0.5291,-0.5184,1.6984,2.9489,2.1058,2.1562,28.7258,7.3257,8.4761,8.4656,0.7229,0.3392,0.4232,3.1657,1.4171,1.3307,1.264,6.3821,12.3781,4.1265,4.1322,4.1195,9.8032,1.9295,1.9605,1.9696,1.9494,1.9942,1.4779,1.6205,1.5596,0.3433,0.0648,0.0713,0.0706,0.0654,0.0712,1.5025,1.4842,1.6615,0.3543,0.0787,0.0556,0.0812,0.0662,0.0727,36
BENDAC,62.36,154.92,2.13,8.93,18.11,23.9,13.8,7.6,783.27,-3.1195,-2.163,2.12,2.09,1.87,0.3769,-0.2587,-0.5818,-0.5844,1.6417,2.9195,1.9403,1.8738,28.8394,7.3259,8.5272,8.5338,0.6726,0.3991,0.4232,3.161,1.3257,1.3751,1.3128,6.4465,12.3588,4.1067,4.171,4.0811,9.8178,1.9002,1.9827,1.9843,1.9839,1.9666,1.521,1.6778,1.5307,0.3121,0.0602,0.0727,0.0647,0.0522,0.0622,1.628,1.4933,1.5989,0.3306,0.0692,0.0538,0.0774,0.0504,0.0797,39.6
DAFTAF,85.16,217.81,1.83,9.36,7.54,35.3,25.3,16.4,560.36,-3.2181,-1.7247,2,2,1.89,0.2928,-0.2425,-0.7358,-0.1288,1.8483,3.0127,2.0313,3.1906,28.8272,7.2812,8.5656,7.1898,0.6452,0.5316,0.4232,3.1617,1.3885,1.3724,1.2353,6.3979,12.4882,4.1319,4.1811,4.1752,9.8211,1.9217,1.9688,1.9762,1.9648,1.9896,1.5545,1.5373,1.7171,0.3896,0.0811,0.0681,0.0838,0.0756,0.0809,1.3438,1.3763,1.1793,0.0899,0.0091,0.0223,0.0271,0.0128,0.0185,44.3
NEBKEM,101.14,220.54,3.31,7.82,11.77,36,29.8,23.3,813.68,-3.6221,-3.3315,2,2.06,1.91,0.36,-0.2499,-0.1381,-0.5789,1.9134,2.9344,3.2368,2.0786,28.8091,7.3023,7.1383,8.5137,0.6712,0.5404,0.4233,3.1674,1.2307,1.3811,1.39,6.3668,12.4608,4.152,4.149,4.1598,9.8124,1.9761,1.9377,1.9762,1.9806,1.9418,1.3355,1.1941,1.3589,0.0925,0.0226,0.0115,0.0267,0.0158,0.0158,1.4668,1.6425,1.5469,0.4033,0.0913,0.0788,0.0801,0.0668,0.0863,34.3
UHEGEW,99.29,200.07,4.1,7.44,7.63,44.7,37.6,26.1,692.2,-3.0503,-0.9083,1.94,2.06,1.92,0.3341,-0.2527,-0.8804,-0.0635,2.0557,2.9048,1.8962,3.0057,28.8353,7.2881,8.5893,7.0944,0.6305,0.6266,0.4234,3.1672,1.2772,1.4313,1.2947,6.3732,12.4782,4.1147,4.1823,4.1813,9.8145,1.9668,1.9237,1.9649,1.9799,1.9792,1.5228,1.6556,1.6767,0.4908,0.0992,0.1176,0.0785,0.0988,0.0967,1.4238,1.2307,1.0916,0.1158,0.0122,0.0366,0.0237,0.0197,0.0236,37.6
YIMTOF,82.21,182.75,1.66,4.77,7.33,31.2,20.1,10,443.55,-2.8735,-0.3271,2,2.04,1.91,0.1567,-0.2656,-0.4197,-0.17,1.8062,2.8902,2.8993,3.2261,28.835,7.3162,7.5792,7.1478,0.6101,0.4753,0.4236,3.1685,1.3901,1.4211,1.2031,6.4495,12.5404,4.1925,4.2236,4.1243,9.8535,1.9533,1.9407,1.973,1.991,1.9954,1.457,1.1943,1.4669,0.0595,0.0166,0.0065,0.0178,0.0082,0.0105,1.2705,1.3755,1.2537,0.096,0.018,0.0149,0.0183,0.0198,0.0251,38.5
JOVWEZ,76.79,222.37,1.85,6.73,11.21,37.8,28.3,16,618,-3.7766,-2.8016,2.08,2.09,1.9,0.4126,-0.244,-0.6383,-0.0284,1.779,2.9629,2.0805,3.237,28.7566,7.2792,8.6204,7.0261,0.6977,0.3803,0.4237,3.1625,1.3356,1.239,1.4259,6.3777,12.397,4.1244,4.1827,4.0898,9.8127,1.9319,1.9747,1.9686,1.9542,1.9833,1.5885,1.4922,1.6195,0.4251,0.0872,0.0623,0.1156,0.0582,0.1017,1.1972,1.4421,1.1269,0.1166,0.018,0.0248,0.024,0.0211,0.0288,34.3
IWIXOD,93.16,191.76,1.54,9.18,10.82,34.2,24.6,16.6,691.08,-4.5763,-3.4504,2.15,2,1.95,0.535,-0.1953,0.1588,-0.4449,2.3985,2.9894,2.9128,1.9137,28.8161,7.2097,7.081,8.3543,0.5618,0.47,0.4237,3.1682,1.3913,1.189,1.3658,6.2807,12.423,4.0426,4.2056,4.1748,9.7612,1.9955,1.9774,1.9342,1.9621,1.8921,1.3454,1.1148,1.0687,0.1293,0.0164,0.0239,0.0352,0.0262,0.0276,1.4318,1.6295,1.4689,0.374,0.0693,0.0764,0.0722,0.0848,0.0713,32.6
KABBAT,87.07,184.66,1.6,8.49,7.04,31.6,21.8,13.6,552.67,-3.9313,-2.9799,2.06,1.98,1.89,0.4704,-0.2188,-0.4732,-0.4686,1.7776,3.0697,2.1026,2.1389,28.7314,7.2075,8.4337,8.4664,0.6995,0.36,0.4238,3.1611,1.3688,1.2691,1.3373,6.3151,12.3992,4.1897,4.0966,4.1129,9.8154,1.9862,1.9624,1.9679,1.9137,1.9852,1.5038,1.5071,1.6083,0.3589,0.0728,0.0481,0.0906,0.0551,0.0922,1.5091,1.5344,1.5759,0.3713,0.0604,0.0656,0.0912,0.0543,0.0998,26.6
BODMOW,62.38,154.71,2.93,9.47,10.82,24,15.2,11.7,724.24,-3.2531,-1.243,2.13,2.09,1.87,0.3883,-0.2586,-0.5819,-0.5636,1.6412,2.9196,1.9375,1.9445,28.8408,7.3275,8.5319,8.5263,0.6837,0.3959,0.4238,3.1607,1.2112,1.4043,1.3985,6.4388,12.3526,4.0739,4.1651,4.1135,9.8203,1.9353,1.9726,1.9477,1.972,1.9927,1.545,1.6808,1.4892,0.3297,0.0462,0.0695,0.0798,0.0428,0.0913,1.5841,1.4825,1.6445,0.3188,0.0575,0.0451,0.082,0.0483,0.0859,43.6
ABABIQ,95.37,197.3,1.65,12.03,10.15,31.6,21.2,13.5,753.83,-2.9673,-2.0627,1.94,1.97,1.91,0.4225,-0.2459,-0.6447,-0.5774,1.8823,2.9129,2.0487,1.9912,28.7213,7.2933,8.532,8.4934,0.6261,0.5029,0.4238,3.1672,1.2883,1.2732,1.4351,6.3428,12.4432,4.1692,4.1093,4.1647,9.7915,1.9377,1.9622,1.9475,1.968,1.9762,1.5079,1.5755,1.6372,0.4146,0.0848,0.0609,0.1067,0.0629,0.0995,1.4941,1.6168,1.6077,0.3531,0.0738,0.0823,0.0508,0.0793,0.0669,54.6
IVOJUY,62.37,154.83,2.33,5.32,9.28,24.8,17.4,12.3,534.44,-3.2723,-1.2697,2.11,2.1,1.86,0.3884,-0.258,-0.5445,-0.5945,1.6417,2.9233,1.9927,1.8936,28.8516,7.3307,8.5202,8.5854,0.6889,0.4206,0.4239,3.1598,1.1845,1.4053,1.4243,6.4369,12.3543,4.0496,4.1875,4.1171,9.8205,1.9547,1.9805,1.9441,1.9597,1.9815,1.5658,1.488,1.6458,0.3087,0.0523,0.0436,0.0844,0.04,0.0884,1.557,1.6737,1.4748,0.3622,0.0599,0.0723,0.0888,0.0482,0.093,43.4
ODITOL,62.85,156.08,1.97,5.13,11.65,24,14.1,8.3,555.83,-3.1865,-1.7066,2.09,2.09,1.86,0.3873,-0.258,-0.582,-0.5802,1.6666,2.9179,1.9342,1.9376,28.8323,7.326,8.5356,8.5344,0.6781,0.4215,0.4239,3.1602,1.4195,1.4141,1.1799,6.4363,12.3603,4.1418,4.1675,4.0511,9.816,1.9196,1.9674,1.959,2.0029,1.9672,1.4694,1.6984,1.5484,0.3301,0.0867,0.0625,0.0422,0.0889,0.0497,1.6785,1.4636,1.5733,0.3299,0.0895,0.0437,0.0585,0.0697,0.0684,38.6
OMOMIM,93.47,222.41,2.29,8.63,7.96,37.2,29.2,17.8,572.26,-3.048,-1.9697,1.91,2.05,1.91,0.3509,-0.2479,-0.725,0.1341,1.917,2.9051,2.0645,2.9205,28.7711,7.2843,8.5725,7.1731,0.6375,0.5542,0.4239,3.167,1.3013,1.4256,1.2723,6.3859,12.4647,4.1214,4.1915,4.1518,9.7985,1.9622,1.9289,1.9547,1.9681,1.9845,1.5865,1.5697,1.6465,0.4139,0.0848,0.0786,0.0909,0.0686,0.091,1.2626,1.2919,1.035,0.1126,0.0197,0.0215,0.0206,0.0258,0.025,49.2
ZATYEY,81.54,195.86,2.62,8.93,6.5,42.2,32.6,21.8,712.32,-4.1462,-3.1761,1.9,2.11,1.98,0.5449,-0.2052,-0.6093,-0.1362,2.5542,2.9583,2.1084,3.1754,28.8984,7.2037,8.4574,7.2183,0.5346,0.5524,0.4241,3.1747,1.3757,1.3641,1.21,6.2672,12.4374,4.0732,4.1864,4.1779,9.7505,1.975,1.951,1.9587,1.9738,1.892,1.4725,1.516,1.698,0.4244,0.101,0.0818,0.0605,0.1184,0.0626,1.3039,1.3768,1.2279,0.086,0.0139,0.0218,0.013,0.0272,0.0101,27.2
LAYCET,62.25,154.3,1.97,9.05,9.59,23.8,14.1,9,552.02,-3.2662,-1.1198,2.14,2.09,1.87,0.3874,-0.2591,-0.5908,-0.561,1.6256,2.921,1.8839,1.9435,28.8367,7.3278,8.5594,8.5213,0.6843,0.382,0.4242,3.1609,1.2501,1.3915,1.3728,6.4404,12.3517,4.1081,4.1636,4.08,9.8205,1.9128,1.9831,1.9721,1.9814,1.9711,1.6294,1.4902,1.6001,0.3319,0.0705,0.0556,0.0795,0.0473,0.0791,1.5203,1.6738,1.5216,0.3112,0.0566,0.0735,0.0646,0.0539,0.0626,39.4
LAPDAJ,79.19,224.29,2.35,8.58,10.38,36.6,26.8,16.5,630.54,-3.9706,-3.5077,2.13,2.02,1.91,0.3747,-0.2534,-0.0406,-0.599,1.8089,2.966,3.1354,2.1112,28.7531,7.2919,7.0363,8.5273,0.693,0.4171,0.4243,3.1693,1.2871,1.2794,1.438,6.3867,12.4195,4.1241,4.1758,4.1196,9.8192,1.9336,1.9768,1.964,1.9634,1.9814,1.2429,1.3873,1.1318,0.1148,0.0124,0.0309,0.0243,0.0194,0.0277,1.5094,1.5114,1.6685,0.3981,0.0872,0.0664,0.0887,0.0621,0.0936,35.6
CONGET,63.41,157.25,2.2,6.1,10.39,24.2,15.2,10.4,575.04,-3.1177,-1.4516,2.07,2.09,1.86,0.3807,-0.2575,-0.5923,-0.6184,1.6841,2.9212,1.9104,1.9414,28.8428,7.3279,8.5508,8.5497,0.6789,0.4461,0.4243,3.1592,1.2136,1.3648,1.4352,6.437,12.3672,4.0926,4.1598,4.1148,9.8152,1.9213,1.9742,1.9626,1.9717,1.9853,1.5559,1.6728,1.4877,0.3393,0.0526,0.0749,0.0805,0.0478,0.0834,1.6029,1.4872,1.6422,0.3448,0.0674,0.0568,0.0879,0.0484,0.0843,37.9
SEYHAF,83.88,193.12,3.35,7.95,11.3,32.7,25.6,19,760.74,-3.2366,-1.9245,2.01,2,1.89,0.3042,-0.2599,-0.7549,-0.0984,1.8208,2.9419,1.9848,3.1993,28.8108,7.3012,8.6147,7.0705,0.6637,0.5026,0.4248,3.1656,1.4277,1.2785,1.305,6.4059,12.4751,4.1066,4.212,4.1565,9.8148,1.9304,1.9584,1.964,1.9591,2.0029,1.6016,1.492,1.7003,0.4264,0.0873,0.0653,0.105,0.0596,0.1091,1.2299,1.4251,1.2017,0.095,0.0119,0.0193,0.0292,0.0127,0.0218,37.4
ZAPHIJ,79.91,233.06,2.5,7.98,9.36,36.9,27.4,17.8,636.16,-3.8241,-2.784,2.11,2.01,1.9,0.3706,-0.2524,-0.0407,-0.621,1.8194,2.9333,3.1361,2.1164,28.7377,7.2956,7.0191,8.5418,0.6775,0.4177,0.4249,3.1667,1.307,1.2879,1.4102,6.3808,12.4274,4.125,4.1818,4.1206,9.8212,1.9292,1.9691,1.9654,1.9709,1.9867,1.2536,1.3751,1.1327,0.1167,0.012,0.0317,0.0266,0.019,0.0274,1.5177,1.4992,1.6883,0.4038,0.0877,0.0685,0.0979,0.0585,0.0913,33.7
YIMNEO,93.58,193.62,1.52,6.51,6.45,36.4,25.1,15.7,494.06,-3.7516,-2.1659,1.95,2.02,1.9,0.4695,-0.2402,-0.5089,-0.5034,1.8545,2.9771,2.2158,2.1749,28.7023,7.2757,8.4147,8.4059,0.6527,0.4863,0.4249,3.1646,1.3857,1.3843,1.2241,6.3085,12.4197,4.1883,4.1493,4.0821,9.8024,1.9337,1.9804,1.9679,1.9319,1.9885,1.5493,1.4997,1.5826,0.3828,0.0754,0.0526,0.0974,0.0498,0.1076,1.6169,1.543,1.4668,0.3723,0.0444,0.0955,0.0997,0.0513,0.0814,32.6
VIFLAX,83.89,193.27,3.33,9.89,9.92,32.2,23.7,17.3,771.45,-3.2323,-1.9293,2.01,2,1.89,0.3043,-0.2599,-0.7453,-0.0976,1.8254,2.9398,2.015,3.1935,28.814,7.302,8.6086,7.073,0.6629,0.5092,0.4249,3.1657,1.4267,1.2688,1.3155,6.4054,12.4759,4.1202,4.2067,4.149,9.8144,1.9344,1.9525,1.9637,1.962,2.0018,1.5965,1.5086,1.6878,0.418,0.0875,0.0672,0.1009,0.061,0.1014,1.2345,1.4194,1.2021,0.0951,0.0132,0.0191,0.0267,0.0142,0.0218,39.1
GOBMIV,77.37,222.78,2.06,6.76,9.2,37.3,27.3,15.4,561.68,-3.6313,-2.5113,2.07,2.08,1.9,0.3979,-0.2451,-0.6297,-0.0257,1.7636,2.9443,2.1026,3.2446,28.7572,7.2868,8.5382,7.0069,0.6939,0.3843,0.4252,3.1633,1.3483,1.2162,1.4362,6.382,12.4042,4.1397,4.1695,4.095,9.8159,1.9332,1.9748,1.9728,1.9424,1.9927,1.5469,1.5106,1.6504,0.4024,0.084,0.0633,0.1012,0.0579,0.0961,1.1969,1.4561,1.111,0.1178,0.0152,0.0269,0.0273,0.019,0.0294,34
PUKYUS,80.37,227.54,2.31,7.63,8.61,38.8,30.5,20,624.34,-3.8528,-3.2584,1.98,2.08,1.87,0.4125,-0.2444,-0.6057,-0.0218,1.9499,2.9564,2.1291,3.2303,28.6958,7.2727,8.5361,7.0973,0.6881,0.4617,0.4252,3.1616,1.2992,1.4002,1.3016,6.3705,12.4336,4.1073,4.1859,4.1404,9.7835,1.9441,1.9465,1.94,1.9754,1.9775,1.5127,1.4955,1.6868,0.3995,0.0901,0.0683,0.0963,0.0576,0.0872,1.2569,1.3392,1.1478,0.1166,0.0127,0.0311,0.0259,0.0214,0.0255,31.6
YEGPUY,90.82,206.3,1.89,7.43,8.16,35.9,24.6,14.6,550.17,-3.951,-2.9948,2.02,1.97,1.91,0.3884,-0.255,-0.1093,-0.5051,1.9187,2.958,3.2205,2.1282,28.7521,7.3037,7.0883,8.4843,0.6832,0.4622,0.4255,3.169,1.4178,1.327,1.2609,6.3643,12.445,4.1363,4.1669,4.1419,9.8022,1.9624,1.9432,1.9515,1.9717,1.9734,1.2296,1.2039,1.429,0.0907,0.0193,0.014,0.0242,0.0145,0.0187,1.4663,1.5205,1.6552,0.375,0.0944,0.0702,0.0544,0.1003,0.0557,35.4
SOYQON,79.78,220.15,1.78,9.36,9.66,36.9,27,17.2,700.14,-3.6305,-2.5101,2.11,2.03,1.9,0.36,-0.2548,-0.0571,-0.6185,1.8045,2.9369,3.1211,2.0984,28.7681,7.308,7.0314,8.5434,0.6899,0.419,0.4256,3.1647,1.34,1.2559,1.4132,6.3871,12.4236,4.1367,4.1641,4.1229,9.8293,1.9417,1.9812,1.9816,1.9447,1.9801,1.2027,1.46,1.1183,0.1144,0.0157,0.0259,0.0259,0.0183,0.0287,1.5518,1.5058,1.6489,0.3971,0.0864,0.0603,0.092,0.0581,0.1004,35.1
ABEQUW,96.08,197.44,1.52,8.22,6.06,39.9,29.4,17.6,545.57,-3.1305,-1.9612,1.96,2.02,1.91,0.4108,-0.2445,-0.5836,-0.6293,1.8724,2.9736,2.0056,1.9804,28.7883,7.2668,8.4549,8.509,0.6511,0.4682,0.4256,3.1652,1.27,1.3569,1.3704,6.3466,12.4373,4.0597,4.1883,4.1892,9.8053,1.9733,1.9662,1.9264,1.9502,1.9893,1.5396,1.5347,1.6469,0.3658,0.0746,0.075,0.0762,0.0678,0.0723,1.5221,1.5205,1.6698,0.4025,0.0984,0.0643,0.0726,0.0943,0.073,37.7
QAJKUJ,83.95,257.95,4.01,8.63,10.75,59.5,48.1,29.2,772.28,-3.3016,-1.7447,1.96,2.05,1.93,0.2703,-0.2247,-0.1611,-0.1305,2.2333,3.0477,2.9599,2.9654,28.9612,7.1986,6.9946,7.2306,0.6507,0.5777,0.4256,3.162,1.3996,1.2213,1.3593,6.3775,12.5467,4.249,4.1728,4.125,9.8055,1.9448,1.9521,1.9815,1.9468,1.9804,1.3633,1.181,1.3835,0.0832,0.0265,0.0092,0.0177,0.0124,0.0174,1.4544,1.2285,1.1855,0.0896,0.0078,0.0292,0.0226,0.0111,0.0189,40
TAFNIB,106.25,207.91,2.19,8.51,8.22,43.5,36.1,22.6,631.22,-3.1874,-1.5892,1.92,2,1.92,0.4358,-0.2356,-0.7682,-0.5959,2.1297,2.9367,1.8537,2.0843,28.8551,7.239,8.5797,8.408,0.6325,0.6636,0.4257,3.1675,1.3567,1.2342,1.3963,6.3419,12.4491,4.1962,4.1172,4.1357,9.7732,1.9814,1.9257,1.9614,1.9522,1.9526,1.5131,1.6759,1.6452,0.407,0.0938,0.099,0.0646,0.0981,0.0514,1.5241,1.5755,1.5518,0.4293,0.0961,0.0643,0.0987,0.0613,0.109,39.4
LABNIL,82.43,187.42,1.57,6.47,7.93,31,19.7,10.9,459.35,-3.4258,-1.7247,2.01,1.98,1.88,0.3027,-0.2544,-0.6194,-0.0328,1.8214,2.9663,2.0155,3.1638,28.7634,7.2856,8.4927,7.0209,0.6599,0.4403,0.4258,3.1633,1.3861,1.2178,1.4041,6.4056,12.4774,4.2039,4.172,4.1015,9.8143,1.9701,1.9494,1.9795,1.9638,1.9515,1.6151,1.5475,1.5751,0.361,0.0933,0.0556,0.0553,0.0915,0.0652,1.2027,1.31,1.2275,0.1238,0.0398,0.0226,0.0159,0.0271,0.0185,38.7
RESMUX,91.91,194.72,3.07,7.2,8.64,39.8,31.6,18.7,566.68,-3.3277,-1.3544,1.89,2.01,1.9,0.4416,-0.2393,-0.7812,-0.6005,2.0235,2.981,1.9824,2.0567,28.8083,7.2509,8.4854,8.4281,0.6537,0.6371,0.4258,3.1637,1.3798,1.2959,1.3182,6.3656,12.4402,4.1923,4.1064,4.1414,9.7527,1.9756,1.9255,1.9378,1.9342,1.9796,1.6979,1.4991,1.6036,0.4652,0.0841,0.0927,0.1129,0.0833,0.0921,1.6603,1.4814,1.5175,0.4176,0.087,0.0586,0.1114,0.0641,0.0964,37.5
MXNSAC20,79.53,191.77,1.69,9.89,8.19,31.1,20,10.7,535.04,-3.9905,-2.6217,2.08,2,1.88,0.3597,-0.2392,0.2057,-0.6508,1.7576,3.0354,3.2268,2.1294,28.745,7.2741,6.9396,8.5736,0.6907,0.3857,0.4259,3.1611,1.4048,1.2601,1.3302,6.4008,12.4288,4.1359,4.156,4.1368,9.8107,1.9474,1.9478,1.9682,1.9557,1.9916,1.2543,1.2369,1.0358,0.1444,0.0147,0.0331,0.0408,0.0259,0.03,1.517,1.503,1.7065,0.4149,0.0884,0.0762,0.0865,0.0698,0.094,46.2
